Ground Truth: Fall sitting

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.60270005), 'Fall forward': np.float32(0.59851116), 'Fall left': np.float32(0.6089041), 'Fall right': np.float32(0.6016122), 'Fall sitting': np.float32(0.6239572), 'Hop': np.float32(0.60135406), 'Kneel': np.float32(0.6083507), 'Pick up object': np.float32(0.6056064), 'Sit down': np.float32(0.61689276), 'Walk': np.float32(0.59604466)}
t=20 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6032365), 'Fall forward': np.float32(0.5983429), 'Fall left': np.float32(0.6094631), 'Fall right': np.float32(0.6021594), 'Fall sitting': np.float32(0.6249397), 'Hop': np.float32(0.60125023), 'Kneel': np.float32(0.60830945), 'Pick up object': np.float32(0.60643333), 'Sit down': np.float32(0.61738163), 'Walk': np.float32(0.5961751)}
t=25 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.60533917), 'Fall forward': np.float32(0.60050356), 'Fall left': np.float32(0.6114827), 'Fall right': np.float32(0.60425454), 'Fall sitting': np.float32(0.6274987), 'Hop': np.float32(0.60340905), 'Kneel': np.float32(0.610423), 'Pick up object': np.float32(0.60869896), 'Sit down': np.float32(0.6195015), 'Walk': np.float32(0.5984491)}
t=30 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.60783803), 'Fall forward': np.float32(0.60335857), 'Fall left': np.float32(0.614019), 'Fall right': np.float32(0.6068916), 'Fall sitting': np.float32(0.63053644), 'Hop': np.float32(0.6069646), 'Kneel': np.float32(0.6136061), 'Pick up object': np.float32(0.6119679), 'Sit down': np.float32(0.6226401), 'Walk': np.float32(0.6020223)}
t=35 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.61211085), 'Fall forward': np.float32(0.60833645), 'Fall left': np.float32(0.6184343), 'Fall right': np.float32(0.61140925), 'Fall sitting': np.float32(0.6350126), 'Hop': np.float32(0.6122766), 'Kneel': np.float32(0.61837465), 'Pick up object': np.float32(0.6168814), 'Sit down': np.float32(0.6269045), 'Walk': np.float32(0.6073715)}
t=40 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.61648154), 'Fall forward': np.float32(0.6132496), 'Fall left': np.float32(0.62293386), 'Fall right': np.float32(0.6160543), 'Fall sitting': np.float32(0.6396585), 'Hop': np.float32(0.6175851), 'Kneel': np.float32(0.6231492), 'Pick up object': np.float32(0.6217243), 'Sit down': np.float32(0.6313181), 'Walk': np.float32(0.61275584)}
t=45 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6185105), 'Fall forward': np.float32(0.61547947), 'Fall left': np.float32(0.6249974), 'Fall right': np.float32(0.61822927), 'Fall sitting': np.float32(0.6417459), 'Hop': np.float32(0.6204686), 'Kneel': np.float32(0.62527454), 'Pick up object': np.float32(0.6241661), 'Sit down': np.float32(0.6334898), 'Walk': np.float32(0.6155622)}
t=50 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.61901736), 'Fall forward': np.float32(0.61595905), 'Fall left': np.float32(0.6256557), 'Fall right': np.float32(0.61892486), 'Fall sitting': np.float32(0.64257485), 'Hop': np.float32(0.6216425), 'Kneel': np.float32(0.62571627), 'Pick up object': np.float32(0.62487704), 'Sit down': np.float32(0.63427186), 'Walk': np.float32(0.6165261)}
t=55 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6191317), 'Fall forward': np.float32(0.6158558), 'Fall left': np.float32(0.6260324), 'Fall right': np.float32(0.6193364), 'Fall sitting': np.float32(0.6428275), 'Hop': np.float32(0.6223254), 'Kneel': np.float32(0.62569296), 'Pick up object': np.float32(0.62514573), 'Sit down': np.float32(0.63483655), 'Walk': np.float32(0.6170248)}
t=60 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6194146), 'Fall forward': np.float32(0.61632836), 'Fall left': np.float32(0.6263984), 'Fall right': np.float32(0.6198883), 'Fall sitting': np.float32(0.6439742), 'Hop': np.float32(0.6233838), 'Kneel': np.float32(0.6259177), 'Pick up object': np.float32(0.6257939), 'Sit down': np.float32(0.63517773), 'Walk': np.float32(0.6178974)}
t=65 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62119853), 'Fall forward': np.float32(0.61855364), 'Fall left': np.float32(0.6280657), 'Fall right': np.float32(0.6217787), 'Fall sitting': np.float32(0.64665675), 'Hop': np.float32(0.62540674), 'Kneel': np.float32(0.6276326), 'Pick up object': np.float32(0.62754667), 'Sit down': np.float32(0.63604), 'Walk': np.float32(0.6199697)}
t=70 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62254137), 'Fall forward': np.float32(0.62014925), 'Fall left': np.float32(0.62916636), 'Fall right': np.float32(0.6231836), 'Fall sitting': np.float32(0.6490302), 'Hop': np.float32(0.62688524), 'Kneel': np.float32(0.62872297), 'Pick up object': np.float32(0.62878716), 'Sit down': np.float32(0.6363001), 'Walk': np.float32(0.62164867)}
t=75 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62326074), 'Fall forward': np.float32(0.62134385), 'Fall left': np.float32(0.6296316), 'Fall right': np.float32(0.62384695), 'Fall sitting': np.float32(0.6505265), 'Hop': np.float32(0.62768), 'Kneel': np.float32(0.6292315), 'Pick up object': np.float32(0.62948483), 'Sit down': np.float32(0.6359963), 'Walk': np.float32(0.6226641)}
t=80 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6240184), 'Fall forward': np.float32(0.6224799), 'Fall left': np.float32(0.6300844), 'Fall right': np.float32(0.6245178), 'Fall sitting': np.float32(0.6517837), 'Hop': np.float32(0.62858486), 'Kneel': np.float32(0.62970835), 'Pick up object': np.float32(0.63024), 'Sit down': np.float32(0.63566995), 'Walk': np.float32(0.62372863)}
t=85 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6239109), 'Fall forward': np.float32(0.62267494), 'Fall left': np.float32(0.62980795), 'Fall right': np.float32(0.62432855), 'Fall sitting': np.float32(0.6523587), 'Hop': np.float32(0.6283981), 'Kneel': np.float32(0.6292516), 'Pick up object': np.float32(0.63003653), 'Sit down': np.float32(0.6347359), 'Walk': np.float32(0.6236327)}
t=90 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62422466), 'Fall forward': np.float32(0.6234807), 'Fall left': np.float32(0.62993836), 'Fall right': np.float32(0.6245804), 'Fall sitting': np.float32(0.6534668), 'Hop': np.float32(0.6287471), 'Kneel': np.float32(0.62933993), 'Pick up object': np.float32(0.6303296), 'Sit down': np.float32(0.63412905), 'Walk': np.float32(0.62411034)}
t=95 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6243184), 'Fall forward': np.float32(0.6239757), 'Fall left': np.float32(0.6298356), 'Fall right': np.float32(0.6245543), 'Fall sitting': np.float32(0.65408367), 'Hop': np.float32(0.62875277), 'Kneel': np.float32(0.6291985), 'Pick up object': np.float32(0.6303662), 'Sit down': np.float32(0.6333929), 'Walk': np.float32(0.6242334)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6240261), 'Fall forward': np.float32(0.6241679), 'Fall left': np.float32(0.6293393), 'Fall right': np.float32(0.62419754), 'Fall sitting': np.float32(0.65443903), 'Hop': np.float32(0.6284991), 'Kneel': np.float32(0.6287318), 'Pick up object': np.float32(0.6300343), 'Sit down': np.float32(0.63238335), 'Walk': np.float32(0.6241901)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62361956), 'Fall forward': np.float32(0.6241325), 'Fall left': np.float32(0.62880546), 'Fall right': np.float32(0.6237479), 'Fall sitting': np.float32(0.65449226), 'Hop': np.float32(0.62813485), 'Kneel': np.float32(0.62823784), 'Pick up object': np.float32(0.62959665), 'Sit down': np.float32(0.6314297), 'Walk': np.float32(0.62397087)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62314653), 'Fall forward': np.float32(0.62400585), 'Fall left': np.float32(0.6281502), 'Fall right': np.float32(0.62319773), 'Fall sitting': np.float32(0.65445036), 'Hop': np.float32(0.6276684), 'Kneel': np.float32(0.62760097), 'Pick up object': np.float32(0.62905866), 'Sit down': np.float32(0.6302296), 'Walk': np.float32(0.62362677)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62294424), 'Fall forward': np.float32(0.62394917), 'Fall left': np.float32(0.6277827), 'Fall right': np.float32(0.62289065), 'Fall sitting': np.float32(0.6544586), 'Hop': np.float32(0.62741596), 'Kneel': np.float32(0.62721777), 'Pick up object': np.float32(0.62877864), 'Sit down': np.float32(0.6294286), 'Walk': np.float32(0.6234579)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6228136), 'Fall forward': np.float32(0.6240792), 'Fall left': np.float32(0.6274929), 'Fall right': np.float32(0.62268764), 'Fall sitting': np.float32(0.65457094), 'Hop': np.float32(0.62724966), 'Kneel': np.float32(0.6268985), 'Pick up object': np.float32(0.6285068), 'Sit down': np.float32(0.6287633), 'Walk': np.float32(0.6233557)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6227874), 'Fall forward': np.float32(0.6241567), 'Fall left': np.float32(0.62737226), 'Fall right': np.float32(0.62262255), 'Fall sitting': np.float32(0.6546385), 'Hop': np.float32(0.6272144), 'Kneel': np.float32(0.6267831), 'Pick up object': np.float32(0.6284618), 'Sit down': np.float32(0.6284192), 'Walk': np.float32(0.6233315)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.62295336), 'Fall forward': np.float32(0.6244749), 'Fall left': np.float32(0.62743056), 'Fall right': np.float32(0.6227126), 'Fall sitting': np.float32(0.6548797), 'Hop': np.float32(0.6273356), 'Kneel': np.float32(0.626809), 'Pick up object': np.float32(0.62857103), 'Sit down': np.float32(0.6281878), 'Walk': np.float32(0.62347037)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6230743), 'Fall forward': np.float32(0.6246862), 'Fall left': np.float32(0.6274893), 'Fall right': np.float32(0.622783), 'Fall sitting': np.float32(0.65505683), 'Hop': np.float32(0.6274153), 'Kneel': np.float32(0.62682664), 'Pick up object': np.float32(0.6286441), 'Sit down': np.float32(0.6280829), 'Walk': np.float32(0.6235528)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6233567), 'Fall forward': np.float32(0.6251224), 'Fall left': np.float32(0.6277222), 'Fall right': np.float32(0.6230147), 'Fall sitting': np.float32(0.6553883), 'Hop': np.float32(0.62767154), 'Kneel': np.float32(0.62698036), 'Pick up object': np.float32(0.6288974), 'Sit down': np.float32(0.62808573), 'Walk': np.float32(0.62377167)}
