Ground Truth: Fall right

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6669041), 'Fall forward': np.float32(0.6628169), 'Fall left': np.float32(0.66712147), 'Fall right': np.float32(0.66631246), 'Fall sitting': np.float32(0.64655286), 'Hop': np.float32(0.6667458), 'Kneel': np.float32(0.6655727), 'Pick up object': np.float32(0.6665343), 'Sit down': np.float32(0.65997046), 'Walk': np.float32(0.67042345)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6674961), 'Fall forward': np.float32(0.66308796), 'Fall left': np.float32(0.66775376), 'Fall right': np.float32(0.66696084), 'Fall sitting': np.float32(0.6468396), 'Hop': np.float32(0.666923), 'Kneel': np.float32(0.6657809), 'Pick up object': np.float32(0.66651124), 'Sit down': np.float32(0.66043764), 'Walk': np.float32(0.6706857)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6678769), 'Fall forward': np.float32(0.66349566), 'Fall left': np.float32(0.66817033), 'Fall right': np.float32(0.66734356), 'Fall sitting': np.float32(0.64680684), 'Hop': np.float32(0.6670665), 'Kneel': np.float32(0.6659107), 'Pick up object': np.float32(0.66652775), 'Sit down': np.float32(0.6606347), 'Walk': np.float32(0.6708137)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6678382), 'Fall forward': np.float32(0.6636257), 'Fall left': np.float32(0.66814953), 'Fall right': np.float32(0.66739243), 'Fall sitting': np.float32(0.6465487), 'Hop': np.float32(0.6670732), 'Kneel': np.float32(0.66581637), 'Pick up object': np.float32(0.6665507), 'Sit down': np.float32(0.6608244), 'Walk': np.float32(0.6709643)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66738284), 'Fall forward': np.float32(0.66336054), 'Fall left': np.float32(0.6677149), 'Fall right': np.float32(0.66704005), 'Fall sitting': np.float32(0.64613587), 'Hop': np.float32(0.66694105), 'Kneel': np.float32(0.6656027), 'Pick up object': np.float32(0.6663729), 'Sit down': np.float32(0.6607764), 'Walk': np.float32(0.67091954)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66780835), 'Fall forward': np.float32(0.6638893), 'Fall left': np.float32(0.66833293), 'Fall right': np.float32(0.667521), 'Fall sitting': np.float32(0.6469335), 'Hop': np.float32(0.66758776), 'Kneel': np.float32(0.66620547), 'Pick up object': np.float32(0.66702664), 'Sit down': np.float32(0.6613165), 'Walk': np.float32(0.67162466)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.668415), 'Fall forward': np.float32(0.66455406), 'Fall left': np.float32(0.66904896), 'Fall right': np.float32(0.6680369), 'Fall sitting': np.float32(0.6479642), 'Hop': np.float32(0.66827065), 'Kneel': np.float32(0.66685855), 'Pick up object': np.float32(0.6677776), 'Sit down': np.float32(0.6618238), 'Walk': np.float32(0.6723535)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6686984), 'Fall forward': np.float32(0.6646559), 'Fall left': np.float32(0.66941595), 'Fall right': np.float32(0.66816044), 'Fall sitting': np.float32(0.6487777), 'Hop': np.float32(0.66890746), 'Kneel': np.float32(0.667204), 'Pick up object': np.float32(0.6685236), 'Sit down': np.float32(0.6624409), 'Walk': np.float32(0.6728707)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6685999), 'Fall forward': np.float32(0.664453), 'Fall left': np.float32(0.6692445), 'Fall right': np.float32(0.66794485), 'Fall sitting': np.float32(0.64885193), 'Hop': np.float32(0.66913104), 'Kneel': np.float32(0.6670173), 'Pick up object': np.float32(0.66865015), 'Sit down': np.float32(0.6625828), 'Walk': np.float32(0.67304206)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.66888446), 'Fall forward': np.float32(0.6650175), 'Fall left': np.float32(0.66956234), 'Fall right': np.float32(0.66806936), 'Fall sitting': np.float32(0.6496959), 'Hop': np.float32(0.670286), 'Kneel': np.float32(0.66740185), 'Pick up object': np.float32(0.66955173), 'Sit down': np.float32(0.6631242), 'Walk': np.float32(0.6740654)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6693364), 'Fall forward': np.float32(0.66558206), 'Fall left': np.float32(0.6700257), 'Fall right': np.float32(0.6684314), 'Fall sitting': np.float32(0.6510119), 'Hop': np.float32(0.6715942), 'Kneel': np.float32(0.6678674), 'Pick up object': np.float32(0.67088777), 'Sit down': np.float32(0.6638293), 'Walk': np.float32(0.67503387)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.66966987), 'Fall forward': np.float32(0.66541123), 'Fall left': np.float32(0.67017376), 'Fall right': np.float32(0.6684851), 'Fall sitting': np.float32(0.65143794), 'Hop': np.float32(0.6720164), 'Kneel': np.float32(0.66806644), 'Pick up object': np.float32(0.6716136), 'Sit down': np.float32(0.66392946), 'Walk': np.float32(0.6749059)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.66998404), 'Fall forward': np.float32(0.664925), 'Fall left': np.float32(0.6702109), 'Fall right': np.float32(0.6685762), 'Fall sitting': np.float32(0.651576), 'Hop': np.float32(0.6712078), 'Kneel': np.float32(0.6679284), 'Pick up object': np.float32(0.67137873), 'Sit down': np.float32(0.6637788), 'Walk': np.float32(0.6737368)}
t=80 | pred=Walk | scores={'Fall backwards': np.float32(0.6696377), 'Fall forward': np.float32(0.66400266), 'Fall left': np.float32(0.6696716), 'Fall right': np.float32(0.6681758), 'Fall sitting': np.float32(0.65110946), 'Hop': np.float32(0.6697639), 'Kneel': np.float32(0.66742337), 'Pick up object': np.float32(0.67037255), 'Sit down': np.float32(0.6633851), 'Walk': np.float32(0.67198163)}
t=85 | pred=Walk | scores={'Fall backwards': np.float32(0.67022157), 'Fall forward': np.float32(0.6643403), 'Fall left': np.float32(0.6699784), 'Fall right': np.float32(0.6687186), 'Fall sitting': np.float32(0.6515631), 'Hop': np.float32(0.6688464), 'Kneel': np.float32(0.6677612), 'Pick up object': np.float32(0.6699713), 'Sit down': np.float32(0.6636918), 'Walk': np.float32(0.67100614)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6705989), 'Fall forward': np.float32(0.6643207), 'Fall left': np.float32(0.6700548), 'Fall right': np.float32(0.6690495), 'Fall sitting': np.float32(0.6519547), 'Hop': np.float32(0.66762054), 'Kneel': np.float32(0.66770136), 'Pick up object': np.float32(0.66942054), 'Sit down': np.float32(0.66388345), 'Walk': np.float32(0.6697974)}
t=95 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6718927), 'Fall forward': np.float32(0.6653718), 'Fall left': np.float32(0.6710875), 'Fall right': np.float32(0.6703426), 'Fall sitting': np.float32(0.6531908), 'Hop': np.float32(0.6675937), 'Kneel': np.float32(0.6687351), 'Pick up object': np.float32(0.6701339), 'Sit down': np.float32(0.66486794), 'Walk': np.float32(0.66977197)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67290914), 'Fall forward': np.float32(0.66620743), 'Fall left': np.float32(0.6719431), 'Fall right': np.float32(0.6715184), 'Fall sitting': np.float32(0.6541949), 'Hop': np.float32(0.6675468), 'Kneel': np.float32(0.6695448), 'Pick up object': np.float32(0.67077744), 'Sit down': np.float32(0.66554344), 'Walk': np.float32(0.6696935)}
