Ground Truth: Fall forward

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66211903), 'Fall forward': np.float32(0.66311896), 'Fall left': np.float32(0.662993), 'Fall right': np.float32(0.66229254), 'Fall sitting': np.float32(0.64278936), 'Hop': np.float32(0.6642721), 'Kneel': np.float32(0.66256166), 'Pick up object': np.float32(0.6640158), 'Sit down': np.float32(0.6567833), 'Walk': np.float32(0.669693)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6626276), 'Fall forward': np.float32(0.66349685), 'Fall left': np.float32(0.6634607), 'Fall right': np.float32(0.6626667), 'Fall sitting': np.float32(0.6426401), 'Hop': np.float32(0.6647599), 'Kneel': np.float32(0.66272366), 'Pick up object': np.float32(0.664311), 'Sit down': np.float32(0.65711355), 'Walk': np.float32(0.66995573)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6625776), 'Fall forward': np.float32(0.6633134), 'Fall left': np.float32(0.66329694), 'Fall right': np.float32(0.6624697), 'Fall sitting': np.float32(0.64222735), 'Hop': np.float32(0.66476005), 'Kneel': np.float32(0.6623205), 'Pick up object': np.float32(0.6641754), 'Sit down': np.float32(0.6568017), 'Walk': np.float32(0.66973466)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.66281223), 'Fall forward': np.float32(0.663439), 'Fall left': np.float32(0.6634917), 'Fall right': np.float32(0.6625689), 'Fall sitting': np.float32(0.6423867), 'Hop': np.float32(0.6651392), 'Kneel': np.float32(0.6623237), 'Pick up object': np.float32(0.664527), 'Sit down': np.float32(0.65679115), 'Walk': np.float32(0.6698272)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6624925), 'Fall forward': np.float32(0.663096), 'Fall left': np.float32(0.66314125), 'Fall right': np.float32(0.6621574), 'Fall sitting': np.float32(0.6421668), 'Hop': np.float32(0.665416), 'Kneel': np.float32(0.6618967), 'Pick up object': np.float32(0.6648357), 'Sit down': np.float32(0.6564766), 'Walk': np.float32(0.6699189)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6626205), 'Fall forward': np.float32(0.66293377), 'Fall left': np.float32(0.6631942), 'Fall right': np.float32(0.6621745), 'Fall sitting': np.float32(0.6424563), 'Hop': np.float32(0.6659329), 'Kneel': np.float32(0.6616796), 'Pick up object': np.float32(0.66563946), 'Sit down': np.float32(0.65678215), 'Walk': np.float32(0.6703915)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6650845), 'Fall forward': np.float32(0.6650584), 'Fall left': np.float32(0.66551673), 'Fall right': np.float32(0.66461974), 'Fall sitting': np.float32(0.6455445), 'Hop': np.float32(0.66744375), 'Kneel': np.float32(0.6639245), 'Pick up object': np.float32(0.6679701), 'Sit down': np.float32(0.6593042), 'Walk': np.float32(0.6719766)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.66674685), 'Fall forward': np.float32(0.66637725), 'Fall left': np.float32(0.6671594), 'Fall right': np.float32(0.666229), 'Fall sitting': np.float32(0.64807314), 'Hop': np.float32(0.66805285), 'Kneel': np.float32(0.6652909), 'Pick up object': np.float32(0.6694787), 'Sit down': np.float32(0.66105705), 'Walk': np.float32(0.6724719)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6686406), 'Fall forward': np.float32(0.6683672), 'Fall left': np.float32(0.6691233), 'Fall right': np.float32(0.6680788), 'Fall sitting': np.float32(0.6512872), 'Hop': np.float32(0.66785467), 'Kneel': np.float32(0.66706973), 'Pick up object': np.float32(0.6702959), 'Sit down': np.float32(0.6627857), 'Walk': np.float32(0.67225456)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6705152), 'Fall forward': np.float32(0.6702646), 'Fall left': np.float32(0.67111456), 'Fall right': np.float32(0.66989297), 'Fall sitting': np.float32(0.6544679), 'Hop': np.float32(0.6676214), 'Kneel': np.float32(0.6689579), 'Pick up object': np.float32(0.6713704), 'Sit down': np.float32(0.66457003), 'Walk': np.float32(0.67177594)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.67133147), 'Fall forward': np.float32(0.67182285), 'Fall left': np.float32(0.67216283), 'Fall right': np.float32(0.67065245), 'Fall sitting': np.float32(0.6561488), 'Hop': np.float32(0.6673807), 'Kneel': np.float32(0.67002094), 'Pick up object': np.float32(0.6716451), 'Sit down': np.float32(0.66521245), 'Walk': np.float32(0.67133594)}
