Ground Truth: Kneel

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.6424062), 'Fall forward': np.float32(0.64220124), 'Fall left': np.float32(0.64530766), 'Fall right': np.float32(0.6418323), 'Fall sitting': np.float32(0.63573515), 'Hop': np.float32(0.65831536), 'Kneel': np.float32(0.6482052), 'Pick up object': np.float32(0.64697343), 'Sit down': np.float32(0.64290524), 'Walk': np.float32(0.6535649)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6467686), 'Fall forward': np.float32(0.64668316), 'Fall left': np.float32(0.65003383), 'Fall right': np.float32(0.6473889), 'Fall sitting': np.float32(0.64128476), 'Hop': np.float32(0.66082704), 'Kneel': np.float32(0.65260285), 'Pick up object': np.float32(0.65048724), 'Sit down': np.float32(0.6465029), 'Walk': np.float32(0.65654707)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.650868), 'Fall forward': np.float32(0.6502458), 'Fall left': np.float32(0.6540293), 'Fall right': np.float32(0.651532), 'Fall sitting': np.float32(0.64549005), 'Hop': np.float32(0.66272074), 'Kneel': np.float32(0.65606195), 'Pick up object': np.float32(0.6534544), 'Sit down': np.float32(0.64970046), 'Walk': np.float32(0.65820616)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6542214), 'Fall forward': np.float32(0.65382826), 'Fall left': np.float32(0.6573625), 'Fall right': np.float32(0.65475637), 'Fall sitting': np.float32(0.6493675), 'Hop': np.float32(0.66330755), 'Kneel': np.float32(0.6589253), 'Pick up object': np.float32(0.6555758), 'Sit down': np.float32(0.65167105), 'Walk': np.float32(0.65899485)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.65586996), 'Fall forward': np.float32(0.655914), 'Fall left': np.float32(0.6588359), 'Fall right': np.float32(0.6561954), 'Fall sitting': np.float32(0.6512662), 'Hop': np.float32(0.6629026), 'Kneel': np.float32(0.6601132), 'Pick up object': np.float32(0.6561885), 'Sit down': np.float32(0.6518922), 'Walk': np.float32(0.6588867)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.65775514), 'Fall forward': np.float32(0.6581907), 'Fall left': np.float32(0.6605153), 'Fall right': np.float32(0.6577179), 'Fall sitting': np.float32(0.6536939), 'Hop': np.float32(0.6628945), 'Kneel': np.float32(0.66183865), 'Pick up object': np.float32(0.65718853), 'Sit down': np.float32(0.652546), 'Walk': np.float32(0.6592859)}
t=45 | pred=Kneel | scores={'Fall backwards': np.float32(0.658754), 'Fall forward': np.float32(0.6595373), 'Fall left': np.float32(0.66136634), 'Fall right': np.float32(0.65849346), 'Fall sitting': np.float32(0.655189), 'Hop': np.float32(0.66272753), 'Kneel': np.float32(0.66286695), 'Pick up object': np.float32(0.65789783), 'Sit down': np.float32(0.6533356), 'Walk': np.float32(0.6594563)}
t=50 | pred=Kneel | scores={'Fall backwards': np.float32(0.6593298), 'Fall forward': np.float32(0.6605081), 'Fall left': np.float32(0.6617619), 'Fall right': np.float32(0.6587836), 'Fall sitting': np.float32(0.65652347), 'Hop': np.float32(0.66186273), 'Kneel': np.float32(0.6634025), 'Pick up object': np.float32(0.65780634), 'Sit down': np.float32(0.65369344), 'Walk': np.float32(0.65891844)}
t=55 | pred=Kneel | scores={'Fall backwards': np.float32(0.6595036), 'Fall forward': np.float32(0.66097456), 'Fall left': np.float32(0.66173345), 'Fall right': np.float32(0.6587584), 'Fall sitting': np.float32(0.6570516), 'Hop': np.float32(0.66112137), 'Kneel': np.float32(0.663701), 'Pick up object': np.float32(0.657503), 'Sit down': np.float32(0.6537475), 'Walk': np.float32(0.6583133)}
t=60 | pred=Kneel | scores={'Fall backwards': np.float32(0.659498), 'Fall forward': np.float32(0.66113347), 'Fall left': np.float32(0.66152805), 'Fall right': np.float32(0.6585504), 'Fall sitting': np.float32(0.6574441), 'Hop': np.float32(0.6601157), 'Kneel': np.float32(0.66381), 'Pick up object': np.float32(0.65720844), 'Sit down': np.float32(0.6537138), 'Walk': np.float32(0.65746224)}
t=65 | pred=Kneel | scores={'Fall backwards': np.float32(0.65964866), 'Fall forward': np.float32(0.66099674), 'Fall left': np.float32(0.661635), 'Fall right': np.float32(0.6586013), 'Fall sitting': np.float32(0.6573276), 'Hop': np.float32(0.65954137), 'Kneel': np.float32(0.6638731), 'Pick up object': np.float32(0.65725154), 'Sit down': np.float32(0.65409654), 'Walk': np.float32(0.6568688)}
