Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6511378), 'Fall forward': np.float32(0.65265), 'Fall left': np.float32(0.6503325), 'Fall right': np.float32(0.64815825), 'Fall sitting': np.float32(0.6361161), 'Hop': np.float32(0.6521309), 'Kneel': np.float32(0.6493237), 'Pick up object': np.float32(0.65415967), 'Sit down': np.float32(0.6430376), 'Walk': np.float32(0.6590912)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6495991), 'Fall forward': np.float32(0.6513815), 'Fall left': np.float32(0.64893985), 'Fall right': np.float32(0.64701563), 'Fall sitting': np.float32(0.6345331), 'Hop': np.float32(0.6493397), 'Kneel': np.float32(0.64813346), 'Pick up object': np.float32(0.6522659), 'Sit down': np.float32(0.6406127), 'Walk': np.float32(0.6564632)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6496024), 'Fall forward': np.float32(0.65172124), 'Fall left': np.float32(0.64921385), 'Fall right': np.float32(0.64729166), 'Fall sitting': np.float32(0.63453317), 'Hop': np.float32(0.6495681), 'Kneel': np.float32(0.6485329), 'Pick up object': np.float32(0.65277386), 'Sit down': np.float32(0.64067143), 'Walk': np.float32(0.6568774)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6497762), 'Fall forward': np.float32(0.6516122), 'Fall left': np.float32(0.6494052), 'Fall right': np.float32(0.64747), 'Fall sitting': np.float32(0.63461065), 'Hop': np.float32(0.650018), 'Kneel': np.float32(0.6487009), 'Pick up object': np.float32(0.6535399), 'Sit down': np.float32(0.6412665), 'Walk': np.float32(0.65752864)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6500348), 'Fall forward': np.float32(0.65149015), 'Fall left': np.float32(0.64978445), 'Fall right': np.float32(0.6477366), 'Fall sitting': np.float32(0.634834), 'Hop': np.float32(0.6510102), 'Kneel': np.float32(0.6489405), 'Pick up object': np.float32(0.65447015), 'Sit down': np.float32(0.6422888), 'Walk': np.float32(0.6584571)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6497512), 'Fall forward': np.float32(0.65081394), 'Fall left': np.float32(0.6497289), 'Fall right': np.float32(0.64755344), 'Fall sitting': np.float32(0.6345713), 'Hop': np.float32(0.65110624), 'Kneel': np.float32(0.648544), 'Pick up object': np.float32(0.65465844), 'Sit down': np.float32(0.6428493), 'Walk': np.float32(0.658472)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6495016), 'Fall forward': np.float32(0.65041405), 'Fall left': np.float32(0.6495718), 'Fall right': np.float32(0.6474024), 'Fall sitting': np.float32(0.63408107), 'Hop': np.float32(0.6508856), 'Kneel': np.float32(0.6483265), 'Pick up object': np.float32(0.6544548), 'Sit down': np.float32(0.64279133), 'Walk': np.float32(0.6581475)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.64970696), 'Fall forward': np.float32(0.65053046), 'Fall left': np.float32(0.6498912), 'Fall right': np.float32(0.64785767), 'Fall sitting': np.float32(0.63436645), 'Hop': np.float32(0.6512708), 'Kneel': np.float32(0.64893126), 'Pick up object': np.float32(0.65473855), 'Sit down': np.float32(0.64338416), 'Walk': np.float32(0.65828437)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6496826), 'Fall forward': np.float32(0.65077466), 'Fall left': np.float32(0.6501379), 'Fall right': np.float32(0.64811045), 'Fall sitting': np.float32(0.63519466), 'Hop': np.float32(0.6518211), 'Kneel': np.float32(0.6495165), 'Pick up object': np.float32(0.6551454), 'Sit down': np.float32(0.64387757), 'Walk': np.float32(0.6585547)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6500019), 'Fall forward': np.float32(0.6513999), 'Fall left': np.float32(0.65085685), 'Fall right': np.float32(0.64867145), 'Fall sitting': np.float32(0.63657904), 'Hop': np.float32(0.65284646), 'Kneel': np.float32(0.6504107), 'Pick up object': np.float32(0.65595806), 'Sit down': np.float32(0.6447985), 'Walk': np.float32(0.65920794)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6504433), 'Fall forward': np.float32(0.652082), 'Fall left': np.float32(0.65163374), 'Fall right': np.float32(0.6492891), 'Fall sitting': np.float32(0.6377892), 'Hop': np.float32(0.6537531), 'Kneel': np.float32(0.6513447), 'Pick up object': np.float32(0.65655607), 'Sit down': np.float32(0.6455526), 'Walk': np.float32(0.6597826)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6506841), 'Fall forward': np.float32(0.65264595), 'Fall left': np.float32(0.65226984), 'Fall right': np.float32(0.64980626), 'Fall sitting': np.float32(0.6389233), 'Hop': np.float32(0.6545916), 'Kneel': np.float32(0.652132), 'Pick up object': np.float32(0.6569944), 'Sit down': np.float32(0.64607376), 'Walk': np.float32(0.6602669)}
