Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.65986913), 'Fall forward': np.float32(0.65264493), 'Fall left': np.float32(0.6613228), 'Fall right': np.float32(0.65820104), 'Fall sitting': np.float32(0.66520154), 'Hop': np.float32(0.65254194), 'Kneel': np.float32(0.66145146), 'Pick up object': np.float32(0.66242105), 'Sit down': np.float32(0.6679647), 'Walk': np.float32(0.6543218)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.66037977), 'Fall forward': np.float32(0.6538696), 'Fall left': np.float32(0.66152036), 'Fall right': np.float32(0.65855277), 'Fall sitting': np.float32(0.66549355), 'Hop': np.float32(0.6539195), 'Kneel': np.float32(0.6623135), 'Pick up object': np.float32(0.6635551), 'Sit down': np.float32(0.6690898), 'Walk': np.float32(0.65576315)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6579516), 'Fall forward': np.float32(0.6503748), 'Fall left': np.float32(0.6593917), 'Fall right': np.float32(0.65648884), 'Fall sitting': np.float32(0.66248494), 'Hop': np.float32(0.6529299), 'Kneel': np.float32(0.6601895), 'Pick up object': np.float32(0.6624247), 'Sit down': np.float32(0.66810304), 'Walk': np.float32(0.654442)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6566642), 'Fall forward': np.float32(0.64908546), 'Fall left': np.float32(0.65860176), 'Fall right': np.float32(0.6557158), 'Fall sitting': np.float32(0.66149807), 'Hop': np.float32(0.6537202), 'Kneel': np.float32(0.6595094), 'Pick up object': np.float32(0.66255337), 'Sit down': np.float32(0.66838694), 'Walk': np.float32(0.65482354)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6570051), 'Fall forward': np.float32(0.6494521), 'Fall left': np.float32(0.6591433), 'Fall right': np.float32(0.65640146), 'Fall sitting': np.float32(0.6614735), 'Hop': np.float32(0.6550893), 'Kneel': np.float32(0.6600585), 'Pick up object': np.float32(0.66361123), 'Sit down': np.float32(0.6690683), 'Walk': np.float32(0.65627825)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6592012), 'Fall forward': np.float32(0.6522847), 'Fall left': np.float32(0.6612891), 'Fall right': np.float32(0.6586946), 'Fall sitting': np.float32(0.6639016), 'Hop': np.float32(0.6578422), 'Kneel': np.float32(0.66260874), 'Pick up object': np.float32(0.66634554), 'Sit down': np.float32(0.6714212), 'Walk': np.float32(0.6593619)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6606168), 'Fall forward': np.float32(0.6541996), 'Fall left': np.float32(0.6629545), 'Fall right': np.float32(0.66039723), 'Fall sitting': np.float32(0.6658384), 'Hop': np.float32(0.65971446), 'Kneel': np.float32(0.6643049), 'Pick up object': np.float32(0.6681062), 'Sit down': np.float32(0.67265606), 'Walk': np.float32(0.6613357)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6620228), 'Fall forward': np.float32(0.65602785), 'Fall left': np.float32(0.6645404), 'Fall right': np.float32(0.6622125), 'Fall sitting': np.float32(0.66828537), 'Hop': np.float32(0.66127205), 'Kneel': np.float32(0.6659232), 'Pick up object': np.float32(0.6695738), 'Sit down': np.float32(0.67342764), 'Walk': np.float32(0.6629619)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.66301256), 'Fall forward': np.float32(0.6574978), 'Fall left': np.float32(0.66536206), 'Fall right': np.float32(0.6634012), 'Fall sitting': np.float32(0.67075825), 'Hop': np.float32(0.66149944), 'Kneel': np.float32(0.6666881), 'Pick up object': np.float32(0.66979617), 'Sit down': np.float32(0.6730393), 'Walk': np.float32(0.66342413)}
t=60 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.662103), 'Fall forward': np.float32(0.656767), 'Fall left': np.float32(0.6642661), 'Fall right': np.float32(0.6627516), 'Fall sitting': np.float32(0.6711528), 'Hop': np.float32(0.66001904), 'Kneel': np.float32(0.66549695), 'Pick up object': np.float32(0.668133), 'Sit down': np.float32(0.6710459), 'Walk': np.float32(0.66219765)}
t=65 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6614461), 'Fall forward': np.float32(0.6563261), 'Fall left': np.float32(0.6635843), 'Fall right': np.float32(0.6622906), 'Fall sitting': np.float32(0.67159957), 'Hop': np.float32(0.65867513), 'Kneel': np.float32(0.66459376), 'Pick up object': np.float32(0.6667311), 'Sit down': np.float32(0.66944474), 'Walk': np.float32(0.6610151)}
