Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65764505), 'Fall forward': np.float32(0.65145546), 'Fall left': np.float32(0.6548994), 'Fall right': np.float32(0.65484333), 'Fall sitting': np.float32(0.64304477), 'Hop': np.float32(0.651289), 'Kneel': np.float32(0.6547424), 'Pick up object': np.float32(0.65310055), 'Sit down': np.float32(0.6525172), 'Walk': np.float32(0.6571788)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6578879), 'Fall forward': np.float32(0.65187776), 'Fall left': np.float32(0.65505046), 'Fall right': np.float32(0.6551663), 'Fall sitting': np.float32(0.64301556), 'Hop': np.float32(0.6514812), 'Kneel': np.float32(0.65477735), 'Pick up object': np.float32(0.6531667), 'Sit down': np.float32(0.6521747), 'Walk': np.float32(0.65740824)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65791994), 'Fall forward': np.float32(0.65208274), 'Fall left': np.float32(0.6551574), 'Fall right': np.float32(0.655311), 'Fall sitting': np.float32(0.64313143), 'Hop': np.float32(0.65175825), 'Kneel': np.float32(0.65482455), 'Pick up object': np.float32(0.65336937), 'Sit down': np.float32(0.6521748), 'Walk': np.float32(0.6576735)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65859514), 'Fall forward': np.float32(0.65297395), 'Fall left': np.float32(0.6559176), 'Fall right': np.float32(0.6560644), 'Fall sitting': np.float32(0.64378864), 'Hop': np.float32(0.65240884), 'Kneel': np.float32(0.6553839), 'Pick up object': np.float32(0.65397936), 'Sit down': np.float32(0.6526118), 'Walk': np.float32(0.65825135)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6595286), 'Fall forward': np.float32(0.6541582), 'Fall left': np.float32(0.6568803), 'Fall right': np.float32(0.65700585), 'Fall sitting': np.float32(0.6446896), 'Hop': np.float32(0.65313596), 'Kneel': np.float32(0.65623266), 'Pick up object': np.float32(0.6548442), 'Sit down': np.float32(0.65322566), 'Walk': np.float32(0.6588972)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6602812), 'Fall forward': np.float32(0.65523344), 'Fall left': np.float32(0.65758586), 'Fall right': np.float32(0.6576989), 'Fall sitting': np.float32(0.6454343), 'Hop': np.float32(0.65378064), 'Kneel': np.float32(0.6568411), 'Pick up object': np.float32(0.6557304), 'Sit down': np.float32(0.6537358), 'Walk': np.float32(0.6595047)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66127956), 'Fall forward': np.float32(0.65609217), 'Fall left': np.float32(0.6584762), 'Fall right': np.float32(0.65863246), 'Fall sitting': np.float32(0.64600575), 'Hop': np.float32(0.6545692), 'Kneel': np.float32(0.6575878), 'Pick up object': np.float32(0.6564662), 'Sit down': np.float32(0.65422297), 'Walk': np.float32(0.66024256)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.661856), 'Fall forward': np.float32(0.65653706), 'Fall left': np.float32(0.6589451), 'Fall right': np.float32(0.659125), 'Fall sitting': np.float32(0.6461653), 'Hop': np.float32(0.65518594), 'Kneel': np.float32(0.65805936), 'Pick up object': np.float32(0.65701216), 'Sit down': np.float32(0.65450853), 'Walk': np.float32(0.6607655)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66318333), 'Fall forward': np.float32(0.65764606), 'Fall left': np.float32(0.66025215), 'Fall right': np.float32(0.6603054), 'Fall sitting': np.float32(0.6472839), 'Hop': np.float32(0.6562238), 'Kneel': np.float32(0.65920323), 'Pick up object': np.float32(0.6582764), 'Sit down': np.float32(0.6556758), 'Walk': np.float32(0.6617713)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6645278), 'Fall forward': np.float32(0.6588842), 'Fall left': np.float32(0.66165847), 'Fall right': np.float32(0.6616386), 'Fall sitting': np.float32(0.6488753), 'Hop': np.float32(0.6569673), 'Kneel': np.float32(0.6604721), 'Pick up object': np.float32(0.6592622), 'Sit down': np.float32(0.65681344), 'Walk': np.float32(0.66242605)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66584027), 'Fall forward': np.float32(0.6603986), 'Fall left': np.float32(0.66283476), 'Fall right': np.float32(0.6628519), 'Fall sitting': np.float32(0.65016806), 'Hop': np.float32(0.6575207), 'Kneel': np.float32(0.6615066), 'Pick up object': np.float32(0.6599275), 'Sit down': np.float32(0.6572378), 'Walk': np.float32(0.6629679)}
