Ground Truth: Sit down

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.56400394), 'Fall forward': np.float32(0.5663124), 'Fall left': np.float32(0.56473446), 'Fall right': np.float32(0.57513374), 'Fall sitting': np.float32(0.55335784), 'Hop': np.float32(0.58453727), 'Kneel': np.float32(0.571403), 'Pick up object': np.float32(0.57291263), 'Sit down': np.float32(0.5697728), 'Walk': np.float32(0.5811674)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.567798), 'Fall forward': np.float32(0.5698407), 'Fall left': np.float32(0.56846625), 'Fall right': np.float32(0.5785357), 'Fall sitting': np.float32(0.5575839), 'Hop': np.float32(0.5875774), 'Kneel': np.float32(0.57465726), 'Pick up object': np.float32(0.57653403), 'Sit down': np.float32(0.5727629), 'Walk': np.float32(0.58416104)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5704109), 'Fall forward': np.float32(0.5721899), 'Fall left': np.float32(0.57117546), 'Fall right': np.float32(0.581211), 'Fall sitting': np.float32(0.5606872), 'Hop': np.float32(0.59012717), 'Kneel': np.float32(0.5769289), 'Pick up object': np.float32(0.57931376), 'Sit down': np.float32(0.5751215), 'Walk': np.float32(0.5866793)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.57242936), 'Fall forward': np.float32(0.5744801), 'Fall left': np.float32(0.5733261), 'Fall right': np.float32(0.58326274), 'Fall sitting': np.float32(0.5631604), 'Hop': np.float32(0.5922735), 'Kneel': np.float32(0.5790623), 'Pick up object': np.float32(0.5815735), 'Sit down': np.float32(0.57715756), 'Walk': np.float32(0.58908)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5725296), 'Fall forward': np.float32(0.57483584), 'Fall left': np.float32(0.5733774), 'Fall right': np.float32(0.58333755), 'Fall sitting': np.float32(0.5633609), 'Hop': np.float32(0.5925514), 'Kneel': np.float32(0.57947314), 'Pick up object': np.float32(0.58209527), 'Sit down': np.float32(0.5775374), 'Walk': np.float32(0.5895018)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5732136), 'Fall forward': np.float32(0.5758239), 'Fall left': np.float32(0.5738683), 'Fall right': np.float32(0.58387715), 'Fall sitting': np.float32(0.56401193), 'Hop': np.float32(0.59343964), 'Kneel': np.float32(0.5803588), 'Pick up object': np.float32(0.58297026), 'Sit down': np.float32(0.5785325), 'Walk': np.float32(0.5905662)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5739835), 'Fall forward': np.float32(0.5764863), 'Fall left': np.float32(0.57468486), 'Fall right': np.float32(0.5848111), 'Fall sitting': np.float32(0.5650716), 'Hop': np.float32(0.59423804), 'Kneel': np.float32(0.5811249), 'Pick up object': np.float32(0.58394533), 'Sit down': np.float32(0.5795691), 'Walk': np.float32(0.5911606)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.57464314), 'Fall forward': np.float32(0.576739), 'Fall left': np.float32(0.57539755), 'Fall right': np.float32(0.58567196), 'Fall sitting': np.float32(0.5663558), 'Hop': np.float32(0.59481925), 'Kneel': np.float32(0.5815003), 'Pick up object': np.float32(0.58499575), 'Sit down': np.float32(0.580377), 'Walk': np.float32(0.5911885)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5748502), 'Fall forward': np.float32(0.5763796), 'Fall left': np.float32(0.5755039), 'Fall right': np.float32(0.58599544), 'Fall sitting': np.float32(0.56698847), 'Hop': np.float32(0.5946604), 'Kneel': np.float32(0.5813448), 'Pick up object': np.float32(0.5853568), 'Sit down': np.float32(0.5802865), 'Walk': np.float32(0.5905478)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5752072), 'Fall forward': np.float32(0.5762174), 'Fall left': np.float32(0.57574147), 'Fall right': np.float32(0.5864626), 'Fall sitting': np.float32(0.5674939), 'Hop': np.float32(0.5943654), 'Kneel': np.float32(0.5814153), 'Pick up object': np.float32(0.5857588), 'Sit down': np.float32(0.5803392), 'Walk': np.float32(0.5899988)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5769694), 'Fall forward': np.float32(0.577664), 'Fall left': np.float32(0.5774548), 'Fall right': np.float32(0.5882781), 'Fall sitting': np.float32(0.5688207), 'Hop': np.float32(0.59566045), 'Kneel': np.float32(0.5831587), 'Pick up object': np.float32(0.5872615), 'Sit down': np.float32(0.58184403), 'Walk': np.float32(0.5912439)}
