Ground Truth: Sit down

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.57000643), 'Fall forward': np.float32(0.57360566), 'Fall left': np.float32(0.571967), 'Fall right': np.float32(0.5764451), 'Fall sitting': np.float32(0.5769646), 'Hop': np.float32(0.5955707), 'Kneel': np.float32(0.5780167), 'Pick up object': np.float32(0.58549166), 'Sit down': np.float32(0.58009946), 'Walk': np.float32(0.5885283)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5725105), 'Fall forward': np.float32(0.5756159), 'Fall left': np.float32(0.5747335), 'Fall right': np.float32(0.57986605), 'Fall sitting': np.float32(0.579048), 'Hop': np.float32(0.59811765), 'Kneel': np.float32(0.5800322), 'Pick up object': np.float32(0.5871335), 'Sit down': np.float32(0.58288765), 'Walk': np.float32(0.5904318)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.57632357), 'Fall forward': np.float32(0.57910436), 'Fall left': np.float32(0.5781383), 'Fall right': np.float32(0.5835388), 'Fall sitting': np.float32(0.58202064), 'Hop': np.float32(0.60175866), 'Kneel': np.float32(0.5840731), 'Pick up object': np.float32(0.59020907), 'Sit down': np.float32(0.587527), 'Walk': np.float32(0.5940719)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.5792037), 'Fall forward': np.float32(0.5817041), 'Fall left': np.float32(0.58052427), 'Fall right': np.float32(0.5863184), 'Fall sitting': np.float32(0.5851603), 'Hop': np.float32(0.6040812), 'Kneel': np.float32(0.586967), 'Pick up object': np.float32(0.5931857), 'Sit down': np.float32(0.5916376), 'Walk': np.float32(0.5965307)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5813401), 'Fall forward': np.float32(0.5834797), 'Fall left': np.float32(0.582628), 'Fall right': np.float32(0.58838004), 'Fall sitting': np.float32(0.58672863), 'Hop': np.float32(0.6064281), 'Kneel': np.float32(0.5893246), 'Pick up object': np.float32(0.5957386), 'Sit down': np.float32(0.5945661), 'Walk': np.float32(0.59864426)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.58118886), 'Fall forward': np.float32(0.58284867), 'Fall left': np.float32(0.5826355), 'Fall right': np.float32(0.58824956), 'Fall sitting': np.float32(0.58577716), 'Hop': np.float32(0.606654), 'Kneel': np.float32(0.589733), 'Pick up object': np.float32(0.5955601), 'Sit down': np.float32(0.5954599), 'Walk': np.float32(0.5986236)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.58027136), 'Fall forward': np.float32(0.5814009), 'Fall left': np.float32(0.58182913), 'Fall right': np.float32(0.58781934), 'Fall sitting': np.float32(0.5848259), 'Hop': np.float32(0.6061364), 'Kneel': np.float32(0.58939314), 'Pick up object': np.float32(0.5949042), 'Sit down': np.float32(0.59575343), 'Walk': np.float32(0.5979214)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.57911056), 'Fall forward': np.float32(0.57970357), 'Fall left': np.float32(0.5806828), 'Fall right': np.float32(0.5869053), 'Fall sitting': np.float32(0.58424056), 'Hop': np.float32(0.60539126), 'Kneel': np.float32(0.5886033), 'Pick up object': np.float32(0.5940326), 'Sit down': np.float32(0.59556293), 'Walk': np.float32(0.5970639)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5778427), 'Fall forward': np.float32(0.57814497), 'Fall left': np.float32(0.5794622), 'Fall right': np.float32(0.58587354), 'Fall sitting': np.float32(0.58333826), 'Hop': np.float32(0.6044563), 'Kneel': np.float32(0.5874292), 'Pick up object': np.float32(0.5928394), 'Sit down': np.float32(0.5947187), 'Walk': np.float32(0.59622675)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.57682747), 'Fall forward': np.float32(0.5772273), 'Fall left': np.float32(0.57864165), 'Fall right': np.float32(0.5849832), 'Fall sitting': np.float32(0.58310133), 'Hop': np.float32(0.6037737), 'Kneel': np.float32(0.5866392), 'Pick up object': np.float32(0.59190255), 'Sit down': np.float32(0.59411305), 'Walk': np.float32(0.59559727)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.57741976), 'Fall forward': np.float32(0.5776401), 'Fall left': np.float32(0.5793005), 'Fall right': np.float32(0.5856796), 'Fall sitting': np.float32(0.58403313), 'Hop': np.float32(0.60431415), 'Kneel': np.float32(0.58728355), 'Pick up object': np.float32(0.5924986), 'Sit down': np.float32(0.59512854), 'Walk': np.float32(0.59633464)}
