Ground Truth: Fall right

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5931688), 'Fall forward': np.float32(0.59685475), 'Fall left': np.float32(0.5937264), 'Fall right': np.float32(0.60186875), 'Fall sitting': np.float32(0.5850678), 'Hop': np.float32(0.61484694), 'Kneel': np.float32(0.59981275), 'Pick up object': np.float32(0.6026192), 'Sit down': np.float32(0.5945902), 'Walk': np.float32(0.6117641)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.59509736), 'Fall forward': np.float32(0.59879196), 'Fall left': np.float32(0.5958467), 'Fall right': np.float32(0.6039028), 'Fall sitting': np.float32(0.5859768), 'Hop': np.float32(0.61731195), 'Kneel': np.float32(0.6023209), 'Pick up object': np.float32(0.604856), 'Sit down': np.float32(0.5969948), 'Walk': np.float32(0.61405045)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.59448487), 'Fall forward': np.float32(0.5982877), 'Fall left': np.float32(0.59531784), 'Fall right': np.float32(0.6032781), 'Fall sitting': np.float32(0.5844186), 'Hop': np.float32(0.6173907), 'Kneel': np.float32(0.6022838), 'Pick up object': np.float32(0.60428816), 'Sit down': np.float32(0.5968581), 'Walk': np.float32(0.6138506)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.5939711), 'Fall forward': np.float32(0.59810835), 'Fall left': np.float32(0.5950966), 'Fall right': np.float32(0.6029623), 'Fall sitting': np.float32(0.58385813), 'Hop': np.float32(0.6175485), 'Kneel': np.float32(0.6023743), 'Pick up object': np.float32(0.6042487), 'Sit down': np.float32(0.5972126), 'Walk': np.float32(0.6138936)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5943409), 'Fall forward': np.float32(0.5989986), 'Fall left': np.float32(0.59546244), 'Fall right': np.float32(0.60351956), 'Fall sitting': np.float32(0.584384), 'Hop': np.float32(0.6178284), 'Kneel': np.float32(0.60284966), 'Pick up object': np.float32(0.6046086), 'Sit down': np.float32(0.59752476), 'Walk': np.float32(0.61449856)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5951691), 'Fall forward': np.float32(0.60010076), 'Fall left': np.float32(0.59639937), 'Fall right': np.float32(0.60456955), 'Fall sitting': np.float32(0.58525896), 'Hop': np.float32(0.6184663), 'Kneel': np.float32(0.603731), 'Pick up object': np.float32(0.60544115), 'Sit down': np.float32(0.5984161), 'Walk': np.float32(0.61532474)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5956739), 'Fall forward': np.float32(0.60081774), 'Fall left': np.float32(0.5971336), 'Fall right': np.float32(0.60528463), 'Fall sitting': np.float32(0.58626425), 'Hop': np.float32(0.6191315), 'Kneel': np.float32(0.60440284), 'Pick up object': np.float32(0.60632545), 'Sit down': np.float32(0.5991747), 'Walk': np.float32(0.6160256)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5957835), 'Fall forward': np.float32(0.60107476), 'Fall left': np.float32(0.5974455), 'Fall right': np.float32(0.6055928), 'Fall sitting': np.float32(0.58696854), 'Hop': np.float32(0.61928034), 'Kneel': np.float32(0.60466534), 'Pick up object': np.float32(0.6066272), 'Sit down': np.float32(0.5993882), 'Walk': np.float32(0.6162227)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5953219), 'Fall forward': np.float32(0.6006389), 'Fall left': np.float32(0.5970527), 'Fall right': np.float32(0.6052924), 'Fall sitting': np.float32(0.58659506), 'Hop': np.float32(0.6190231), 'Kneel': np.float32(0.6042548), 'Pick up object': np.float32(0.60608256), 'Sit down': np.float32(0.59899044), 'Walk': np.float32(0.6157961)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.59486336), 'Fall forward': np.float32(0.5998503), 'Fall left': np.float32(0.59666115), 'Fall right': np.float32(0.60494584), 'Fall sitting': np.float32(0.58586234), 'Hop': np.float32(0.6187623), 'Kneel': np.float32(0.60375595), 'Pick up object': np.float32(0.60553694), 'Sit down': np.float32(0.5989361), 'Walk': np.float32(0.61514515)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5951019), 'Fall forward': np.float32(0.5995156), 'Fall left': np.float32(0.5969233), 'Fall right': np.float32(0.60510796), 'Fall sitting': np.float32(0.5860404), 'Hop': np.float32(0.6190464), 'Kneel': np.float32(0.60372174), 'Pick up object': np.float32(0.605778), 'Sit down': np.float32(0.59947383), 'Walk': np.float32(0.61509967)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.59539807), 'Fall forward': np.float32(0.59921324), 'Fall left': np.float32(0.5971057), 'Fall right': np.float32(0.6053712), 'Fall sitting': np.float32(0.58686006), 'Hop': np.float32(0.6194166), 'Kneel': np.float32(0.6036234), 'Pick up object': np.float32(0.6063351), 'Sit down': np.float32(0.6001093), 'Walk': np.float32(0.6149789)}
