Ground Truth: Kneel

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66244036), 'Fall forward': np.float32(0.6609045), 'Fall left': np.float32(0.6607482), 'Fall right': np.float32(0.66035247), 'Fall sitting': np.float32(0.64321625), 'Hop': np.float32(0.6695919), 'Kneel': np.float32(0.66291344), 'Pick up object': np.float32(0.6647108), 'Sit down': np.float32(0.65546024), 'Walk': np.float32(0.6710217)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6621161), 'Fall forward': np.float32(0.6607012), 'Fall left': np.float32(0.6608798), 'Fall right': np.float32(0.6602795), 'Fall sitting': np.float32(0.6443002), 'Hop': np.float32(0.6703671), 'Kneel': np.float32(0.6628747), 'Pick up object': np.float32(0.6659845), 'Sit down': np.float32(0.6565044), 'Walk': np.float32(0.67140424)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66192293), 'Fall forward': np.float32(0.66070604), 'Fall left': np.float32(0.6606412), 'Fall right': np.float32(0.6601173), 'Fall sitting': np.float32(0.64497906), 'Hop': np.float32(0.6708868), 'Kneel': np.float32(0.6627741), 'Pick up object': np.float32(0.6674892), 'Sit down': np.float32(0.6571732), 'Walk': np.float32(0.67185885)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6609562), 'Fall forward': np.float32(0.6595269), 'Fall left': np.float32(0.6595505), 'Fall right': np.float32(0.6591137), 'Fall sitting': np.float32(0.64465475), 'Hop': np.float32(0.6701788), 'Kneel': np.float32(0.6614732), 'Pick up object': np.float32(0.668197), 'Sit down': np.float32(0.65713453), 'Walk': np.float32(0.6710672)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6610737), 'Fall forward': np.float32(0.65942866), 'Fall left': np.float32(0.65970206), 'Fall right': np.float32(0.65946126), 'Fall sitting': np.float32(0.64492035), 'Hop': np.float32(0.67050046), 'Kneel': np.float32(0.661678), 'Pick up object': np.float32(0.6693161), 'Sit down': np.float32(0.65778255), 'Walk': np.float32(0.67131877)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66181993), 'Fall forward': np.float32(0.6599937), 'Fall left': np.float32(0.6607073), 'Fall right': np.float32(0.6605668), 'Fall sitting': np.float32(0.6466224), 'Hop': np.float32(0.6706903), 'Kneel': np.float32(0.66269773), 'Pick up object': np.float32(0.67047644), 'Sit down': np.float32(0.6591307), 'Walk': np.float32(0.67143404)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.66184735), 'Fall forward': np.float32(0.6600617), 'Fall left': np.float32(0.6609637), 'Fall right': np.float32(0.66075826), 'Fall sitting': np.float32(0.6472138), 'Hop': np.float32(0.67050916), 'Kneel': np.float32(0.6630964), 'Pick up object': np.float32(0.6704635), 'Sit down': np.float32(0.6595256), 'Walk': np.float32(0.6713043)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6620411), 'Fall forward': np.float32(0.6603271), 'Fall left': np.float32(0.6614315), 'Fall right': np.float32(0.6610503), 'Fall sitting': np.float32(0.6482521), 'Hop': np.float32(0.6705377), 'Kneel': np.float32(0.66365546), 'Pick up object': np.float32(0.67078656), 'Sit down': np.float32(0.6602147), 'Walk': np.float32(0.67145556)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6622988), 'Fall forward': np.float32(0.66076505), 'Fall left': np.float32(0.66196406), 'Fall right': np.float32(0.6614221), 'Fall sitting': np.float32(0.6495524), 'Hop': np.float32(0.6706539), 'Kneel': np.float32(0.6642916), 'Pick up object': np.float32(0.67111534), 'Sit down': np.float32(0.66105086), 'Walk': np.float32(0.6717802)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6628481), 'Fall forward': np.float32(0.66143805), 'Fall left': np.float32(0.6627405), 'Fall right': np.float32(0.6621037), 'Fall sitting': np.float32(0.651026), 'Hop': np.float32(0.6706114), 'Kneel': np.float32(0.66506535), 'Pick up object': np.float32(0.6712552), 'Sit down': np.float32(0.66199553), 'Walk': np.float32(0.6719745)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.66404986), 'Fall forward': np.float32(0.6626248), 'Fall left': np.float32(0.6640859), 'Fall right': np.float32(0.66337854), 'Fall sitting': np.float32(0.65272546), 'Hop': np.float32(0.6710401), 'Kneel': np.float32(0.6664881), 'Pick up object': np.float32(0.6719007), 'Sit down': np.float32(0.66336757), 'Walk': np.float32(0.6724868)}
