Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6616436), 'Fall forward': np.float32(0.65951663), 'Fall left': np.float32(0.662149), 'Fall right': np.float32(0.661775), 'Fall sitting': np.float32(0.64298105), 'Hop': np.float32(0.6637779), 'Kneel': np.float32(0.6609189), 'Pick up object': np.float32(0.66397554), 'Sit down': np.float32(0.6565203), 'Walk': np.float32(0.66743106)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.66346276), 'Fall forward': np.float32(0.6618326), 'Fall left': np.float32(0.6639599), 'Fall right': np.float32(0.6633416), 'Fall sitting': np.float32(0.64448464), 'Hop': np.float32(0.66487706), 'Kneel': np.float32(0.6623717), 'Pick up object': np.float32(0.6653902), 'Sit down': np.float32(0.65669453), 'Walk': np.float32(0.6688131)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66432077), 'Fall forward': np.float32(0.6629603), 'Fall left': np.float32(0.6648458), 'Fall right': np.float32(0.66397184), 'Fall sitting': np.float32(0.64536756), 'Hop': np.float32(0.66556334), 'Kneel': np.float32(0.6630801), 'Pick up object': np.float32(0.66609615), 'Sit down': np.float32(0.6572194), 'Walk': np.float32(0.66963196)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6647957), 'Fall forward': np.float32(0.6635799), 'Fall left': np.float32(0.6652799), 'Fall right': np.float32(0.6641516), 'Fall sitting': np.float32(0.645619), 'Hop': np.float32(0.666282), 'Kneel': np.float32(0.66346604), 'Pick up object': np.float32(0.66658306), 'Sit down': np.float32(0.6574923), 'Walk': np.float32(0.67048895)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66594964), 'Fall forward': np.float32(0.66475314), 'Fall left': np.float32(0.6663743), 'Fall right': np.float32(0.6653061), 'Fall sitting': np.float32(0.64678866), 'Hop': np.float32(0.667125), 'Kneel': np.float32(0.6644567), 'Pick up object': np.float32(0.6677588), 'Sit down': np.float32(0.6586625), 'Walk': np.float32(0.67149884)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66608083), 'Fall forward': np.float32(0.6649173), 'Fall left': np.float32(0.66658705), 'Fall right': np.float32(0.6654039), 'Fall sitting': np.float32(0.64712375), 'Hop': np.float32(0.66769385), 'Kneel': np.float32(0.66459274), 'Pick up object': np.float32(0.6686026), 'Sit down': np.float32(0.6593224), 'Walk': np.float32(0.6721927)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6665208), 'Fall forward': np.float32(0.66522837), 'Fall left': np.float32(0.66708934), 'Fall right': np.float32(0.6658051), 'Fall sitting': np.float32(0.64763176), 'Hop': np.float32(0.6684886), 'Kneel': np.float32(0.66504794), 'Pick up object': np.float32(0.66929495), 'Sit down': np.float32(0.66001266), 'Walk': np.float32(0.67288476)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6662217), 'Fall forward': np.float32(0.6649919), 'Fall left': np.float32(0.6668686), 'Fall right': np.float32(0.6654765), 'Fall sitting': np.float32(0.6476788), 'Hop': np.float32(0.6687119), 'Kneel': np.float32(0.6648623), 'Pick up object': np.float32(0.6691926), 'Sit down': np.float32(0.66007996), 'Walk': np.float32(0.6729391)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66592276), 'Fall forward': np.float32(0.66474277), 'Fall left': np.float32(0.66657096), 'Fall right': np.float32(0.66524357), 'Fall sitting': np.float32(0.64788634), 'Hop': np.float32(0.66858494), 'Kneel': np.float32(0.66483474), 'Pick up object': np.float32(0.66894186), 'Sit down': np.float32(0.6601581), 'Walk': np.float32(0.6727049)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6656011), 'Fall forward': np.float32(0.6642507), 'Fall left': np.float32(0.6662382), 'Fall right': np.float32(0.66505265), 'Fall sitting': np.float32(0.648108), 'Hop': np.float32(0.6682816), 'Kneel': np.float32(0.6648211), 'Pick up object': np.float32(0.6687675), 'Sit down': np.float32(0.660592), 'Walk': np.float32(0.6723277)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6657817), 'Fall forward': np.float32(0.6641342), 'Fall left': np.float32(0.66647846), 'Fall right': np.float32(0.66537446), 'Fall sitting': np.float32(0.64885247), 'Hop': np.float32(0.6683454), 'Kneel': np.float32(0.6652092), 'Pick up object': np.float32(0.6690004), 'Sit down': np.float32(0.66165084), 'Walk': np.float32(0.67237383)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6654619), 'Fall forward': np.float32(0.66391695), 'Fall left': np.float32(0.6663279), 'Fall right': np.float32(0.6652247), 'Fall sitting': np.float32(0.64929795), 'Hop': np.float32(0.6685634), 'Kneel': np.float32(0.6654218), 'Pick up object': np.float32(0.66910744), 'Sit down': np.float32(0.66241336), 'Walk': np.float32(0.6724428)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.66482973), 'Fall forward': np.float32(0.6636722), 'Fall left': np.float32(0.66607064), 'Fall right': np.float32(0.66485393), 'Fall sitting': np.float32(0.64970046), 'Hop': np.float32(0.66848373), 'Kneel': np.float32(0.66547453), 'Pick up object': np.float32(0.6690461), 'Sit down': np.float32(0.662812), 'Walk': np.float32(0.67220086)}
t=80 | pred=Walk | scores={'Fall backwards': np.float32(0.66394407), 'Fall forward': np.float32(0.6632337), 'Fall left': np.float32(0.66551286), 'Fall right': np.float32(0.66428787), 'Fall sitting': np.float32(0.64957464), 'Hop': np.float32(0.6679056), 'Kneel': np.float32(0.6652774), 'Pick up object': np.float32(0.66834295), 'Sit down': np.float32(0.6625921), 'Walk': np.float32(0.6714663)}
t=85 | pred=Walk | scores={'Fall backwards': np.float32(0.6636545), 'Fall forward': np.float32(0.66314423), 'Fall left': np.float32(0.6653635), 'Fall right': np.float32(0.6641526), 'Fall sitting': np.float32(0.649619), 'Hop': np.float32(0.6674852), 'Kneel': np.float32(0.6653576), 'Pick up object': np.float32(0.6679158), 'Sit down': np.float32(0.66247624), 'Walk': np.float32(0.6709721)}
t=90 | pred=Walk | scores={'Fall backwards': np.float32(0.6634187), 'Fall forward': np.float32(0.663083), 'Fall left': np.float32(0.6652368), 'Fall right': np.float32(0.6640318), 'Fall sitting': np.float32(0.65000737), 'Hop': np.float32(0.66715205), 'Kneel': np.float32(0.66562355), 'Pick up object': np.float32(0.6675865), 'Sit down': np.float32(0.66276205), 'Walk': np.float32(0.67051226)}
