Ground Truth: Fall backwards

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66390485), 'Fall forward': np.float32(0.65325373), 'Fall left': np.float32(0.6628442), 'Fall right': np.float32(0.66110605), 'Fall sitting': np.float32(0.6481396), 'Hop': np.float32(0.6603161), 'Kneel': np.float32(0.659521), 'Pick up object': np.float32(0.6627397), 'Sit down': np.float32(0.6632568), 'Walk': np.float32(0.664269)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6647685), 'Fall forward': np.float32(0.6535343), 'Fall left': np.float32(0.6634136), 'Fall right': np.float32(0.6619282), 'Fall sitting': np.float32(0.6488091), 'Hop': np.float32(0.66024804), 'Kneel': np.float32(0.66026413), 'Pick up object': np.float32(0.6627599), 'Sit down': np.float32(0.6634841), 'Walk': np.float32(0.66427827)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66463), 'Fall forward': np.float32(0.6533222), 'Fall left': np.float32(0.6632212), 'Fall right': np.float32(0.661779), 'Fall sitting': np.float32(0.648608), 'Hop': np.float32(0.65983236), 'Kneel': np.float32(0.6602918), 'Pick up object': np.float32(0.66237414), 'Sit down': np.float32(0.6633584), 'Walk': np.float32(0.66375375)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6640472), 'Fall forward': np.float32(0.6529625), 'Fall left': np.float32(0.6626341), 'Fall right': np.float32(0.6612891), 'Fall sitting': np.float32(0.64798844), 'Hop': np.float32(0.659614), 'Kneel': np.float32(0.6600591), 'Pick up object': np.float32(0.66225445), 'Sit down': np.float32(0.66319436), 'Walk': np.float32(0.66332436)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6635541), 'Fall forward': np.float32(0.65286124), 'Fall left': np.float32(0.662049), 'Fall right': np.float32(0.66100705), 'Fall sitting': np.float32(0.64718544), 'Hop': np.float32(0.65965635), 'Kneel': np.float32(0.6596801), 'Pick up object': np.float32(0.6622058), 'Sit down': np.float32(0.6626967), 'Walk': np.float32(0.66338414)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6641082), 'Fall forward': np.float32(0.6533051), 'Fall left': np.float32(0.6624382), 'Fall right': np.float32(0.6615185), 'Fall sitting': np.float32(0.6475376), 'Hop': np.float32(0.66065806), 'Kneel': np.float32(0.65990824), 'Pick up object': np.float32(0.6629541), 'Sit down': np.float32(0.6628476), 'Walk': np.float32(0.66445017)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6663702), 'Fall forward': np.float32(0.6557638), 'Fall left': np.float32(0.6645549), 'Fall right': np.float32(0.6636447), 'Fall sitting': np.float32(0.6496818), 'Hop': np.float32(0.66300225), 'Kneel': np.float32(0.6620553), 'Pick up object': np.float32(0.66539955), 'Sit down': np.float32(0.66450644), 'Walk': np.float32(0.6671145)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6672282), 'Fall forward': np.float32(0.6568355), 'Fall left': np.float32(0.6652798), 'Fall right': np.float32(0.6644708), 'Fall sitting': np.float32(0.6504643), 'Hop': np.float32(0.6638693), 'Kneel': np.float32(0.66266394), 'Pick up object': np.float32(0.66632175), 'Sit down': np.float32(0.6645555), 'Walk': np.float32(0.6682298)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66866195), 'Fall forward': np.float32(0.6583066), 'Fall left': np.float32(0.6665519), 'Fall right': np.float32(0.6657633), 'Fall sitting': np.float32(0.6517376), 'Hop': np.float32(0.66449475), 'Kneel': np.float32(0.66363937), 'Pick up object': np.float32(0.6670624), 'Sit down': np.float32(0.66525793), 'Walk': np.float32(0.66909593)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67087495), 'Fall forward': np.float32(0.66029996), 'Fall left': np.float32(0.66852945), 'Fall right': np.float32(0.66763693), 'Fall sitting': np.float32(0.65384537), 'Hop': np.float32(0.6652403), 'Kneel': np.float32(0.6651096), 'Pick up object': np.float32(0.66813093), 'Sit down': np.float32(0.66651475), 'Walk': np.float32(0.66999286)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6723571), 'Fall forward': np.float32(0.6616874), 'Fall left': np.float32(0.66974556), 'Fall right': np.float32(0.668758), 'Fall sitting': np.float32(0.6550678), 'Hop': np.float32(0.6653487), 'Kneel': np.float32(0.6659713), 'Pick up object': np.float32(0.668417), 'Sit down': np.float32(0.6672227), 'Walk': np.float32(0.6701874)}
