Ground Truth: Hop

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.653777), 'Fall forward': np.float32(0.65864116), 'Fall left': np.float32(0.65634453), 'Fall right': np.float32(0.6536259), 'Fall sitting': np.float32(0.6457265), 'Hop': np.float32(0.66922146), 'Kneel': np.float32(0.6607076), 'Pick up object': np.float32(0.6579505), 'Sit down': np.float32(0.6495269), 'Walk': np.float32(0.66604376)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6542396), 'Fall forward': np.float32(0.6598883), 'Fall left': np.float32(0.6566332), 'Fall right': np.float32(0.65429115), 'Fall sitting': np.float32(0.6473368), 'Hop': np.float32(0.66953075), 'Kneel': np.float32(0.66114247), 'Pick up object': np.float32(0.65839314), 'Sit down': np.float32(0.64967054), 'Walk': np.float32(0.66618353)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.6543648), 'Fall forward': np.float32(0.66025007), 'Fall left': np.float32(0.6566257), 'Fall right': np.float32(0.654443), 'Fall sitting': np.float32(0.647896), 'Hop': np.float32(0.6698417), 'Kneel': np.float32(0.66139466), 'Pick up object': np.float32(0.65895575), 'Sit down': np.float32(0.64968383), 'Walk': np.float32(0.66668)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.65486926), 'Fall forward': np.float32(0.66110253), 'Fall left': np.float32(0.6573248), 'Fall right': np.float32(0.65513563), 'Fall sitting': np.float32(0.6491722), 'Hop': np.float32(0.6706873), 'Kneel': np.float32(0.6624752), 'Pick up object': np.float32(0.6599776), 'Sit down': np.float32(0.6504223), 'Walk': np.float32(0.66732854)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.65499777), 'Fall forward': np.float32(0.6613084), 'Fall left': np.float32(0.6575155), 'Fall right': np.float32(0.65534467), 'Fall sitting': np.float32(0.6493929), 'Hop': np.float32(0.6710081), 'Kneel': np.float32(0.6629231), 'Pick up object': np.float32(0.6603264), 'Sit down': np.float32(0.6505669), 'Walk': np.float32(0.66764456)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.6553663), 'Fall forward': np.float32(0.66180605), 'Fall left': np.float32(0.65801144), 'Fall right': np.float32(0.6558598), 'Fall sitting': np.float32(0.65022147), 'Hop': np.float32(0.6715795), 'Kneel': np.float32(0.6634647), 'Pick up object': np.float32(0.6610543), 'Sit down': np.float32(0.6511813), 'Walk': np.float32(0.66813624)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.6557834), 'Fall forward': np.float32(0.6626066), 'Fall left': np.float32(0.6586167), 'Fall right': np.float32(0.6563621), 'Fall sitting': np.float32(0.6514566), 'Hop': np.float32(0.6723202), 'Kneel': np.float32(0.66428316), 'Pick up object': np.float32(0.6621197), 'Sit down': np.float32(0.652165), 'Walk': np.float32(0.6686702)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.65570223), 'Fall forward': np.float32(0.6625269), 'Fall left': np.float32(0.6586573), 'Fall right': np.float32(0.6563859), 'Fall sitting': np.float32(0.65157557), 'Hop': np.float32(0.6723746), 'Kneel': np.float32(0.664423), 'Pick up object': np.float32(0.6624964), 'Sit down': np.float32(0.65241724), 'Walk': np.float32(0.66860783)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.65634733), 'Fall forward': np.float32(0.6630157), 'Fall left': np.float32(0.6594142), 'Fall right': np.float32(0.6571533), 'Fall sitting': np.float32(0.6523956), 'Hop': np.float32(0.6726157), 'Kneel': np.float32(0.66515195), 'Pick up object': np.float32(0.66333926), 'Sit down': np.float32(0.6534089), 'Walk': np.float32(0.6688908)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.656379), 'Fall forward': np.float32(0.6630636), 'Fall left': np.float32(0.6595267), 'Fall right': np.float32(0.6573322), 'Fall sitting': np.float32(0.6529837), 'Hop': np.float32(0.67234373), 'Kneel': np.float32(0.66549045), 'Pick up object': np.float32(0.663776), 'Sit down': np.float32(0.65407544), 'Walk': np.float32(0.6688613)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.65653765), 'Fall forward': np.float32(0.6631719), 'Fall left': np.float32(0.6596138), 'Fall right': np.float32(0.65749484), 'Fall sitting': np.float32(0.65314543), 'Hop': np.float32(0.67234653), 'Kneel': np.float32(0.66565526), 'Pick up object': np.float32(0.664031), 'Sit down': np.float32(0.654259), 'Walk': np.float32(0.66894615)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.6569787), 'Fall forward': np.float32(0.66354716), 'Fall left': np.float32(0.6600855), 'Fall right': np.float32(0.6579917), 'Fall sitting': np.float32(0.6535457), 'Hop': np.float32(0.6723235), 'Kneel': np.float32(0.6661386), 'Pick up object': np.float32(0.66427463), 'Sit down': np.float32(0.65480363), 'Walk': np.float32(0.6689616)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.65732527), 'Fall forward': np.float32(0.66387594), 'Fall left': np.float32(0.66050637), 'Fall right': np.float32(0.6584204), 'Fall sitting': np.float32(0.65395355), 'Hop': np.float32(0.6724083), 'Kneel': np.float32(0.6666688), 'Pick up object': np.float32(0.66445065), 'Sit down': np.float32(0.65518785), 'Walk': np.float32(0.66902715)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.657158), 'Fall forward': np.float32(0.66368234), 'Fall left': np.float32(0.66039), 'Fall right': np.float32(0.6582634), 'Fall sitting': np.float32(0.6539027), 'Hop': np.float32(0.6724463), 'Kneel': np.float32(0.6666722), 'Pick up object': np.float32(0.66444135), 'Sit down': np.float32(0.65512836), 'Walk': np.float32(0.6690242)}
