Ground Truth: Pick up object

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66267306), 'Fall forward': np.float32(0.6607948), 'Fall left': np.float32(0.6617542), 'Fall right': np.float32(0.66137874), 'Fall sitting': np.float32(0.64630675), 'Hop': np.float32(0.6689314), 'Kneel': np.float32(0.6617101), 'Pick up object': np.float32(0.66582763), 'Sit down': np.float32(0.6560838), 'Walk': np.float32(0.67092854)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.66365737), 'Fall forward': np.float32(0.6614183), 'Fall left': np.float32(0.6629836), 'Fall right': np.float32(0.6623768), 'Fall sitting': np.float32(0.6477757), 'Hop': np.float32(0.6705478), 'Kneel': np.float32(0.6627862), 'Pick up object': np.float32(0.66687405), 'Sit down': np.float32(0.6573588), 'Walk': np.float32(0.6719641)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6625991), 'Fall forward': np.float32(0.6611414), 'Fall left': np.float32(0.6623198), 'Fall right': np.float32(0.66129255), 'Fall sitting': np.float32(0.64739287), 'Hop': np.float32(0.67100954), 'Kneel': np.float32(0.6626442), 'Pick up object': np.float32(0.66688395), 'Sit down': np.float32(0.6572962), 'Walk': np.float32(0.6722293)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.66180396), 'Fall forward': np.float32(0.66115505), 'Fall left': np.float32(0.66177833), 'Fall right': np.float32(0.660511), 'Fall sitting': np.float32(0.6476183), 'Hop': np.float32(0.67158854), 'Kneel': np.float32(0.66278774), 'Pick up object': np.float32(0.6671483), 'Sit down': np.float32(0.6576461), 'Walk': np.float32(0.6725132)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66082484), 'Fall forward': np.float32(0.660444), 'Fall left': np.float32(0.66104364), 'Fall right': np.float32(0.6595306), 'Fall sitting': np.float32(0.6472893), 'Hop': np.float32(0.67162627), 'Kneel': np.float32(0.6623712), 'Pick up object': np.float32(0.66706413), 'Sit down': np.float32(0.6577675), 'Walk': np.float32(0.67237633)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.65985286), 'Fall forward': np.float32(0.65920156), 'Fall left': np.float32(0.66024333), 'Fall right': np.float32(0.6584003), 'Fall sitting': np.float32(0.6466801), 'Hop': np.float32(0.6720223), 'Kneel': np.float32(0.66190606), 'Pick up object': np.float32(0.6670301), 'Sit down': np.float32(0.65759677), 'Walk': np.float32(0.6723914)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6593577), 'Fall forward': np.float32(0.6585171), 'Fall left': np.float32(0.65977544), 'Fall right': np.float32(0.65795213), 'Fall sitting': np.float32(0.64661294), 'Hop': np.float32(0.6722398), 'Kneel': np.float32(0.6615877), 'Pick up object': np.float32(0.66702217), 'Sit down': np.float32(0.65745103), 'Walk': np.float32(0.67237157)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.65912575), 'Fall forward': np.float32(0.6583328), 'Fall left': np.float32(0.6595391), 'Fall right': np.float32(0.65779215), 'Fall sitting': np.float32(0.6466416), 'Hop': np.float32(0.67277884), 'Kneel': np.float32(0.6618216), 'Pick up object': np.float32(0.6672692), 'Sit down': np.float32(0.65761375), 'Walk': np.float32(0.67260945)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.6585999), 'Fall forward': np.float32(0.658128), 'Fall left': np.float32(0.65911615), 'Fall right': np.float32(0.6573726), 'Fall sitting': np.float32(0.64629555), 'Hop': np.float32(0.6729243), 'Kneel': np.float32(0.6617999), 'Pick up object': np.float32(0.66728544), 'Sit down': np.float32(0.6574481), 'Walk': np.float32(0.6725577)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.6588453), 'Fall forward': np.float32(0.65819806), 'Fall left': np.float32(0.6592743), 'Fall right': np.float32(0.65783066), 'Fall sitting': np.float32(0.6465112), 'Hop': np.float32(0.67313385), 'Kneel': np.float32(0.6620911), 'Pick up object': np.float32(0.6678405), 'Sit down': np.float32(0.6578192), 'Walk': np.float32(0.6725519)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.66104615), 'Fall forward': np.float32(0.65952474), 'Fall left': np.float32(0.66105866), 'Fall right': np.float32(0.66011417), 'Fall sitting': np.float32(0.6484103), 'Hop': np.float32(0.67344993), 'Kneel': np.float32(0.6634998), 'Pick up object': np.float32(0.6689904), 'Sit down': np.float32(0.6593686), 'Walk': np.float32(0.67301387)}
