Ground Truth: Sit down

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.63575387), 'Fall forward': np.float32(0.64151365), 'Fall left': np.float32(0.64222586), 'Fall right': np.float32(0.63514614), 'Fall sitting': np.float32(0.64343655), 'Hop': np.float32(0.650534), 'Kneel': np.float32(0.6436141), 'Pick up object': np.float32(0.64500993), 'Sit down': np.float32(0.6415267), 'Walk': np.float32(0.6469522)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.63814986), 'Fall forward': np.float32(0.64368695), 'Fall left': np.float32(0.64457893), 'Fall right': np.float32(0.638136), 'Fall sitting': np.float32(0.64729935), 'Hop': np.float32(0.65181166), 'Kneel': np.float32(0.64617455), 'Pick up object': np.float32(0.647276), 'Sit down': np.float32(0.6439503), 'Walk': np.float32(0.6486055)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.6394966), 'Fall forward': np.float32(0.64535785), 'Fall left': np.float32(0.64609754), 'Fall right': np.float32(0.6395128), 'Fall sitting': np.float32(0.64892185), 'Hop': np.float32(0.6529511), 'Kneel': np.float32(0.6475852), 'Pick up object': np.float32(0.6488393), 'Sit down': np.float32(0.6453743), 'Walk': np.float32(0.64961034)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6401553), 'Fall forward': np.float32(0.64628065), 'Fall left': np.float32(0.64702696), 'Fall right': np.float32(0.6404071), 'Fall sitting': np.float32(0.65049666), 'Hop': np.float32(0.65316385), 'Kneel': np.float32(0.64851254), 'Pick up object': np.float32(0.6493962), 'Sit down': np.float32(0.6467857), 'Walk': np.float32(0.64980644)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.63860667), 'Fall forward': np.float32(0.64501053), 'Fall left': np.float32(0.64592284), 'Fall right': np.float32(0.6390369), 'Fall sitting': np.float32(0.65063345), 'Hop': np.float32(0.65192735), 'Kneel': np.float32(0.6472941), 'Pick up object': np.float32(0.6480819), 'Sit down': np.float32(0.6461843), 'Walk': np.float32(0.6483921)}
t=40 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.638114), 'Fall forward': np.float32(0.6442757), 'Fall left': np.float32(0.6456863), 'Fall right': np.float32(0.6386743), 'Fall sitting': np.float32(0.6516499), 'Hop': np.float32(0.6509731), 'Kneel': np.float32(0.646896), 'Pick up object': np.float32(0.6473404), 'Sit down': np.float32(0.6463552), 'Walk': np.float32(0.6473943)}
t=45 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6377925), 'Fall forward': np.float32(0.64364195), 'Fall left': np.float32(0.645428), 'Fall right': np.float32(0.63857883), 'Fall sitting': np.float32(0.65223897), 'Hop': np.float32(0.6501422), 'Kneel': np.float32(0.64665514), 'Pick up object': np.float32(0.6468322), 'Sit down': np.float32(0.64674693), 'Walk': np.float32(0.6465641)}
t=50 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6383388), 'Fall forward': np.float32(0.64375234), 'Fall left': np.float32(0.64594626), 'Fall right': np.float32(0.6393018), 'Fall sitting': np.float32(0.6532946), 'Hop': np.float32(0.6502621), 'Kneel': np.float32(0.6471761), 'Pick up object': np.float32(0.6473527), 'Sit down': np.float32(0.6478198), 'Walk': np.float32(0.6466994)}
t=55 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6391383), 'Fall forward': np.float32(0.6444473), 'Fall left': np.float32(0.6467008), 'Fall right': np.float32(0.6401154), 'Fall sitting': np.float32(0.6545757), 'Hop': np.float32(0.650551), 'Kneel': np.float32(0.64776874), 'Pick up object': np.float32(0.6481737), 'Sit down': np.float32(0.6487052), 'Walk': np.float32(0.6470965)}
t=60 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63949424), 'Fall forward': np.float32(0.6447026), 'Fall left': np.float32(0.64712), 'Fall right': np.float32(0.6404351), 'Fall sitting': np.float32(0.6559531), 'Hop': np.float32(0.6504888), 'Kneel': np.float32(0.64796937), 'Pick up object': np.float32(0.64848393), 'Sit down': np.float32(0.6491952), 'Walk': np.float32(0.6470911)}
t=65 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6405821), 'Fall forward': np.float32(0.64541185), 'Fall left': np.float32(0.6480904), 'Fall right': np.float32(0.64146745), 'Fall sitting': np.float32(0.6573136), 'Hop': np.float32(0.65067536), 'Kneel': np.float32(0.6487408), 'Pick up object': np.float32(0.64906126), 'Sit down': np.float32(0.6501173), 'Walk': np.float32(0.6473617)}
t=70 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64123553), 'Fall forward': np.float32(0.6458182), 'Fall left': np.float32(0.6486816), 'Fall right': np.float32(0.64219135), 'Fall sitting': np.float32(0.6581783), 'Hop': np.float32(0.65060484), 'Kneel': np.float32(0.649009), 'Pick up object': np.float32(0.6492832), 'Sit down': np.float32(0.6505081), 'Walk': np.float32(0.64739233)}
t=75 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6415897), 'Fall forward': np.float32(0.6458536), 'Fall left': np.float32(0.6489888), 'Fall right': np.float32(0.6425623), 'Fall sitting': np.float32(0.6588102), 'Hop': np.float32(0.650233), 'Kneel': np.float32(0.6490446), 'Pick up object': np.float32(0.6491446), 'Sit down': np.float32(0.65076786), 'Walk': np.float32(0.64702225)}
t=80 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64257085), 'Fall forward': np.float32(0.64609706), 'Fall left': np.float32(0.6499225), 'Fall right': np.float32(0.64353484), 'Fall sitting': np.float32(0.6599049), 'Hop': np.float32(0.65017706), 'Kneel': np.float32(0.64960754), 'Pick up object': np.float32(0.6495026), 'Sit down': np.float32(0.652082), 'Walk': np.float32(0.64690983)}
t=85 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6432828), 'Fall forward': np.float32(0.6461668), 'Fall left': np.float32(0.65068644), 'Fall right': np.float32(0.6441709), 'Fall sitting': np.float32(0.66054106), 'Hop': np.float32(0.6501401), 'Kneel': np.float32(0.6500263), 'Pick up object': np.float32(0.6498516), 'Sit down': np.float32(0.6534057), 'Walk': np.float32(0.6468005)}
t=90 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64361084), 'Fall forward': np.float32(0.6458653), 'Fall left': np.float32(0.6510078), 'Fall right': np.float32(0.6443785), 'Fall sitting': np.float32(0.66076803), 'Hop': np.float32(0.64954466), 'Kneel': np.float32(0.64996654), 'Pick up object': np.float32(0.6497028), 'Sit down': np.float32(0.65424985), 'Walk': np.float32(0.646181)}
t=95 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6431939), 'Fall forward': np.float32(0.6450525), 'Fall left': np.float32(0.65052605), 'Fall right': np.float32(0.64382255), 'Fall sitting': np.float32(0.66044027), 'Hop': np.float32(0.6484686), 'Kneel': np.float32(0.64927953), 'Pick up object': np.float32(0.6489841), 'Sit down': np.float32(0.65418494), 'Walk': np.float32(0.6451042)}
t=100 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6427406), 'Fall forward': np.float32(0.6440649), 'Fall left': np.float32(0.6500249), 'Fall right': np.float32(0.64320654), 'Fall sitting': np.float32(0.6601207), 'Hop': np.float32(0.6473838), 'Kneel': np.float32(0.6486328), 'Pick up object': np.float32(0.64822775), 'Sit down': np.float32(0.6541329), 'Walk': np.float32(0.6439406)}
t=105 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64301944), 'Fall forward': np.float32(0.6437844), 'Fall left': np.float32(0.6502637), 'Fall right': np.float32(0.6433701), 'Fall sitting': np.float32(0.6601398), 'Hop': np.float32(0.6471763), 'Kneel': np.float32(0.64872426), 'Pick up object': np.float32(0.64829177), 'Sit down': np.float32(0.65473104), 'Walk': np.float32(0.64370733)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64433926), 'Fall forward': np.float32(0.64464885), 'Fall left': np.float32(0.65152156), 'Fall right': np.float32(0.6444913), 'Fall sitting': np.float32(0.6609518), 'Hop': np.float32(0.6479301), 'Kneel': np.float32(0.64986676), 'Pick up object': np.float32(0.6494325), 'Sit down': np.float32(0.65619355), 'Walk': np.float32(0.64444625)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6456371), 'Fall forward': np.float32(0.6456406), 'Fall left': np.float32(0.6527406), 'Fall right': np.float32(0.64565706), 'Fall sitting': np.float32(0.66176546), 'Hop': np.float32(0.64877933), 'Kneel': np.float32(0.6510198), 'Pick up object': np.float32(0.650553), 'Sit down': np.float32(0.6575341), 'Walk': np.float32(0.64531994)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6458924), 'Fall forward': np.float32(0.6454031), 'Fall left': np.float32(0.6528956), 'Fall right': np.float32(0.64572847), 'Fall sitting': np.float32(0.6615379), 'Hop': np.float32(0.64849854), 'Kneel': np.float32(0.65105325), 'Pick up object': np.float32(0.6505754), 'Sit down': np.float32(0.6579932), 'Walk': np.float32(0.64501536)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6454974), 'Fall forward': np.float32(0.64463407), 'Fall left': np.float32(0.6524529), 'Fall right': np.float32(0.6451838), 'Fall sitting': np.float32(0.66078645), 'Hop': np.float32(0.6476926), 'Kneel': np.float32(0.65053105), 'Pick up object': np.float32(0.6500255), 'Sit down': np.float32(0.6579177), 'Walk': np.float32(0.64418596)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64476496), 'Fall forward': np.float32(0.64349216), 'Fall left': np.float32(0.65167606), 'Fall right': np.float32(0.6443266), 'Fall sitting': np.float32(0.65998316), 'Hop': np.float32(0.6464933), 'Kneel': np.float32(0.6496494), 'Pick up object': np.float32(0.6491519), 'Sit down': np.float32(0.657449), 'Walk': np.float32(0.6429096)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6439552), 'Fall forward': np.float32(0.6424192), 'Fall left': np.float32(0.65084106), 'Fall right': np.float32(0.64340013), 'Fall sitting': np.float32(0.65918916), 'Hop': np.float32(0.64535), 'Kneel': np.float32(0.6486765), 'Pick up object': np.float32(0.6482509), 'Sit down': np.float32(0.6568496), 'Walk': np.float32(0.6417092)}
