Ground Truth: Pick up object

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.65939933), 'Fall forward': np.float32(0.66491914), 'Fall left': np.float32(0.663016), 'Fall right': np.float32(0.6590205), 'Fall sitting': np.float32(0.6464079), 'Hop': np.float32(0.6666661), 'Kneel': np.float32(0.6627986), 'Pick up object': np.float32(0.6609955), 'Sit down': np.float32(0.6510143), 'Walk': np.float32(0.6678915)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.65902305), 'Fall forward': np.float32(0.6648467), 'Fall left': np.float32(0.6623518), 'Fall right': np.float32(0.65839475), 'Fall sitting': np.float32(0.6467773), 'Hop': np.float32(0.66790277), 'Kneel': np.float32(0.6631258), 'Pick up object': np.float32(0.66112304), 'Sit down': np.float32(0.6507042), 'Walk': np.float32(0.6688715)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65836245), 'Fall forward': np.float32(0.6648461), 'Fall left': np.float32(0.6619358), 'Fall right': np.float32(0.65803623), 'Fall sitting': np.float32(0.64718926), 'Hop': np.float32(0.66797906), 'Kneel': np.float32(0.6632676), 'Pick up object': np.float32(0.6608577), 'Sit down': np.float32(0.6503907), 'Walk': np.float32(0.6686468)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.65851283), 'Fall forward': np.float32(0.6655892), 'Fall left': np.float32(0.6622596), 'Fall right': np.float32(0.6584393), 'Fall sitting': np.float32(0.6481706), 'Hop': np.float32(0.6688222), 'Kneel': np.float32(0.66401154), 'Pick up object': np.float32(0.66168636), 'Sit down': np.float32(0.6508765), 'Walk': np.float32(0.6692581)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6584962), 'Fall forward': np.float32(0.6660736), 'Fall left': np.float32(0.66233253), 'Fall right': np.float32(0.65859836), 'Fall sitting': np.float32(0.6490669), 'Hop': np.float32(0.6692656), 'Kneel': np.float32(0.66441864), 'Pick up object': np.float32(0.6622457), 'Sit down': np.float32(0.6512217), 'Walk': np.float32(0.6695019)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6583291), 'Fall forward': np.float32(0.6664205), 'Fall left': np.float32(0.66215724), 'Fall right': np.float32(0.65852684), 'Fall sitting': np.float32(0.6504881), 'Hop': np.float32(0.66886485), 'Kneel': np.float32(0.664359), 'Pick up object': np.float32(0.6622304), 'Sit down': np.float32(0.65132105), 'Walk': np.float32(0.66903293)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.65842706), 'Fall forward': np.float32(0.6668158), 'Fall left': np.float32(0.6623525), 'Fall right': np.float32(0.65863913), 'Fall sitting': np.float32(0.65188676), 'Hop': np.float32(0.66851044), 'Kneel': np.float32(0.6641489), 'Pick up object': np.float32(0.6625649), 'Sit down': np.float32(0.65114325), 'Walk': np.float32(0.668597)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.658844), 'Fall forward': np.float32(0.66681904), 'Fall left': np.float32(0.6626327), 'Fall right': np.float32(0.65883875), 'Fall sitting': np.float32(0.6532298), 'Hop': np.float32(0.66786397), 'Kneel': np.float32(0.66360587), 'Pick up object': np.float32(0.66283214), 'Sit down': np.float32(0.65101975), 'Walk': np.float32(0.6676686)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.6585014), 'Fall forward': np.float32(0.6658194), 'Fall left': np.float32(0.66210824), 'Fall right': np.float32(0.65821254), 'Fall sitting': np.float32(0.65346205), 'Hop': np.float32(0.6665296), 'Kneel': np.float32(0.66231155), 'Pick up object': np.float32(0.6622127), 'Sit down': np.float32(0.65030056), 'Walk': np.float32(0.6660493)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.65755236), 'Fall forward': np.float32(0.6642674), 'Fall left': np.float32(0.6609747), 'Fall right': np.float32(0.65710354), 'Fall sitting': np.float32(0.65312725), 'Hop': np.float32(0.66456646), 'Kneel': np.float32(0.6606361), 'Pick up object': np.float32(0.6609706), 'Sit down': np.float32(0.6490713), 'Walk': np.float32(0.66382015)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65721744), 'Fall forward': np.float32(0.6636271), 'Fall left': np.float32(0.66048914), 'Fall right': np.float32(0.6567348), 'Fall sitting': np.float32(0.6531856), 'Hop': np.float32(0.66339666), 'Kneel': np.float32(0.65990347), 'Pick up object': np.float32(0.6602624), 'Sit down': np.float32(0.6484432), 'Walk': np.float32(0.6625393)}
