Ground Truth: Fall left

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.6605751), 'Fall forward': np.float32(0.6607624), 'Fall left': np.float32(0.66242903), 'Fall right': np.float32(0.6583109), 'Fall sitting': np.float32(0.64390814), 'Hop': np.float32(0.65719575), 'Kneel': np.float32(0.658123), 'Pick up object': np.float32(0.6579868), 'Sit down': np.float32(0.65208316), 'Walk': np.float32(0.66220635)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.66080195), 'Fall forward': np.float32(0.6602359), 'Fall left': np.float32(0.6629202), 'Fall right': np.float32(0.658719), 'Fall sitting': np.float32(0.6449553), 'Hop': np.float32(0.6592377), 'Kneel': np.float32(0.6589985), 'Pick up object': np.float32(0.6594044), 'Sit down': np.float32(0.6537934), 'Walk': np.float32(0.66367805)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66189003), 'Fall forward': np.float32(0.661787), 'Fall left': np.float32(0.6640857), 'Fall right': np.float32(0.659879), 'Fall sitting': np.float32(0.64744157), 'Hop': np.float32(0.66112816), 'Kneel': np.float32(0.6605168), 'Pick up object': np.float32(0.6609645), 'Sit down': np.float32(0.6551436), 'Walk': np.float32(0.66522574)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.66392964), 'Fall forward': np.float32(0.6639764), 'Fall left': np.float32(0.6660159), 'Fall right': np.float32(0.66172665), 'Fall sitting': np.float32(0.65070355), 'Hop': np.float32(0.66152066), 'Kneel': np.float32(0.66250324), 'Pick up object': np.float32(0.6618883), 'Sit down': np.float32(0.65608484), 'Walk': np.float32(0.66547364)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.6652696), 'Fall forward': np.float32(0.66582865), 'Fall left': np.float32(0.6672375), 'Fall right': np.float32(0.66284496), 'Fall sitting': np.float32(0.65337783), 'Hop': np.float32(0.6612553), 'Kneel': np.float32(0.6639541), 'Pick up object': np.float32(0.66220737), 'Sit down': np.float32(0.656545), 'Walk': np.float32(0.66503006)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.6682413), 'Fall forward': np.float32(0.6686499), 'Fall left': np.float32(0.67018574), 'Fall right': np.float32(0.6659404), 'Fall sitting': np.float32(0.65653026), 'Hop': np.float32(0.6622404), 'Kneel': np.float32(0.66648084), 'Pick up object': np.float32(0.6641164), 'Sit down': np.float32(0.65826595), 'Walk': np.float32(0.665881)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6694229), 'Fall forward': np.float32(0.6693132), 'Fall left': np.float32(0.67120904), 'Fall right': np.float32(0.6670613), 'Fall sitting': np.float32(0.65737295), 'Hop': np.float32(0.66168797), 'Kneel': np.float32(0.66685665), 'Pick up object': np.float32(0.6641508), 'Sit down': np.float32(0.6582209), 'Walk': np.float32(0.66520286)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.6698725), 'Fall forward': np.float32(0.6695176), 'Fall left': np.float32(0.67160356), 'Fall right': np.float32(0.66757566), 'Fall sitting': np.float32(0.6579317), 'Hop': np.float32(0.66118443), 'Kneel': np.float32(0.66691184), 'Pick up object': np.float32(0.6641176), 'Sit down': np.float32(0.6579344), 'Walk': np.float32(0.66454256)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.6708985), 'Fall forward': np.float32(0.670519), 'Fall left': np.float32(0.67269707), 'Fall right': np.float32(0.6686709), 'Fall sitting': np.float32(0.6589387), 'Hop': np.float32(0.6623405), 'Kneel': np.float32(0.6678483), 'Pick up object': np.float32(0.6651461), 'Sit down': np.float32(0.6587338), 'Walk': np.float32(0.6655913)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.67234415), 'Fall forward': np.float32(0.67167914), 'Fall left': np.float32(0.6740538), 'Fall right': np.float32(0.67003393), 'Fall sitting': np.float32(0.6603879), 'Hop': np.float32(0.6634871), 'Kneel': np.float32(0.6690172), 'Pick up object': np.float32(0.66653365), 'Sit down': np.float32(0.6597474), 'Walk': np.float32(0.6665927)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.6730284), 'Fall forward': np.float32(0.67203224), 'Fall left': np.float32(0.67469066), 'Fall right': np.float32(0.67066604), 'Fall sitting': np.float32(0.66108274), 'Hop': np.float32(0.66357654), 'Kneel': np.float32(0.6694297), 'Pick up object': np.float32(0.6671482), 'Sit down': np.float32(0.66004586), 'Walk': np.float32(0.6666148)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.6730676), 'Fall forward': np.float32(0.6718687), 'Fall left': np.float32(0.6746518), 'Fall right': np.float32(0.6706936), 'Fall sitting': np.float32(0.6610767), 'Hop': np.float32(0.6629056), 'Kneel': np.float32(0.6691464), 'Pick up object': np.float32(0.6669186), 'Sit down': np.float32(0.65971655), 'Walk': np.float32(0.6659856)}
