Ground Truth: Sit down

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.64521927), 'Fall forward': np.float32(0.63861495), 'Fall left': np.float32(0.64640385), 'Fall right': np.float32(0.64319676), 'Fall sitting': np.float32(0.6455948), 'Hop': np.float32(0.6470653), 'Kneel': np.float32(0.6443072), 'Pick up object': np.float32(0.64449), 'Sit down': np.float32(0.65698963), 'Walk': np.float32(0.6474306)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.64778394), 'Fall forward': np.float32(0.6410794), 'Fall left': np.float32(0.64847463), 'Fall right': np.float32(0.64549404), 'Fall sitting': np.float32(0.64672416), 'Hop': np.float32(0.6484525), 'Kneel': np.float32(0.646347), 'Pick up object': np.float32(0.64603263), 'Sit down': np.float32(0.6578818), 'Walk': np.float32(0.64928305)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6499133), 'Fall forward': np.float32(0.64292985), 'Fall left': np.float32(0.6502094), 'Fall right': np.float32(0.6475197), 'Fall sitting': np.float32(0.6479039), 'Hop': np.float32(0.64956594), 'Kneel': np.float32(0.6478835), 'Pick up object': np.float32(0.6474251), 'Sit down': np.float32(0.6589783), 'Walk': np.float32(0.65062225)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.65317464), 'Fall forward': np.float32(0.64569974), 'Fall left': np.float32(0.652898), 'Fall right': np.float32(0.6504289), 'Fall sitting': np.float32(0.64986324), 'Hop': np.float32(0.65046775), 'Kneel': np.float32(0.65005714), 'Pick up object': np.float32(0.6491675), 'Sit down': np.float32(0.6605895), 'Walk': np.float32(0.65209246)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6552702), 'Fall forward': np.float32(0.6473581), 'Fall left': np.float32(0.6544295), 'Fall right': np.float32(0.652139), 'Fall sitting': np.float32(0.6509737), 'Hop': np.float32(0.6505673), 'Kneel': np.float32(0.65129507), 'Pick up object': np.float32(0.6499778), 'Sit down': np.float32(0.6612408), 'Walk': np.float32(0.65259755)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6569855), 'Fall forward': np.float32(0.6486102), 'Fall left': np.float32(0.655649), 'Fall right': np.float32(0.6534885), 'Fall sitting': np.float32(0.651619), 'Hop': np.float32(0.6507931), 'Kneel': np.float32(0.65223914), 'Pick up object': np.float32(0.65084463), 'Sit down': np.float32(0.66167456), 'Walk': np.float32(0.6529908)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.657486), 'Fall forward': np.float32(0.64899665), 'Fall left': np.float32(0.65598583), 'Fall right': np.float32(0.65379924), 'Fall sitting': np.float32(0.65169203), 'Hop': np.float32(0.6506766), 'Kneel': np.float32(0.65238494), 'Pick up object': np.float32(0.6509699), 'Sit down': np.float32(0.66152555), 'Walk': np.float32(0.65294576)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6581921), 'Fall forward': np.float32(0.64972603), 'Fall left': np.float32(0.65658367), 'Fall right': np.float32(0.6544231), 'Fall sitting': np.float32(0.6520498), 'Hop': np.float32(0.6506869), 'Kneel': np.float32(0.65290076), 'Pick up object': np.float32(0.6512783), 'Sit down': np.float32(0.661602), 'Walk': np.float32(0.65299994)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6594067), 'Fall forward': np.float32(0.65103894), 'Fall left': np.float32(0.6577944), 'Fall right': np.float32(0.6557578), 'Fall sitting': np.float32(0.65316427), 'Hop': np.float32(0.651314), 'Kneel': np.float32(0.6541011), 'Pick up object': np.float32(0.6521902), 'Sit down': np.float32(0.6625512), 'Walk': np.float32(0.65379673)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.66065294), 'Fall forward': np.float32(0.65218747), 'Fall left': np.float32(0.6589612), 'Fall right': np.float32(0.6570773), 'Fall sitting': np.float32(0.653977), 'Hop': np.float32(0.65161014), 'Kneel': np.float32(0.6552021), 'Pick up object': np.float32(0.65289074), 'Sit down': np.float32(0.66337126), 'Walk': np.float32(0.6543202)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.661401), 'Fall forward': np.float32(0.6527806), 'Fall left': np.float32(0.6596604), 'Fall right': np.float32(0.65783364), 'Fall sitting': np.float32(0.6544374), 'Hop': np.float32(0.65161973), 'Kneel': np.float32(0.6558856), 'Pick up object': np.float32(0.65329504), 'Sit down': np.float32(0.66399616), 'Walk': np.float32(0.6545419)}
