Ground Truth: Fall forward

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5813136), 'Fall forward': np.float32(0.58972186), 'Fall left': np.float32(0.5817926), 'Fall right': np.float32(0.5906014), 'Fall sitting': np.float32(0.5612985), 'Hop': np.float32(0.59788656), 'Kneel': np.float32(0.5864984), 'Pick up object': np.float32(0.5878862), 'Sit down': np.float32(0.5760969), 'Walk': np.float32(0.59588134)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5808896), 'Fall forward': np.float32(0.5895415), 'Fall left': np.float32(0.5814194), 'Fall right': np.float32(0.5903121), 'Fall sitting': np.float32(0.560966), 'Hop': np.float32(0.59739506), 'Kneel': np.float32(0.58599025), 'Pick up object': np.float32(0.58730817), 'Sit down': np.float32(0.57542914), 'Walk': np.float32(0.59529984)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5813752), 'Fall forward': np.float32(0.5899912), 'Fall left': np.float32(0.5819559), 'Fall right': np.float32(0.5910157), 'Fall sitting': np.float32(0.5620427), 'Hop': np.float32(0.59813416), 'Kneel': np.float32(0.5864259), 'Pick up object': np.float32(0.5881504), 'Sit down': np.float32(0.5758763), 'Walk': np.float32(0.59603024)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.58320963), 'Fall forward': np.float32(0.5916413), 'Fall left': np.float32(0.58350027), 'Fall right': np.float32(0.592766), 'Fall sitting': np.float32(0.5635454), 'Hop': np.float32(0.5995681), 'Kneel': np.float32(0.58793294), 'Pick up object': np.float32(0.58990353), 'Sit down': np.float32(0.5770977), 'Walk': np.float32(0.597599)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5850781), 'Fall forward': np.float32(0.59298086), 'Fall left': np.float32(0.58516514), 'Fall right': np.float32(0.59459144), 'Fall sitting': np.float32(0.56567913), 'Hop': np.float32(0.60111904), 'Kneel': np.float32(0.58978134), 'Pick up object': np.float32(0.5919371), 'Sit down': np.float32(0.5789928), 'Walk': np.float32(0.59918433)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5859814), 'Fall forward': np.float32(0.59379494), 'Fall left': np.float32(0.5859718), 'Fall right': np.float32(0.59558296), 'Fall sitting': np.float32(0.5669836), 'Hop': np.float32(0.60148025), 'Kneel': np.float32(0.5907843), 'Pick up object': np.float32(0.59270173), 'Sit down': np.float32(0.57979906), 'Walk': np.float32(0.59947366)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5866297), 'Fall forward': np.float32(0.5944294), 'Fall left': np.float32(0.5866117), 'Fall right': np.float32(0.596171), 'Fall sitting': np.float32(0.5681293), 'Hop': np.float32(0.6012763), 'Kneel': np.float32(0.5913943), 'Pick up object': np.float32(0.5929979), 'Sit down': np.float32(0.58040345), 'Walk': np.float32(0.5990742)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.58744174), 'Fall forward': np.float32(0.59558153), 'Fall left': np.float32(0.58752865), 'Fall right': np.float32(0.5968519), 'Fall sitting': np.float32(0.56969666), 'Hop': np.float32(0.6013759), 'Kneel': np.float32(0.5923646), 'Pick up object': np.float32(0.5935357), 'Sit down': np.float32(0.5810229), 'Walk': np.float32(0.59902966)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.58834416), 'Fall forward': np.float32(0.5967996), 'Fall left': np.float32(0.58853495), 'Fall right': np.float32(0.59770393), 'Fall sitting': np.float32(0.57123613), 'Hop': np.float32(0.6019738), 'Kneel': np.float32(0.5934495), 'Pick up object': np.float32(0.5944199), 'Sit down': np.float32(0.58174956), 'Walk': np.float32(0.59966)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.58971065), 'Fall forward': np.float32(0.5984327), 'Fall left': np.float32(0.59001243), 'Fall right': np.float32(0.5989335), 'Fall sitting': np.float32(0.5731291), 'Hop': np.float32(0.60321), 'Kneel': np.float32(0.5951085), 'Pick up object': np.float32(0.5959993), 'Sit down': np.float32(0.58302295), 'Walk': np.float32(0.60094726)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5903034), 'Fall forward': np.float32(0.59933025), 'Fall left': np.float32(0.5906377), 'Fall right': np.float32(0.5993487), 'Fall sitting': np.float32(0.5740994), 'Hop': np.float32(0.6039055), 'Kneel': np.float32(0.59594905), 'Pick up object': np.float32(0.59687215), 'Sit down': np.float32(0.5837035), 'Walk': np.float32(0.6017307)}
