Ground Truth: Fall backwards

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6549942), 'Fall forward': np.float32(0.6432822), 'Fall left': np.float32(0.65214586), 'Fall right': np.float32(0.65306026), 'Fall sitting': np.float32(0.6390029), 'Hop': np.float32(0.64926887), 'Kneel': np.float32(0.6503333), 'Pick up object': np.float32(0.6517399), 'Sit down': np.float32(0.65391254), 'Walk': np.float32(0.655646)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6572749), 'Fall forward': np.float32(0.64552504), 'Fall left': np.float32(0.65438235), 'Fall right': np.float32(0.65517676), 'Fall sitting': np.float32(0.641673), 'Hop': np.float32(0.6513601), 'Kneel': np.float32(0.65273565), 'Pick up object': np.float32(0.6542212), 'Sit down': np.float32(0.6563619), 'Walk': np.float32(0.657911)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6592151), 'Fall forward': np.float32(0.64771676), 'Fall left': np.float32(0.6562825), 'Fall right': np.float32(0.6568547), 'Fall sitting': np.float32(0.6440176), 'Hop': np.float32(0.65329605), 'Kneel': np.float32(0.6547978), 'Pick up object': np.float32(0.6562994), 'Sit down': np.float32(0.6581933), 'Walk': np.float32(0.6597344)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6610783), 'Fall forward': np.float32(0.64995605), 'Fall left': np.float32(0.6579472), 'Fall right': np.float32(0.65843064), 'Fall sitting': np.float32(0.6455112), 'Hop': np.float32(0.6552459), 'Kneel': np.float32(0.65679115), 'Pick up object': np.float32(0.65798724), 'Sit down': np.float32(0.6595619), 'Walk': np.float32(0.6614945)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6618827), 'Fall forward': np.float32(0.6509224), 'Fall left': np.float32(0.65853494), 'Fall right': np.float32(0.65909624), 'Fall sitting': np.float32(0.64572304), 'Hop': np.float32(0.65610087), 'Kneel': np.float32(0.6576116), 'Pick up object': np.float32(0.6585851), 'Sit down': np.float32(0.65978163), 'Walk': np.float32(0.662146)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66330504), 'Fall forward': np.float32(0.652382), 'Fall left': np.float32(0.659925), 'Fall right': np.float32(0.66060495), 'Fall sitting': np.float32(0.6473619), 'Hop': np.float32(0.6579146), 'Kneel': np.float32(0.6590908), 'Pick up object': np.float32(0.6605273), 'Sit down': np.float32(0.6612525), 'Walk': np.float32(0.6637836)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66560686), 'Fall forward': np.float32(0.6542974), 'Fall left': np.float32(0.6621097), 'Fall right': np.float32(0.6630511), 'Fall sitting': np.float32(0.64965695), 'Hop': np.float32(0.6594182), 'Kneel': np.float32(0.6611686), 'Pick up object': np.float32(0.66262925), 'Sit down': np.float32(0.663393), 'Walk': np.float32(0.66536385)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6662754), 'Fall forward': np.float32(0.6545872), 'Fall left': np.float32(0.66260076), 'Fall right': np.float32(0.6636647), 'Fall sitting': np.float32(0.65075874), 'Hop': np.float32(0.65871793), 'Kneel': np.float32(0.66166496), 'Pick up object': np.float32(0.6628338), 'Sit down': np.float32(0.66420645), 'Walk': np.float32(0.66461957)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6661512), 'Fall forward': np.float32(0.6542437), 'Fall left': np.float32(0.66230506), 'Fall right': np.float32(0.6633609), 'Fall sitting': np.float32(0.6512735), 'Hop': np.float32(0.65730226), 'Kneel': np.float32(0.66129744), 'Pick up object': np.float32(0.66220826), 'Sit down': np.float32(0.66383946), 'Walk': np.float32(0.6630023)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6677427), 'Fall forward': np.float32(0.65582836), 'Fall left': np.float32(0.6637605), 'Fall right': np.float32(0.66471064), 'Fall sitting': np.float32(0.6529483), 'Hop': np.float32(0.65782386), 'Kneel': np.float32(0.66270214), 'Pick up object': np.float32(0.66360015), 'Sit down': np.float32(0.6646182), 'Walk': np.float32(0.6634642)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67006797), 'Fall forward': np.float32(0.65809226), 'Fall left': np.float32(0.66603357), 'Fall right': np.float32(0.6668643), 'Fall sitting': np.float32(0.6549477), 'Hop': np.float32(0.6595334), 'Kneel': np.float32(0.6648325), 'Pick up object': np.float32(0.6659065), 'Sit down': np.float32(0.6659846), 'Walk': np.float32(0.6649784)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6714597), 'Fall forward': np.float32(0.6588761), 'Fall left': np.float32(0.6672186), 'Fall right': np.float32(0.66793627), 'Fall sitting': np.float32(0.65581983), 'Hop': np.float32(0.6593432), 'Kneel': np.float32(0.66553766), 'Pick up object': np.float32(0.6666379), 'Sit down': np.float32(0.66619235), 'Walk': np.float32(0.66458845)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67223364), 'Fall forward': np.float32(0.65939367), 'Fall left': np.float32(0.66788304), 'Fall right': np.float32(0.66850704), 'Fall sitting': np.float32(0.65630513), 'Hop': np.float32(0.65887296), 'Kneel': np.float32(0.66573846), 'Pick up object': np.float32(0.66683257), 'Sit down': np.float32(0.6659339), 'Walk': np.float32(0.66404814)}
