Ground Truth: Fall forward

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6670594), 'Fall forward': np.float32(0.6668811), 'Fall left': np.float32(0.6678715), 'Fall right': np.float32(0.6671431), 'Fall sitting': np.float32(0.64931875), 'Hop': np.float32(0.66743475), 'Kneel': np.float32(0.6673319), 'Pick up object': np.float32(0.66796976), 'Sit down': np.float32(0.66149384), 'Walk': np.float32(0.67265296)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.66811293), 'Fall forward': np.float32(0.6684006), 'Fall left': np.float32(0.6690739), 'Fall right': np.float32(0.66827714), 'Fall sitting': np.float32(0.6504964), 'Hop': np.float32(0.66851056), 'Kneel': np.float32(0.6684477), 'Pick up object': np.float32(0.66928124), 'Sit down': np.float32(0.66229403), 'Walk': np.float32(0.67387336)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.668462), 'Fall forward': np.float32(0.66864353), 'Fall left': np.float32(0.6693662), 'Fall right': np.float32(0.6683403), 'Fall sitting': np.float32(0.65138465), 'Hop': np.float32(0.6695462), 'Kneel': np.float32(0.6688331), 'Pick up object': np.float32(0.6707158), 'Sit down': np.float32(0.66302395), 'Walk': np.float32(0.67491144)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6700105), 'Fall forward': np.float32(0.6695489), 'Fall left': np.float32(0.6706081), 'Fall right': np.float32(0.66956687), 'Fall sitting': np.float32(0.65262777), 'Hop': np.float32(0.6709867), 'Kneel': np.float32(0.66994214), 'Pick up object': np.float32(0.67236024), 'Sit down': np.float32(0.66412425), 'Walk': np.float32(0.67600626)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6716593), 'Fall forward': np.float32(0.6706277), 'Fall left': np.float32(0.6717608), 'Fall right': np.float32(0.67095375), 'Fall sitting': np.float32(0.653813), 'Hop': np.float32(0.6707303), 'Kneel': np.float32(0.67061394), 'Pick up object': np.float32(0.6728402), 'Sit down': np.float32(0.6645385), 'Walk': np.float32(0.6757018)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6730316), 'Fall forward': np.float32(0.67182547), 'Fall left': np.float32(0.6727939), 'Fall right': np.float32(0.67189807), 'Fall sitting': np.float32(0.6552935), 'Hop': np.float32(0.6701917), 'Kneel': np.float32(0.67129487), 'Pick up object': np.float32(0.6731893), 'Sit down': np.float32(0.6649554), 'Walk': np.float32(0.675177)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6744394), 'Fall forward': np.float32(0.6731412), 'Fall left': np.float32(0.6741172), 'Fall right': np.float32(0.6731061), 'Fall sitting': np.float32(0.65719634), 'Hop': np.float32(0.6701589), 'Kneel': np.float32(0.6728064), 'Pick up object': np.float32(0.6740045), 'Sit down': np.float32(0.66643256), 'Walk': np.float32(0.67517847)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6751294), 'Fall forward': np.float32(0.6741339), 'Fall left': np.float32(0.67483664), 'Fall right': np.float32(0.6736351), 'Fall sitting': np.float32(0.6588698), 'Hop': np.float32(0.6694221), 'Kneel': np.float32(0.6739376), 'Pick up object': np.float32(0.67423636), 'Sit down': np.float32(0.6671707), 'Walk': np.float32(0.6743204)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6759957), 'Fall forward': np.float32(0.67595786), 'Fall left': np.float32(0.675797), 'Fall right': np.float32(0.6745382), 'Fall sitting': np.float32(0.6599108), 'Hop': np.float32(0.66918635), 'Kneel': np.float32(0.6753845), 'Pick up object': np.float32(0.6745064), 'Sit down': np.float32(0.66745883), 'Walk': np.float32(0.674051)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6759205), 'Fall forward': np.float32(0.67695963), 'Fall left': np.float32(0.67601085), 'Fall right': np.float32(0.6745113), 'Fall sitting': np.float32(0.6604198), 'Hop': np.float32(0.6683146), 'Kneel': np.float32(0.6760615), 'Pick up object': np.float32(0.6741237), 'Sit down': np.float32(0.6674072), 'Walk': np.float32(0.6729584)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6761295), 'Fall forward': np.float32(0.677855), 'Fall left': np.float32(0.6764028), 'Fall right': np.float32(0.6746999), 'Fall sitting': np.float32(0.6612733), 'Hop': np.float32(0.66825426), 'Kneel': np.float32(0.6766701), 'Pick up object': np.float32(0.67438936), 'Sit down': np.float32(0.66767335), 'Walk': np.float32(0.6726906)}
