Ground Truth: Fall forward

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66162753), 'Fall forward': np.float32(0.66342914), 'Fall left': np.float32(0.6628171), 'Fall right': np.float32(0.66212535), 'Fall sitting': np.float32(0.6422813), 'Hop': np.float32(0.66112274), 'Kneel': np.float32(0.66233623), 'Pick up object': np.float32(0.66245705), 'Sit down': np.float32(0.65442926), 'Walk': np.float32(0.6660973)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6621924), 'Fall forward': np.float32(0.6636566), 'Fall left': np.float32(0.66338176), 'Fall right': np.float32(0.6624807), 'Fall sitting': np.float32(0.6432197), 'Hop': np.float32(0.6616418), 'Kneel': np.float32(0.66285795), 'Pick up object': np.float32(0.6630063), 'Sit down': np.float32(0.65547264), 'Walk': np.float32(0.6665501)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6623882), 'Fall forward': np.float32(0.6636445), 'Fall left': np.float32(0.66351926), 'Fall right': np.float32(0.662438), 'Fall sitting': np.float32(0.6436034), 'Hop': np.float32(0.6622659), 'Kneel': np.float32(0.6632117), 'Pick up object': np.float32(0.6634946), 'Sit down': np.float32(0.656093), 'Walk': np.float32(0.6670774)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.66244787), 'Fall forward': np.float32(0.6632523), 'Fall left': np.float32(0.6635256), 'Fall right': np.float32(0.6622567), 'Fall sitting': np.float32(0.6438999), 'Hop': np.float32(0.66294533), 'Kneel': np.float32(0.66330683), 'Pick up object': np.float32(0.6640127), 'Sit down': np.float32(0.6568487), 'Walk': np.float32(0.667635)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66260946), 'Fall forward': np.float32(0.66291255), 'Fall left': np.float32(0.66349506), 'Fall right': np.float32(0.6621245), 'Fall sitting': np.float32(0.64399344), 'Hop': np.float32(0.6633619), 'Kneel': np.float32(0.6632207), 'Pick up object': np.float32(0.6644997), 'Sit down': np.float32(0.65715766), 'Walk': np.float32(0.667957)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66304153), 'Fall forward': np.float32(0.6632868), 'Fall left': np.float32(0.6637569), 'Fall right': np.float32(0.66237533), 'Fall sitting': np.float32(0.6441864), 'Hop': np.float32(0.6638883), 'Kneel': np.float32(0.6634631), 'Pick up object': np.float32(0.6649716), 'Sit down': np.float32(0.65733695), 'Walk': np.float32(0.66846204)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.66276646), 'Fall forward': np.float32(0.66271067), 'Fall left': np.float32(0.663516), 'Fall right': np.float32(0.66202986), 'Fall sitting': np.float32(0.64421344), 'Hop': np.float32(0.6642263), 'Kneel': np.float32(0.6631056), 'Pick up object': np.float32(0.6651641), 'Sit down': np.float32(0.6576812), 'Walk': np.float32(0.6686349)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6640542), 'Fall forward': np.float32(0.66380805), 'Fall left': np.float32(0.66466796), 'Fall right': np.float32(0.66309863), 'Fall sitting': np.float32(0.6459676), 'Hop': np.float32(0.66632664), 'Kneel': np.float32(0.66418064), 'Pick up object': np.float32(0.6672634), 'Sit down': np.float32(0.6592509), 'Walk': np.float32(0.6702832)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66676843), 'Fall forward': np.float32(0.66638684), 'Fall left': np.float32(0.66714436), 'Fall right': np.float32(0.6655755), 'Fall sitting': np.float32(0.6492714), 'Hop': np.float32(0.667999), 'Kneel': np.float32(0.66654783), 'Pick up object': np.float32(0.66984576), 'Sit down': np.float32(0.6617255), 'Walk': np.float32(0.671752)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6687008), 'Fall forward': np.float32(0.66876614), 'Fall left': np.float32(0.669136), 'Fall right': np.float32(0.6673731), 'Fall sitting': np.float32(0.65258723), 'Hop': np.float32(0.668947), 'Kneel': np.float32(0.6687793), 'Pick up object': np.float32(0.67119026), 'Sit down': np.float32(0.6635948), 'Walk': np.float32(0.67226326)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.66964865), 'Fall forward': np.float32(0.6700588), 'Fall left': np.float32(0.6702422), 'Fall right': np.float32(0.66830903), 'Fall sitting': np.float32(0.6541689), 'Hop': np.float32(0.6691038), 'Kneel': np.float32(0.6701132), 'Pick up object': np.float32(0.67131937), 'Sit down': np.float32(0.6645354), 'Walk': np.float32(0.671803)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6702621), 'Fall forward': np.float32(0.67134315), 'Fall left': np.float32(0.6711182), 'Fall right': np.float32(0.6688897), 'Fall sitting': np.float32(0.6557587), 'Hop': np.float32(0.66907996), 'Kneel': np.float32(0.67099726), 'Pick up object': np.float32(0.6716149), 'Sit down': np.float32(0.665161), 'Walk': np.float32(0.67123514)}
