Ground Truth: Fall forward

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.6549751), 'Fall forward': np.float32(0.6598363), 'Fall left': np.float32(0.6585822), 'Fall right': np.float32(0.65341973), 'Fall sitting': np.float32(0.6497394), 'Hop': np.float32(0.6614031), 'Kneel': np.float32(0.65762967), 'Pick up object': np.float32(0.65916985), 'Sit down': np.float32(0.65332735), 'Walk': np.float32(0.66018724)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6544424), 'Fall forward': np.float32(0.6591671), 'Fall left': np.float32(0.65865606), 'Fall right': np.float32(0.6526099), 'Fall sitting': np.float32(0.6521295), 'Hop': np.float32(0.6596914), 'Kneel': np.float32(0.6567396), 'Pick up object': np.float32(0.6596089), 'Sit down': np.float32(0.65352064), 'Walk': np.float32(0.65843904)}
t=25 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65759146), 'Fall forward': np.float32(0.6640787), 'Fall left': np.float32(0.661745), 'Fall right': np.float32(0.65543664), 'Fall sitting': np.float32(0.65689576), 'Hop': np.float32(0.660752), 'Kneel': np.float32(0.65999067), 'Pick up object': np.float32(0.6613274), 'Sit down': np.float32(0.65558314), 'Walk': np.float32(0.6597216)}
t=30 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6583743), 'Fall forward': np.float32(0.6658517), 'Fall left': np.float32(0.66207045), 'Fall right': np.float32(0.6558063), 'Fall sitting': np.float32(0.65788907), 'Hop': np.float32(0.65871406), 'Kneel': np.float32(0.6603147), 'Pick up object': np.float32(0.6601175), 'Sit down': np.float32(0.65444875), 'Walk': np.float32(0.65807414)}
t=35 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6591417), 'Fall forward': np.float32(0.6674939), 'Fall left': np.float32(0.66289383), 'Fall right': np.float32(0.65652794), 'Fall sitting': np.float32(0.6590081), 'Hop': np.float32(0.65800905), 'Kneel': np.float32(0.6608115), 'Pick up object': np.float32(0.66005546), 'Sit down': np.float32(0.65417874), 'Walk': np.float32(0.65739155)}
t=40 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65889376), 'Fall forward': np.float32(0.66795814), 'Fall left': np.float32(0.66250414), 'Fall right': np.float32(0.6561228), 'Fall sitting': np.float32(0.6593791), 'Hop': np.float32(0.65625906), 'Kneel': np.float32(0.66027987), 'Pick up object': np.float32(0.65908736), 'Sit down': np.float32(0.65269077), 'Walk': np.float32(0.65609187)}
t=45 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65817326), 'Fall forward': np.float32(0.6677161), 'Fall left': np.float32(0.6615692), 'Fall right': np.float32(0.6552847), 'Fall sitting': np.float32(0.6588125), 'Hop': np.float32(0.65498877), 'Kneel': np.float32(0.6593323), 'Pick up object': np.float32(0.65816236), 'Sit down': np.float32(0.65113544), 'Walk': np.float32(0.655093)}
t=50 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65810573), 'Fall forward': np.float32(0.66808033), 'Fall left': np.float32(0.66123825), 'Fall right': np.float32(0.6552051), 'Fall sitting': np.float32(0.6589366), 'Hop': np.float32(0.65454066), 'Kneel': np.float32(0.65898275), 'Pick up object': np.float32(0.6579303), 'Sit down': np.float32(0.6504937), 'Walk': np.float32(0.6549103)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6577185), 'Fall forward': np.float32(0.66816854), 'Fall left': np.float32(0.66077787), 'Fall right': np.float32(0.6548733), 'Fall sitting': np.float32(0.6588957), 'Hop': np.float32(0.654023), 'Kneel': np.float32(0.6585723), 'Pick up object': np.float32(0.6574618), 'Sit down': np.float32(0.64986587), 'Walk': np.float32(0.65459126)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6570288), 'Fall forward': np.float32(0.6679683), 'Fall left': np.float32(0.6599702), 'Fall right': np.float32(0.6541883), 'Fall sitting': np.float32(0.65877396), 'Hop': np.float32(0.6531512), 'Kneel': np.float32(0.65797615), 'Pick up object': np.float32(0.65662944), 'Sit down': np.float32(0.6489485), 'Walk': np.float32(0.6539057)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6566007), 'Fall forward': np.float32(0.6678401), 'Fall left': np.float32(0.65948486), 'Fall right': np.float32(0.6537899), 'Fall sitting': np.float32(0.658652), 'Hop': np.float32(0.6525853), 'Kneel': np.float32(0.65759563), 'Pick up object': np.float32(0.65605396), 'Sit down': np.float32(0.64845514), 'Walk': np.float32(0.6534503)}
