Ground Truth: Pick up object

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.663391), 'Fall forward': np.float32(0.66668373), 'Fall left': np.float32(0.6664707), 'Fall right': np.float32(0.66317713), 'Fall sitting': np.float32(0.6482776), 'Hop': np.float32(0.66181046), 'Kneel': np.float32(0.6636315), 'Pick up object': np.float32(0.66200495), 'Sit down': np.float32(0.65656847), 'Walk': np.float32(0.6643638)}
t=20 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6628093), 'Fall forward': np.float32(0.6666838), 'Fall left': np.float32(0.6659161), 'Fall right': np.float32(0.66245073), 'Fall sitting': np.float32(0.6483288), 'Hop': np.float32(0.66111803), 'Kneel': np.float32(0.6630995), 'Pick up object': np.float32(0.66188043), 'Sit down': np.float32(0.65592694), 'Walk': np.float32(0.66380835)}
t=25 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66291463), 'Fall forward': np.float32(0.6666944), 'Fall left': np.float32(0.6659428), 'Fall right': np.float32(0.66240215), 'Fall sitting': np.float32(0.6494437), 'Hop': np.float32(0.6607893), 'Kneel': np.float32(0.6628971), 'Pick up object': np.float32(0.66236), 'Sit down': np.float32(0.65626675), 'Walk': np.float32(0.663517)}
t=30 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6622377), 'Fall forward': np.float32(0.6654931), 'Fall left': np.float32(0.6654196), 'Fall right': np.float32(0.6616159), 'Fall sitting': np.float32(0.650181), 'Hop': np.float32(0.6597463), 'Kneel': np.float32(0.6618157), 'Pick up object': np.float32(0.6622529), 'Sit down': np.float32(0.6560262), 'Walk': np.float32(0.6623554)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.662468), 'Fall forward': np.float32(0.6647877), 'Fall left': np.float32(0.6659877), 'Fall right': np.float32(0.6616922), 'Fall sitting': np.float32(0.6514021), 'Hop': np.float32(0.660325), 'Kneel': np.float32(0.6617807), 'Pick up object': np.float32(0.66338915), 'Sit down': np.float32(0.6571082), 'Walk': np.float32(0.6625538)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.6623486), 'Fall forward': np.float32(0.6644662), 'Fall left': np.float32(0.66600215), 'Fall right': np.float32(0.6612394), 'Fall sitting': np.float32(0.6520109), 'Hop': np.float32(0.659567), 'Kneel': np.float32(0.6615386), 'Pick up object': np.float32(0.6632378), 'Sit down': np.float32(0.6568922), 'Walk': np.float32(0.66177297)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6621781), 'Fall forward': np.float32(0.66422313), 'Fall left': np.float32(0.6659091), 'Fall right': np.float32(0.66071254), 'Fall sitting': np.float32(0.6527596), 'Hop': np.float32(0.65852207), 'Kneel': np.float32(0.66159225), 'Pick up object': np.float32(0.6627557), 'Sit down': np.float32(0.6570345), 'Walk': np.float32(0.6606545)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.6626736), 'Fall forward': np.float32(0.6643808), 'Fall left': np.float32(0.66632164), 'Fall right': np.float32(0.6608499), 'Fall sitting': np.float32(0.6535115), 'Hop': np.float32(0.6578966), 'Kneel': np.float32(0.6620274), 'Pick up object': np.float32(0.66249156), 'Sit down': np.float32(0.6578041), 'Walk': np.float32(0.66019315)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.66385454), 'Fall forward': np.float32(0.66560453), 'Fall left': np.float32(0.66750324), 'Fall right': np.float32(0.6617709), 'Fall sitting': np.float32(0.6547209), 'Hop': np.float32(0.65779716), 'Kneel': np.float32(0.6630762), 'Pick up object': np.float32(0.662768), 'Sit down': np.float32(0.6586758), 'Walk': np.float32(0.6603474)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.6654686), 'Fall forward': np.float32(0.6673302), 'Fall left': np.float32(0.6692006), 'Fall right': np.float32(0.6632811), 'Fall sitting': np.float32(0.6563241), 'Hop': np.float32(0.658369), 'Kneel': np.float32(0.664673), 'Pick up object': np.float32(0.66375256), 'Sit down': np.float32(0.6598437), 'Walk': np.float32(0.66102594)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.666321), 'Fall forward': np.float32(0.66836613), 'Fall left': np.float32(0.6700986), 'Fall right': np.float32(0.66402364), 'Fall sitting': np.float32(0.65723443), 'Hop': np.float32(0.65868556), 'Kneel': np.float32(0.66556376), 'Pick up object': np.float32(0.6643613), 'Sit down': np.float32(0.66035783), 'Walk': np.float32(0.66139674)}
