Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6554662), 'Fall forward': np.float32(0.6603868), 'Fall left': np.float32(0.65838885), 'Fall right': np.float32(0.6541755), 'Fall sitting': np.float32(0.64205354), 'Hop': np.float32(0.66162235), 'Kneel': np.float32(0.65863174), 'Pick up object': np.float32(0.6582095), 'Sit down': np.float32(0.6498577), 'Walk': np.float32(0.66371965)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.65614796), 'Fall forward': np.float32(0.66097474), 'Fall left': np.float32(0.65917176), 'Fall right': np.float32(0.6549693), 'Fall sitting': np.float32(0.64298147), 'Hop': np.float32(0.66218394), 'Kneel': np.float32(0.65913874), 'Pick up object': np.float32(0.6587409), 'Sit down': np.float32(0.65069723), 'Walk': np.float32(0.66441065)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65569746), 'Fall forward': np.float32(0.6608947), 'Fall left': np.float32(0.65900713), 'Fall right': np.float32(0.6545743), 'Fall sitting': np.float32(0.6428994), 'Hop': np.float32(0.6621229), 'Kneel': np.float32(0.6590008), 'Pick up object': np.float32(0.65827656), 'Sit down': np.float32(0.6505594), 'Walk': np.float32(0.6642968)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6554158), 'Fall forward': np.float32(0.6606525), 'Fall left': np.float32(0.6588705), 'Fall right': np.float32(0.65417707), 'Fall sitting': np.float32(0.6429447), 'Hop': np.float32(0.6622324), 'Kneel': np.float32(0.65886813), 'Pick up object': np.float32(0.6580154), 'Sit down': np.float32(0.6508126), 'Walk': np.float32(0.6642338)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6555574), 'Fall forward': np.float32(0.66090995), 'Fall left': np.float32(0.6590338), 'Fall right': np.float32(0.6541811), 'Fall sitting': np.float32(0.64382136), 'Hop': np.float32(0.6624999), 'Kneel': np.float32(0.6591279), 'Pick up object': np.float32(0.6583332), 'Sit down': np.float32(0.65138316), 'Walk': np.float32(0.6644822)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.65579486), 'Fall forward': np.float32(0.6610792), 'Fall left': np.float32(0.65932834), 'Fall right': np.float32(0.6544173), 'Fall sitting': np.float32(0.6446141), 'Hop': np.float32(0.6631639), 'Kneel': np.float32(0.65946305), 'Pick up object': np.float32(0.65864074), 'Sit down': np.float32(0.65204644), 'Walk': np.float32(0.6649376)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.65625274), 'Fall forward': np.float32(0.66123205), 'Fall left': np.float32(0.65984803), 'Fall right': np.float32(0.65481704), 'Fall sitting': np.float32(0.6453598), 'Hop': np.float32(0.66392297), 'Kneel': np.float32(0.6598625), 'Pick up object': np.float32(0.65914303), 'Sit down': np.float32(0.65254045), 'Walk': np.float32(0.665331)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.656074), 'Fall forward': np.float32(0.66064125), 'Fall left': np.float32(0.65979415), 'Fall right': np.float32(0.65453684), 'Fall sitting': np.float32(0.6455902), 'Hop': np.float32(0.66410637), 'Kneel': np.float32(0.65960646), 'Pick up object': np.float32(0.65926576), 'Sit down': np.float32(0.6526216), 'Walk': np.float32(0.6650332)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6556641), 'Fall forward': np.float32(0.6600336), 'Fall left': np.float32(0.6594754), 'Fall right': np.float32(0.65401727), 'Fall sitting': np.float32(0.64566404), 'Hop': np.float32(0.66409063), 'Kneel': np.float32(0.65924263), 'Pick up object': np.float32(0.65914875), 'Sit down': np.float32(0.65248185), 'Walk': np.float32(0.66478634)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.65631545), 'Fall forward': np.float32(0.6605278), 'Fall left': np.float32(0.6600926), 'Fall right': np.float32(0.6546262), 'Fall sitting': np.float32(0.64653015), 'Hop': np.float32(0.6650414), 'Kneel': np.float32(0.6598729), 'Pick up object': np.float32(0.6599207), 'Sit down': np.float32(0.6530736), 'Walk': np.float32(0.665541)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.657587), 'Fall forward': np.float32(0.6614603), 'Fall left': np.float32(0.661219), 'Fall right': np.float32(0.65586823), 'Fall sitting': np.float32(0.6475822), 'Hop': np.float32(0.6663212), 'Kneel': np.float32(0.66093206), 'Pick up object': np.float32(0.6611268), 'Sit down': np.float32(0.65406454), 'Walk': np.float32(0.6665714)}
