Ground Truth: Fall left

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6569531), 'Fall forward': np.float32(0.6609548), 'Fall left': np.float32(0.65895104), 'Fall right': np.float32(0.655122), 'Fall sitting': np.float32(0.64542294), 'Hop': np.float32(0.6647197), 'Kneel': np.float32(0.6573229), 'Pick up object': np.float32(0.65911096), 'Sit down': np.float32(0.6518157), 'Walk': np.float32(0.6648638)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6570797), 'Fall forward': np.float32(0.66171306), 'Fall left': np.float32(0.65901357), 'Fall right': np.float32(0.655197), 'Fall sitting': np.float32(0.6455396), 'Hop': np.float32(0.6648791), 'Kneel': np.float32(0.6573117), 'Pick up object': np.float32(0.6590486), 'Sit down': np.float32(0.65155005), 'Walk': np.float32(0.6648677)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6577635), 'Fall forward': np.float32(0.66223454), 'Fall left': np.float32(0.65972066), 'Fall right': np.float32(0.65582985), 'Fall sitting': np.float32(0.64650446), 'Hop': np.float32(0.66526), 'Kneel': np.float32(0.6578127), 'Pick up object': np.float32(0.65985745), 'Sit down': np.float32(0.65230364), 'Walk': np.float32(0.665324)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.65944535), 'Fall forward': np.float32(0.6626807), 'Fall left': np.float32(0.6614322), 'Fall right': np.float32(0.65753907), 'Fall sitting': np.float32(0.6481934), 'Hop': np.float32(0.6663526), 'Kneel': np.float32(0.6590385), 'Pick up object': np.float32(0.66157126), 'Sit down': np.float32(0.6547452), 'Walk': np.float32(0.66613716)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.66090846), 'Fall forward': np.float32(0.6631644), 'Fall left': np.float32(0.6628679), 'Fall right': np.float32(0.6589981), 'Fall sitting': np.float32(0.64975166), 'Hop': np.float32(0.66658115), 'Kneel': np.float32(0.6600746), 'Pick up object': np.float32(0.66256326), 'Sit down': np.float32(0.65631694), 'Walk': np.float32(0.6662664)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.66251355), 'Fall forward': np.float32(0.6641734), 'Fall left': np.float32(0.6645015), 'Fall right': np.float32(0.6607304), 'Fall sitting': np.float32(0.6514634), 'Hop': np.float32(0.6661143), 'Kneel': np.float32(0.6612747), 'Pick up object': np.float32(0.66313994), 'Sit down': np.float32(0.6578278), 'Walk': np.float32(0.66592485)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6640053), 'Fall forward': np.float32(0.66547394), 'Fall left': np.float32(0.66588354), 'Fall right': np.float32(0.6622255), 'Fall sitting': np.float32(0.6532282), 'Hop': np.float32(0.6652583), 'Kneel': np.float32(0.6622897), 'Pick up object': np.float32(0.6631327), 'Sit down': np.float32(0.65862745), 'Walk': np.float32(0.6653113)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.6651947), 'Fall forward': np.float32(0.6667828), 'Fall left': np.float32(0.66742873), 'Fall right': np.float32(0.6634657), 'Fall sitting': np.float32(0.65536034), 'Hop': np.float32(0.66464084), 'Kneel': np.float32(0.66362107), 'Pick up object': np.float32(0.66364455), 'Sit down': np.float32(0.65978193), 'Walk': np.float32(0.66487604)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.66656303), 'Fall forward': np.float32(0.6688409), 'Fall left': np.float32(0.668995), 'Fall right': np.float32(0.66461056), 'Fall sitting': np.float32(0.65766674), 'Hop': np.float32(0.6645594), 'Kneel': np.float32(0.6650567), 'Pick up object': np.float32(0.6646107), 'Sit down': np.float32(0.6608228), 'Walk': np.float32(0.6650034)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66745126), 'Fall forward': np.float32(0.67066544), 'Fall left': np.float32(0.67003477), 'Fall right': np.float32(0.6653756), 'Fall sitting': np.float32(0.65897596), 'Hop': np.float32(0.66401076), 'Kneel': np.float32(0.6661058), 'Pick up object': np.float32(0.6649826), 'Sit down': np.float32(0.66072977), 'Walk': np.float32(0.66471666)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66758484), 'Fall forward': np.float32(0.6716224), 'Fall left': np.float32(0.67033136), 'Fall right': np.float32(0.66539687), 'Fall sitting': np.float32(0.6593794), 'Hop': np.float32(0.6635727), 'Kneel': np.float32(0.6664299), 'Pick up object': np.float32(0.6649792), 'Sit down': np.float32(0.6603716), 'Walk': np.float32(0.6643464)}
