Ground Truth: Pick up object

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5841281), 'Fall forward': np.float32(0.5919894), 'Fall left': np.float32(0.58376855), 'Fall right': np.float32(0.59311914), 'Fall sitting': np.float32(0.56894207), 'Hop': np.float32(0.6028874), 'Kneel': np.float32(0.5910812), 'Pick up object': np.float32(0.59401274), 'Sit down': np.float32(0.58149534), 'Walk': np.float32(0.6006057)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.58641326), 'Fall forward': np.float32(0.5936741), 'Fall left': np.float32(0.5858225), 'Fall right': np.float32(0.5952092), 'Fall sitting': np.float32(0.5718174), 'Hop': np.float32(0.6043521), 'Kneel': np.float32(0.5928901), 'Pick up object': np.float32(0.59597534), 'Sit down': np.float32(0.58385515), 'Walk': np.float32(0.60220844)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5875577), 'Fall forward': np.float32(0.5949298), 'Fall left': np.float32(0.5870281), 'Fall right': np.float32(0.5961621), 'Fall sitting': np.float32(0.57355744), 'Hop': np.float32(0.60538954), 'Kneel': np.float32(0.59404236), 'Pick up object': np.float32(0.59746754), 'Sit down': np.float32(0.58521706), 'Walk': np.float32(0.6033326)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.58794564), 'Fall forward': np.float32(0.59537023), 'Fall left': np.float32(0.58771193), 'Fall right': np.float32(0.5967027), 'Fall sitting': np.float32(0.57417166), 'Hop': np.float32(0.60593766), 'Kneel': np.float32(0.594447), 'Pick up object': np.float32(0.5984142), 'Sit down': np.float32(0.5857818), 'Walk': np.float32(0.6038223)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.588117), 'Fall forward': np.float32(0.595303), 'Fall left': np.float32(0.588057), 'Fall right': np.float32(0.59699416), 'Fall sitting': np.float32(0.5749402), 'Hop': np.float32(0.6061074), 'Kneel': np.float32(0.5945224), 'Pick up object': np.float32(0.59899724), 'Sit down': np.float32(0.58646446), 'Walk': np.float32(0.60376316)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5883923), 'Fall forward': np.float32(0.59521073), 'Fall left': np.float32(0.5885027), 'Fall right': np.float32(0.5974168), 'Fall sitting': np.float32(0.576176), 'Hop': np.float32(0.60651594), 'Kneel': np.float32(0.5947767), 'Pick up object': np.float32(0.5999639), 'Sit down': np.float32(0.5875975), 'Walk': np.float32(0.60388386)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.588101), 'Fall forward': np.float32(0.59460616), 'Fall left': np.float32(0.5883835), 'Fall right': np.float32(0.5972093), 'Fall sitting': np.float32(0.5768684), 'Hop': np.float32(0.60639054), 'Kneel': np.float32(0.5945641), 'Pick up object': np.float32(0.6003993), 'Sit down': np.float32(0.5881614), 'Walk': np.float32(0.60346895)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5877142), 'Fall forward': np.float32(0.59357196), 'Fall left': np.float32(0.5880691), 'Fall right': np.float32(0.59687763), 'Fall sitting': np.float32(0.5775211), 'Hop': np.float32(0.60585314), 'Kneel': np.float32(0.59397554), 'Pick up object': np.float32(0.6007384), 'Sit down': np.float32(0.58856654), 'Walk': np.float32(0.6025505)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5872605), 'Fall forward': np.float32(0.5924891), 'Fall left': np.float32(0.58767474), 'Fall right': np.float32(0.59638095), 'Fall sitting': np.float32(0.57789767), 'Hop': np.float32(0.60537046), 'Kneel': np.float32(0.5932206), 'Pick up object': np.float32(0.6007338), 'Sit down': np.float32(0.58870274), 'Walk': np.float32(0.601594)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5879158), 'Fall forward': np.float32(0.5925826), 'Fall left': np.float32(0.58829206), 'Fall right': np.float32(0.59699637), 'Fall sitting': np.float32(0.57905823), 'Hop': np.float32(0.60564643), 'Kneel': np.float32(0.59362155), 'Pick up object': np.float32(0.60150117), 'Sit down': np.float32(0.58956015), 'Walk': np.float32(0.6016265)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5898402), 'Fall forward': np.float32(0.5941669), 'Fall left': np.float32(0.59014034), 'Fall right': np.float32(0.598973), 'Fall sitting': np.float32(0.5812305), 'Hop': np.float32(0.6070445), 'Kneel': np.float32(0.59555393), 'Pick up object': np.float32(0.60336596), 'Sit down': np.float32(0.59143114), 'Walk': np.float32(0.6031169)}
