Ground Truth: Fall forward

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65964776), 'Fall forward': np.float32(0.6640838), 'Fall left': np.float32(0.6630437), 'Fall right': np.float32(0.65988624), 'Fall sitting': np.float32(0.6455665), 'Hop': np.float32(0.6627105), 'Kneel': np.float32(0.6593054), 'Pick up object': np.float32(0.6606189), 'Sit down': np.float32(0.6547487), 'Walk': np.float32(0.6639236)}
t=20 | pred=Fall forward | scores={'Fall backwards': np.float32(0.659154), 'Fall forward': np.float32(0.6637537), 'Fall left': np.float32(0.66246325), 'Fall right': np.float32(0.65944266), 'Fall sitting': np.float32(0.6450308), 'Hop': np.float32(0.6624291), 'Kneel': np.float32(0.65862286), 'Pick up object': np.float32(0.6602143), 'Sit down': np.float32(0.6541509), 'Walk': np.float32(0.663572)}
t=25 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6589175), 'Fall forward': np.float32(0.66368437), 'Fall left': np.float32(0.66221523), 'Fall right': np.float32(0.6592756), 'Fall sitting': np.float32(0.6448321), 'Hop': np.float32(0.66228753), 'Kneel': np.float32(0.65835524), 'Pick up object': np.float32(0.66003793), 'Sit down': np.float32(0.65387154), 'Walk': np.float32(0.66341436)}
t=30 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6589005), 'Fall forward': np.float32(0.66395813), 'Fall left': np.float32(0.6622423), 'Fall right': np.float32(0.6592605), 'Fall sitting': np.float32(0.6448882), 'Hop': np.float32(0.66239905), 'Kneel': np.float32(0.65842086), 'Pick up object': np.float32(0.6600976), 'Sit down': np.float32(0.6539241), 'Walk': np.float32(0.66353256)}
t=35 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65907025), 'Fall forward': np.float32(0.66436124), 'Fall left': np.float32(0.6624757), 'Fall right': np.float32(0.659463), 'Fall sitting': np.float32(0.6451234), 'Hop': np.float32(0.66261894), 'Kneel': np.float32(0.6587648), 'Pick up object': np.float32(0.6603068), 'Sit down': np.float32(0.6542622), 'Walk': np.float32(0.663771)}
t=40 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6593951), 'Fall forward': np.float32(0.6649325), 'Fall left': np.float32(0.6629312), 'Fall right': np.float32(0.65987223), 'Fall sitting': np.float32(0.6456363), 'Hop': np.float32(0.662873), 'Kneel': np.float32(0.6591807), 'Pick up object': np.float32(0.66055065), 'Sit down': np.float32(0.65473175), 'Walk': np.float32(0.6640917)}
t=45 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6594177), 'Fall forward': np.float32(0.66502875), 'Fall left': np.float32(0.6630011), 'Fall right': np.float32(0.6599113), 'Fall sitting': np.float32(0.6458678), 'Hop': np.float32(0.6627783), 'Kneel': np.float32(0.6591897), 'Pick up object': np.float32(0.66051036), 'Sit down': np.float32(0.6549587), 'Walk': np.float32(0.6640271)}
t=50 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6594933), 'Fall forward': np.float32(0.66515964), 'Fall left': np.float32(0.6631072), 'Fall right': np.float32(0.6599474), 'Fall sitting': np.float32(0.6460957), 'Hop': np.float32(0.66270965), 'Kneel': np.float32(0.6592434), 'Pick up object': np.float32(0.66048044), 'Sit down': np.float32(0.65516216), 'Walk': np.float32(0.66397095)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65947306), 'Fall forward': np.float32(0.6651879), 'Fall left': np.float32(0.66312385), 'Fall right': np.float32(0.65988916), 'Fall sitting': np.float32(0.64620376), 'Hop': np.float32(0.66269314), 'Kneel': np.float32(0.65921247), 'Pick up object': np.float32(0.6604841), 'Sit down': np.float32(0.6552068), 'Walk': np.float32(0.6639837)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6594756), 'Fall forward': np.float32(0.66526335), 'Fall left': np.float32(0.6631768), 'Fall right': np.float32(0.65985996), 'Fall sitting': np.float32(0.6462803), 'Hop': np.float32(0.66267586), 'Kneel': np.float32(0.6592311), 'Pick up object': np.float32(0.6605162), 'Sit down': np.float32(0.65523595), 'Walk': np.float32(0.6640246)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65970975), 'Fall forward': np.float32(0.66555774), 'Fall left': np.float32(0.66343045), 'Fall right': np.float32(0.66008383), 'Fall sitting': np.float32(0.64650106), 'Hop': np.float32(0.66274565), 'Kneel': np.float32(0.65947133), 'Pick up object': np.float32(0.6606691), 'Sit down': np.float32(0.65537065), 'Walk': np.float32(0.66420233)}
t=70 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6599121), 'Fall forward': np.float32(0.66579044), 'Fall left': np.float32(0.6636205), 'Fall right': np.float32(0.6602236), 'Fall sitting': np.float32(0.64668405), 'Hop': np.float32(0.66275537), 'Kneel': np.float32(0.659647), 'Pick up object': np.float32(0.6608131), 'Sit down': np.float32(0.65544504), 'Walk': np.float32(0.66435796)}
t=75 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66008425), 'Fall forward': np.float32(0.66596824), 'Fall left': np.float32(0.66376305), 'Fall right': np.float32(0.6603277), 'Fall sitting': np.float32(0.64689344), 'Hop': np.float32(0.6627061), 'Kneel': np.float32(0.65976), 'Pick up object': np.float32(0.6609379), 'Sit down': np.float32(0.655538), 'Walk': np.float32(0.66440797)}
t=80 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66026384), 'Fall forward': np.float32(0.6661956), 'Fall left': np.float32(0.66388917), 'Fall right': np.float32(0.66040593), 'Fall sitting': np.float32(0.64702594), 'Hop': np.float32(0.6627174), 'Kneel': np.float32(0.6598773), 'Pick up object': np.float32(0.66102964), 'Sit down': np.float32(0.6556107), 'Walk': np.float32(0.6645282)}
t=85 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66035396), 'Fall forward': np.float32(0.66634315), 'Fall left': np.float32(0.66397053), 'Fall right': np.float32(0.66045076), 'Fall sitting': np.float32(0.6470617), 'Hop': np.float32(0.6627837), 'Kneel': np.float32(0.65995884), 'Pick up object': np.float32(0.66111153), 'Sit down': np.float32(0.6556527), 'Walk': np.float32(0.6646588)}
t=90 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6605096), 'Fall forward': np.float32(0.66647595), 'Fall left': np.float32(0.6641513), 'Fall right': np.float32(0.6606058), 'Fall sitting': np.float32(0.64729905), 'Hop': np.float32(0.662939), 'Kneel': np.float32(0.6601076), 'Pick up object': np.float32(0.66133475), 'Sit down': np.float32(0.6558476), 'Walk': np.float32(0.6648753)}
t=95 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6605701), 'Fall forward': np.float32(0.66654545), 'Fall left': np.float32(0.6642307), 'Fall right': np.float32(0.66062725), 'Fall sitting': np.float32(0.6475024), 'Hop': np.float32(0.663054), 'Kneel': np.float32(0.66018414), 'Pick up object': np.float32(0.6615215), 'Sit down': np.float32(0.65589774), 'Walk': np.float32(0.66502106)}
t=100 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66069853), 'Fall forward': np.float32(0.6667781), 'Fall left': np.float32(0.6643306), 'Fall right': np.float32(0.6605928), 'Fall sitting': np.float32(0.6477927), 'Hop': np.float32(0.6632134), 'Kneel': np.float32(0.66030246), 'Pick up object': np.float32(0.661849), 'Sit down': np.float32(0.6559767), 'Walk': np.float32(0.66524917)}
t=105 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66080487), 'Fall forward': np.float32(0.667011), 'Fall left': np.float32(0.66439325), 'Fall right': np.float32(0.66056085), 'Fall sitting': np.float32(0.6481654), 'Hop': np.float32(0.66346985), 'Kneel': np.float32(0.66042155), 'Pick up object': np.float32(0.66227734), 'Sit down': np.float32(0.6560965), 'Walk': np.float32(0.6655234)}
t=110 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6607422), 'Fall forward': np.float32(0.66693234), 'Fall left': np.float32(0.6642803), 'Fall right': np.float32(0.66037476), 'Fall sitting': np.float32(0.64828676), 'Hop': np.float32(0.6636526), 'Kneel': np.float32(0.66036564), 'Pick up object': np.float32(0.66260743), 'Sit down': np.float32(0.65611804), 'Walk': np.float32(0.6656693)}
t=115 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66070586), 'Fall forward': np.float32(0.66670454), 'Fall left': np.float32(0.6642186), 'Fall right': np.float32(0.66022414), 'Fall sitting': np.float32(0.6484407), 'Hop': np.float32(0.6636728), 'Kneel': np.float32(0.66026515), 'Pick up object': np.float32(0.66285664), 'Sit down': np.float32(0.65616244), 'Walk': np.float32(0.6656519)}
t=120 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66125685), 'Fall forward': np.float32(0.6671479), 'Fall left': np.float32(0.664767), 'Fall right': np.float32(0.6606984), 'Fall sitting': np.float32(0.6490592), 'Hop': np.float32(0.66392446), 'Kneel': np.float32(0.6607508), 'Pick up object': np.float32(0.6633124), 'Sit down': np.float32(0.65651983), 'Walk': np.float32(0.66593695)}
t=125 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6622893), 'Fall forward': np.float32(0.6680822), 'Fall left': np.float32(0.66582245), 'Fall right': np.float32(0.6617359), 'Fall sitting': np.float32(0.65019506), 'Hop': np.float32(0.664462), 'Kneel': np.float32(0.66181093), 'Pick up object': np.float32(0.664125), 'Sit down': np.float32(0.65749246), 'Walk': np.float32(0.66647637)}
t=130 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6636482), 'Fall forward': np.float32(0.6693811), 'Fall left': np.float32(0.66708934), 'Fall right': np.float32(0.66300976), 'Fall sitting': np.float32(0.6515335), 'Hop': np.float32(0.66498995), 'Kneel': np.float32(0.6630735), 'Pick up object': np.float32(0.66494226), 'Sit down': np.float32(0.6583771), 'Walk': np.float32(0.6670181)}
t=135 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66471756), 'Fall forward': np.float32(0.67075866), 'Fall left': np.float32(0.66817355), 'Fall right': np.float32(0.6640182), 'Fall sitting': np.float32(0.65284276), 'Hop': np.float32(0.66530675), 'Kneel': np.float32(0.66414845), 'Pick up object': np.float32(0.6655699), 'Sit down': np.float32(0.6590213), 'Walk': np.float32(0.66735274)}
t=140 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6654126), 'Fall forward': np.float32(0.67193204), 'Fall left': np.float32(0.6689239), 'Fall right': np.float32(0.6645386), 'Fall sitting': np.float32(0.65372384), 'Hop': np.float32(0.66553843), 'Kneel': np.float32(0.6649094), 'Pick up object': np.float32(0.6659541), 'Sit down': np.float32(0.6593554), 'Walk': np.float32(0.66752094)}
t=145 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6658582), 'Fall forward': np.float32(0.6728773), 'Fall left': np.float32(0.6693951), 'Fall right': np.float32(0.66485196), 'Fall sitting': np.float32(0.654163), 'Hop': np.float32(0.6656069), 'Kneel': np.float32(0.6653795), 'Pick up object': np.float32(0.66608727), 'Sit down': np.float32(0.65948904), 'Walk': np.float32(0.6675428)}
t=150 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6661251), 'Fall forward': np.float32(0.67363065), 'Fall left': np.float32(0.6697144), 'Fall right': np.float32(0.6649715), 'Fall sitting': np.float32(0.6543842), 'Hop': np.float32(0.6653981), 'Kneel': np.float32(0.6656292), 'Pick up object': np.float32(0.6659856), 'Sit down': np.float32(0.65945536), 'Walk': np.float32(0.6672817)}
t=155 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66605765), 'Fall forward': np.float32(0.67403644), 'Fall left': np.float32(0.66973853), 'Fall right': np.float32(0.6648012), 'Fall sitting': np.float32(0.65428364), 'Hop': np.float32(0.6648826), 'Kneel': np.float32(0.66560066), 'Pick up object': np.float32(0.66563314), 'Sit down': np.float32(0.6591074), 'Walk': np.float32(0.66671777)}
t=160 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6659323), 'Fall forward': np.float32(0.67433316), 'Fall left': np.float32(0.6696868), 'Fall right': np.float32(0.6645788), 'Fall sitting': np.float32(0.6541732), 'Hop': np.float32(0.6643424), 'Kneel': np.float32(0.6654959), 'Pick up object': np.float32(0.66527534), 'Sit down': np.float32(0.65872824), 'Walk': np.float32(0.6661464)}
