Ground Truth: Hop

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5875387), 'Fall forward': np.float32(0.5898588), 'Fall left': np.float32(0.5882121), 'Fall right': np.float32(0.59556866), 'Fall sitting': np.float32(0.5768069), 'Hop': np.float32(0.6063411), 'Kneel': np.float32(0.59131056), 'Pick up object': np.float32(0.59731257), 'Sit down': np.float32(0.589641), 'Walk': np.float32(0.60456717)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.58735925), 'Fall forward': np.float32(0.5900966), 'Fall left': np.float32(0.5881149), 'Fall right': np.float32(0.595527), 'Fall sitting': np.float32(0.57701385), 'Hop': np.float32(0.60614437), 'Kneel': np.float32(0.59136355), 'Pick up object': np.float32(0.5976351), 'Sit down': np.float32(0.5893884), 'Walk': np.float32(0.60457546)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.58946615), 'Fall forward': np.float32(0.59245765), 'Fall left': np.float32(0.5904521), 'Fall right': np.float32(0.59766513), 'Fall sitting': np.float32(0.57933486), 'Hop': np.float32(0.60832375), 'Kneel': np.float32(0.59376514), 'Pick up object': np.float32(0.59988874), 'Sit down': np.float32(0.591462), 'Walk': np.float32(0.606549)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59266084), 'Fall forward': np.float32(0.5962718), 'Fall left': np.float32(0.5937272), 'Fall right': np.float32(0.60075074), 'Fall sitting': np.float32(0.58350277), 'Hop': np.float32(0.6117085), 'Kneel': np.float32(0.5973454), 'Pick up object': np.float32(0.6033736), 'Sit down': np.float32(0.59436303), 'Walk': np.float32(0.60970634)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5944905), 'Fall forward': np.float32(0.59794456), 'Fall left': np.float32(0.5956076), 'Fall right': np.float32(0.6024585), 'Fall sitting': np.float32(0.58563316), 'Hop': np.float32(0.613708), 'Kneel': np.float32(0.5992962), 'Pick up object': np.float32(0.60552084), 'Sit down': np.float32(0.59654766), 'Walk': np.float32(0.6116013)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.59477), 'Fall forward': np.float32(0.5983496), 'Fall left': np.float32(0.5961155), 'Fall right': np.float32(0.6027794), 'Fall sitting': np.float32(0.5870707), 'Hop': np.float32(0.6145325), 'Kneel': np.float32(0.5998363), 'Pick up object': np.float32(0.6061704), 'Sit down': np.float32(0.5970693), 'Walk': np.float32(0.61210585)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5953034), 'Fall forward': np.float32(0.59936434), 'Fall left': np.float32(0.59720117), 'Fall right': np.float32(0.60329884), 'Fall sitting': np.float32(0.58924323), 'Hop': np.float32(0.61569726), 'Kneel': np.float32(0.6004157), 'Pick up object': np.float32(0.6071881), 'Sit down': np.float32(0.59815055), 'Walk': np.float32(0.61250275)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5953317), 'Fall forward': np.float32(0.5992487), 'Fall left': np.float32(0.59757996), 'Fall right': np.float32(0.6033913), 'Fall sitting': np.float32(0.5898143), 'Hop': np.float32(0.61624265), 'Kneel': np.float32(0.60056806), 'Pick up object': np.float32(0.6075688), 'Sit down': np.float32(0.5990302), 'Walk': np.float32(0.61245775)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5955943), 'Fall forward': np.float32(0.5996307), 'Fall left': np.float32(0.5983054), 'Fall right': np.float32(0.6036453), 'Fall sitting': np.float32(0.59139127), 'Hop': np.float32(0.617083), 'Kneel': np.float32(0.6010914), 'Pick up object': np.float32(0.60821974), 'Sit down': np.float32(0.6001782), 'Walk': np.float32(0.61271244)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5974707), 'Fall forward': np.float32(0.6012688), 'Fall left': np.float32(0.60020524), 'Fall right': np.float32(0.6056049), 'Fall sitting': np.float32(0.5937812), 'Hop': np.float32(0.6192417), 'Kneel': np.float32(0.60301065), 'Pick up object': np.float32(0.6100251), 'Sit down': np.float32(0.60219026), 'Walk': np.float32(0.6144952)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.59734195), 'Fall forward': np.float32(0.60109913), 'Fall left': np.float32(0.6000811), 'Fall right': np.float32(0.60571045), 'Fall sitting': np.float32(0.59379596), 'Hop': np.float32(0.6194645), 'Kneel': np.float32(0.60312295), 'Pick up object': np.float32(0.60974), 'Sit down': np.float32(0.6021025), 'Walk': np.float32(0.6144725)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.59605867), 'Fall forward': np.float32(0.59980834), 'Fall left': np.float32(0.59879154), 'Fall right': np.float32(0.6044296), 'Fall sitting': np.float32(0.5932542), 'Hop': np.float32(0.6185291), 'Kneel': np.float32(0.6019612), 'Pick up object': np.float32(0.60838985), 'Sit down': np.float32(0.60103476), 'Walk': np.float32(0.61302394)}
