Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6635542), 'Fall forward': np.float32(0.6584856), 'Fall left': np.float32(0.66167974), 'Fall right': np.float32(0.66186124), 'Fall sitting': np.float32(0.6518268), 'Hop': np.float32(0.65881974), 'Kneel': np.float32(0.66018), 'Pick up object': np.float32(0.65662676), 'Sit down': np.float32(0.65814245), 'Walk': np.float32(0.6616816)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66412777), 'Fall forward': np.float32(0.6595833), 'Fall left': np.float32(0.6620302), 'Fall right': np.float32(0.66241264), 'Fall sitting': np.float32(0.6522438), 'Hop': np.float32(0.65951645), 'Kneel': np.float32(0.6608246), 'Pick up object': np.float32(0.65739685), 'Sit down': np.float32(0.65821725), 'Walk': np.float32(0.6623268)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66422266), 'Fall forward': np.float32(0.65987456), 'Fall left': np.float32(0.66208714), 'Fall right': np.float32(0.6625554), 'Fall sitting': np.float32(0.6521013), 'Hop': np.float32(0.65967983), 'Kneel': np.float32(0.66100925), 'Pick up object': np.float32(0.65774137), 'Sit down': np.float32(0.6581302), 'Walk': np.float32(0.6623889)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6644872), 'Fall forward': np.float32(0.6604591), 'Fall left': np.float32(0.66236734), 'Fall right': np.float32(0.66280323), 'Fall sitting': np.float32(0.65219283), 'Hop': np.float32(0.65976894), 'Kneel': np.float32(0.66151965), 'Pick up object': np.float32(0.65829784), 'Sit down': np.float32(0.65831435), 'Walk': np.float32(0.66250294)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66426635), 'Fall forward': np.float32(0.660408), 'Fall left': np.float32(0.6622392), 'Fall right': np.float32(0.6625547), 'Fall sitting': np.float32(0.6520648), 'Hop': np.float32(0.65945274), 'Kneel': np.float32(0.6615279), 'Pick up object': np.float32(0.6584359), 'Sit down': np.float32(0.65812814), 'Walk': np.float32(0.6623593)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66388357), 'Fall forward': np.float32(0.6601854), 'Fall left': np.float32(0.66201323), 'Fall right': np.float32(0.6621249), 'Fall sitting': np.float32(0.6518635), 'Hop': np.float32(0.65906763), 'Kneel': np.float32(0.6614272), 'Pick up object': np.float32(0.6585721), 'Sit down': np.float32(0.65778613), 'Walk': np.float32(0.6620546)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66393185), 'Fall forward': np.float32(0.66021574), 'Fall left': np.float32(0.66212964), 'Fall right': np.float32(0.6622059), 'Fall sitting': np.float32(0.6519696), 'Hop': np.float32(0.659016), 'Kneel': np.float32(0.66158587), 'Pick up object': np.float32(0.65874183), 'Sit down': np.float32(0.6577369), 'Walk': np.float32(0.66200465)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6645139), 'Fall forward': np.float32(0.66056913), 'Fall left': np.float32(0.6627803), 'Fall right': np.float32(0.66285187), 'Fall sitting': np.float32(0.6526681), 'Hop': np.float32(0.65924424), 'Kneel': np.float32(0.6621597), 'Pick up object': np.float32(0.65917176), 'Sit down': np.float32(0.65835834), 'Walk': np.float32(0.66222)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6656952), 'Fall forward': np.float32(0.66144526), 'Fall left': np.float32(0.6640306), 'Fall right': np.float32(0.6641311), 'Fall sitting': np.float32(0.6541736), 'Hop': np.float32(0.6596521), 'Kneel': np.float32(0.6631893), 'Pick up object': np.float32(0.65992934), 'Sit down': np.float32(0.6597171), 'Walk': np.float32(0.6625309)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6670868), 'Fall forward': np.float32(0.6627534), 'Fall left': np.float32(0.6653169), 'Fall right': np.float32(0.66548645), 'Fall sitting': np.float32(0.6556791), 'Hop': np.float32(0.65981674), 'Kneel': np.float32(0.6642488), 'Pick up object': np.float32(0.6605216), 'Sit down': np.float32(0.66048247), 'Walk': np.float32(0.6627912)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66828555), 'Fall forward': np.float32(0.6641439), 'Fall left': np.float32(0.6663689), 'Fall right': np.float32(0.6665147), 'Fall sitting': np.float32(0.6567083), 'Hop': np.float32(0.6600637), 'Kneel': np.float32(0.66508454), 'Pick up object': np.float32(0.66099274), 'Sit down': np.float32(0.6605623), 'Walk': np.float32(0.66312236)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6693649), 'Fall forward': np.float32(0.664803), 'Fall left': np.float32(0.6672642), 'Fall right': np.float32(0.66729987), 'Fall sitting': np.float32(0.65760016), 'Hop': np.float32(0.65990126), 'Kneel': np.float32(0.665484), 'Pick up object': np.float32(0.6613158), 'Sit down': np.float32(0.66049707), 'Walk': np.float32(0.66298836)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67044604), 'Fall forward': np.float32(0.66542), 'Fall left': np.float32(0.6681418), 'Fall right': np.float32(0.6681881), 'Fall sitting': np.float32(0.6583269), 'Hop': np.float32(0.6601243), 'Kneel': np.float32(0.66589147), 'Pick up object': np.float32(0.6618121), 'Sit down': np.float32(0.6604262), 'Walk': np.float32(0.66312164)}
