Ground Truth: Hop

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.661969), 'Fall forward': np.float32(0.66017216), 'Fall left': np.float32(0.66153246), 'Fall right': np.float32(0.6595882), 'Fall sitting': np.float32(0.65430236), 'Hop': np.float32(0.6683775), 'Kneel': np.float32(0.66342694), 'Pick up object': np.float32(0.6692937), 'Sit down': np.float32(0.6612301), 'Walk': np.float32(0.6697085)}
t=20 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6653671), 'Fall forward': np.float32(0.6622334), 'Fall left': np.float32(0.6647145), 'Fall right': np.float32(0.6629644), 'Fall sitting': np.float32(0.6557112), 'Hop': np.float32(0.670515), 'Kneel': np.float32(0.6659499), 'Pick up object': np.float32(0.6720827), 'Sit down': np.float32(0.6636858), 'Walk': np.float32(0.6718961)}
t=25 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6664351), 'Fall forward': np.float32(0.6626842), 'Fall left': np.float32(0.6656854), 'Fall right': np.float32(0.66413504), 'Fall sitting': np.float32(0.6562434), 'Hop': np.float32(0.6708318), 'Kneel': np.float32(0.666584), 'Pick up object': np.float32(0.6726546), 'Sit down': np.float32(0.6644243), 'Walk': np.float32(0.6722943)}
t=30 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6676325), 'Fall forward': np.float32(0.6633526), 'Fall left': np.float32(0.6667245), 'Fall right': np.float32(0.6653203), 'Fall sitting': np.float32(0.65654796), 'Hop': np.float32(0.6711369), 'Kneel': np.float32(0.667358), 'Pick up object': np.float32(0.6731323), 'Sit down': np.float32(0.665091), 'Walk': np.float32(0.67266357)}
t=35 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6685481), 'Fall forward': np.float32(0.6640171), 'Fall left': np.float32(0.6676147), 'Fall right': np.float32(0.6661614), 'Fall sitting': np.float32(0.65689635), 'Hop': np.float32(0.6716309), 'Kneel': np.float32(0.6680136), 'Pick up object': np.float32(0.67385393), 'Sit down': np.float32(0.6659039), 'Walk': np.float32(0.67320406)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6701916), 'Fall forward': np.float32(0.6655238), 'Fall left': np.float32(0.66919607), 'Fall right': np.float32(0.6677934), 'Fall sitting': np.float32(0.6579404), 'Hop': np.float32(0.67221946), 'Kneel': np.float32(0.6695197), 'Pick up object': np.float32(0.67498994), 'Sit down': np.float32(0.66692996), 'Walk': np.float32(0.6740487)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6705065), 'Fall forward': np.float32(0.6656634), 'Fall left': np.float32(0.66960204), 'Fall right': np.float32(0.6681393), 'Fall sitting': np.float32(0.65869725), 'Hop': np.float32(0.67180735), 'Kneel': np.float32(0.6699055), 'Pick up object': np.float32(0.6752298), 'Sit down': np.float32(0.66738486), 'Walk': np.float32(0.6737407)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.67021435), 'Fall forward': np.float32(0.664786), 'Fall left': np.float32(0.6695645), 'Fall right': np.float32(0.66802937), 'Fall sitting': np.float32(0.658603), 'Hop': np.float32(0.67128587), 'Kneel': np.float32(0.6695919), 'Pick up object': np.float32(0.6750219), 'Sit down': np.float32(0.66768694), 'Walk': np.float32(0.6730784)}
t=55 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66993904), 'Fall forward': np.float32(0.6643178), 'Fall left': np.float32(0.6695402), 'Fall right': np.float32(0.66787887), 'Fall sitting': np.float32(0.6583014), 'Hop': np.float32(0.67074597), 'Kneel': np.float32(0.669603), 'Pick up object': np.float32(0.6748248), 'Sit down': np.float32(0.66797817), 'Walk': np.float32(0.6725689)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6693959), 'Fall forward': np.float32(0.6638096), 'Fall left': np.float32(0.6694331), 'Fall right': np.float32(0.66742975), 'Fall sitting': np.float32(0.6580656), 'Hop': np.float32(0.67050433), 'Kneel': np.float32(0.66940147), 'Pick up object': np.float32(0.674804), 'Sit down': np.float32(0.6683208), 'Walk': np.float32(0.6722131)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.67005503), 'Fall forward': np.float32(0.664488), 'Fall left': np.float32(0.67009884), 'Fall right': np.float32(0.66793907), 'Fall sitting': np.float32(0.65857106), 'Hop': np.float32(0.67095596), 'Kneel': np.float32(0.6701957), 'Pick up object': np.float32(0.6752608), 'Sit down': np.float32(0.66910356), 'Walk': np.float32(0.67266804)}
