Ground Truth: Fall forward

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6643953), 'Fall forward': np.float32(0.6698455), 'Fall left': np.float32(0.6651094), 'Fall right': np.float32(0.6621259), 'Fall sitting': np.float32(0.64839715), 'Hop': np.float32(0.6626382), 'Kneel': np.float32(0.6636553), 'Pick up object': np.float32(0.66402483), 'Sit down': np.float32(0.6544177), 'Walk': np.float32(0.66569716)}
t=20 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6657279), 'Fall forward': np.float32(0.670978), 'Fall left': np.float32(0.66643995), 'Fall right': np.float32(0.66365063), 'Fall sitting': np.float32(0.6507653), 'Hop': np.float32(0.66265213), 'Kneel': np.float32(0.66502875), 'Pick up object': np.float32(0.66440564), 'Sit down': np.float32(0.6551901), 'Walk': np.float32(0.6659313)}
t=25 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6651891), 'Fall forward': np.float32(0.6710035), 'Fall left': np.float32(0.66609), 'Fall right': np.float32(0.6629209), 'Fall sitting': np.float32(0.6529763), 'Hop': np.float32(0.66092175), 'Kneel': np.float32(0.6649407), 'Pick up object': np.float32(0.66348416), 'Sit down': np.float32(0.6543903), 'Walk': np.float32(0.6641643)}
t=30 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66583514), 'Fall forward': np.float32(0.6720982), 'Fall left': np.float32(0.6665019), 'Fall right': np.float32(0.66308683), 'Fall sitting': np.float32(0.6544305), 'Hop': np.float32(0.6596897), 'Kneel': np.float32(0.6655068), 'Pick up object': np.float32(0.6629433), 'Sit down': np.float32(0.65423286), 'Walk': np.float32(0.6627302)}
t=35 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66582656), 'Fall forward': np.float32(0.6726633), 'Fall left': np.float32(0.66649765), 'Fall right': np.float32(0.662717), 'Fall sitting': np.float32(0.6543247), 'Hop': np.float32(0.658873), 'Kneel': np.float32(0.66556334), 'Pick up object': np.float32(0.6622801), 'Sit down': np.float32(0.6535803), 'Walk': np.float32(0.66165614)}
t=40 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66594), 'Fall forward': np.float32(0.67367303), 'Fall left': np.float32(0.66675466), 'Fall right': np.float32(0.66262746), 'Fall sitting': np.float32(0.6551379), 'Hop': np.float32(0.65869474), 'Kneel': np.float32(0.6659939), 'Pick up object': np.float32(0.6624302), 'Sit down': np.float32(0.65350795), 'Walk': np.float32(0.66126543)}
t=45 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6658942), 'Fall forward': np.float32(0.6743515), 'Fall left': np.float32(0.66681397), 'Fall right': np.float32(0.66255987), 'Fall sitting': np.float32(0.6555346), 'Hop': np.float32(0.6585098), 'Kneel': np.float32(0.6661777), 'Pick up object': np.float32(0.6624324), 'Sit down': np.float32(0.653514), 'Walk': np.float32(0.6610325)}
t=50 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6657883), 'Fall forward': np.float32(0.67474645), 'Fall left': np.float32(0.66672635), 'Fall right': np.float32(0.66242296), 'Fall sitting': np.float32(0.6555732), 'Hop': np.float32(0.6580744), 'Kneel': np.float32(0.666047), 'Pick up object': np.float32(0.6621873), 'Sit down': np.float32(0.6533532), 'Walk': np.float32(0.6604592)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6655812), 'Fall forward': np.float32(0.6750952), 'Fall left': np.float32(0.6665573), 'Fall right': np.float32(0.66228384), 'Fall sitting': np.float32(0.6556172), 'Hop': np.float32(0.6577419), 'Kneel': np.float32(0.6660135), 'Pick up object': np.float32(0.6620101), 'Sit down': np.float32(0.6532523), 'Walk': np.float32(0.6602004)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6649068), 'Fall forward': np.float32(0.67510766), 'Fall left': np.float32(0.6660087), 'Fall right': np.float32(0.66182274), 'Fall sitting': np.float32(0.6554164), 'Hop': np.float32(0.6569025), 'Kneel': np.float32(0.6657713), 'Pick up object': np.float32(0.6615007), 'Sit down': np.float32(0.6528327), 'Walk': np.float32(0.65949714)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66437984), 'Fall forward': np.float32(0.6749849), 'Fall left': np.float32(0.66552806), 'Fall right': np.float32(0.661408), 'Fall sitting': np.float32(0.65511763), 'Hop': np.float32(0.6562795), 'Kneel': np.float32(0.6654336), 'Pick up object': np.float32(0.66101205), 'Sit down': np.float32(0.65248287), 'Walk': np.float32(0.6589595)}
t=70 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6637487), 'Fall forward': np.float32(0.6748048), 'Fall left': np.float32(0.6648937), 'Fall right': np.float32(0.6608703), 'Fall sitting': np.float32(0.65468556), 'Hop': np.float32(0.6555781), 'Kneel': np.float32(0.66497487), 'Pick up object': np.float32(0.660438), 'Sit down': np.float32(0.65205103), 'Walk': np.float32(0.65836203)}
t=75 | pred=Fall forward | scores={'Fall backwards': np.float32(0.663415), 'Fall forward': np.float32(0.6746715), 'Fall left': np.float32(0.6645315), 'Fall right': np.float32(0.6606068), 'Fall sitting': np.float32(0.6544282), 'Hop': np.float32(0.6551671), 'Kneel': np.float32(0.66474247), 'Pick up object': np.float32(0.66011757), 'Sit down': np.float32(0.6517994), 'Walk': np.float32(0.65798414)}
t=80 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66315037), 'Fall forward': np.float32(0.67460716), 'Fall left': np.float32(0.6642283), 'Fall right': np.float32(0.6604067), 'Fall sitting': np.float32(0.6543145), 'Hop': np.float32(0.65488356), 'Kneel': np.float32(0.6646479), 'Pick up object': np.float32(0.6599342), 'Sit down': np.float32(0.65165985), 'Walk': np.float32(0.65768105)}
t=85 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6629444), 'Fall forward': np.float32(0.67449033), 'Fall left': np.float32(0.66400653), 'Fall right': np.float32(0.66021705), 'Fall sitting': np.float32(0.6541711), 'Hop': np.float32(0.65465254), 'Kneel': np.float32(0.6645235), 'Pick up object': np.float32(0.6597444), 'Sit down': np.float32(0.6515211), 'Walk': np.float32(0.6574593)}
t=90 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6626936), 'Fall forward': np.float32(0.67433244), 'Fall left': np.float32(0.6637346), 'Fall right': np.float32(0.66000307), 'Fall sitting': np.float32(0.65397406), 'Hop': np.float32(0.65436953), 'Kneel': np.float32(0.66433537), 'Pick up object': np.float32(0.6595247), 'Sit down': np.float32(0.6513063), 'Walk': np.float32(0.6571709)}
t=95 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66242176), 'Fall forward': np.float32(0.6741266), 'Fall left': np.float32(0.6634487), 'Fall right': np.float32(0.6597804), 'Fall sitting': np.float32(0.65372974), 'Hop': np.float32(0.65407664), 'Kneel': np.float32(0.66411), 'Pick up object': np.float32(0.65928006), 'Sit down': np.float32(0.65105784), 'Walk': np.float32(0.6568658)}
t=100 | pred=Fall forward | scores={'Fall backwards': np.float32(0.662096), 'Fall forward': np.float32(0.6738489), 'Fall left': np.float32(0.663099), 'Fall right': np.float32(0.65950525), 'Fall sitting': np.float32(0.65345097), 'Hop': np.float32(0.6537327), 'Kneel': np.float32(0.66386974), 'Pick up object': np.float32(0.6589677), 'Sit down': np.float32(0.65078425), 'Walk': np.float32(0.65646493)}
t=105 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6619524), 'Fall forward': np.float32(0.6736853), 'Fall left': np.float32(0.66290325), 'Fall right': np.float32(0.659321), 'Fall sitting': np.float32(0.6533827), 'Hop': np.float32(0.6535174), 'Kneel': np.float32(0.6637473), 'Pick up object': np.float32(0.6587637), 'Sit down': np.float32(0.6507082), 'Walk': np.float32(0.65620404)}
