Ground Truth: Pick up object

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6723181), 'Fall forward': np.float32(0.6708826), 'Fall left': np.float32(0.6721976), 'Fall right': np.float32(0.67187715), 'Fall sitting': np.float32(0.6573565), 'Hop': np.float32(0.6739517), 'Kneel': np.float32(0.67250246), 'Pick up object': np.float32(0.6740148), 'Sit down': np.float32(0.6668961), 'Walk': np.float32(0.6776775)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.67385644), 'Fall forward': np.float32(0.672995), 'Fall left': np.float32(0.6738262), 'Fall right': np.float32(0.67326885), 'Fall sitting': np.float32(0.65989447), 'Hop': np.float32(0.6739989), 'Kneel': np.float32(0.67408305), 'Pick up object': np.float32(0.6753207), 'Sit down': np.float32(0.66776425), 'Walk': np.float32(0.6776962)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.67373985), 'Fall forward': np.float32(0.672727), 'Fall left': np.float32(0.67369014), 'Fall right': np.float32(0.6728743), 'Fall sitting': np.float32(0.6609694), 'Hop': np.float32(0.67391926), 'Kneel': np.float32(0.6739156), 'Pick up object': np.float32(0.6761385), 'Sit down': np.float32(0.6681472), 'Walk': np.float32(0.67778283)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6741948), 'Fall forward': np.float32(0.6727453), 'Fall left': np.float32(0.6740738), 'Fall right': np.float32(0.6729566), 'Fall sitting': np.float32(0.66174406), 'Hop': np.float32(0.6744118), 'Kneel': np.float32(0.6739992), 'Pick up object': np.float32(0.67721957), 'Sit down': np.float32(0.66881615), 'Walk': np.float32(0.67828643)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6743842), 'Fall forward': np.float32(0.6727805), 'Fall left': np.float32(0.6743438), 'Fall right': np.float32(0.6727874), 'Fall sitting': np.float32(0.66191536), 'Hop': np.float32(0.67540324), 'Kneel': np.float32(0.6742689), 'Pick up object': np.float32(0.6785127), 'Sit down': np.float32(0.66944987), 'Walk': np.float32(0.6790145)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6727449), 'Fall forward': np.float32(0.6706352), 'Fall left': np.float32(0.6729087), 'Fall right': np.float32(0.67102134), 'Fall sitting': np.float32(0.66112155), 'Hop': np.float32(0.67435193), 'Kneel': np.float32(0.6728266), 'Pick up object': np.float32(0.67820036), 'Sit down': np.float32(0.669318), 'Walk': np.float32(0.6775154)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6714754), 'Fall forward': np.float32(0.6689866), 'Fall left': np.float32(0.67159814), 'Fall right': np.float32(0.66963774), 'Fall sitting': np.float32(0.6602465), 'Hop': np.float32(0.6729256), 'Kneel': np.float32(0.67155206), 'Pick up object': np.float32(0.6772052), 'Sit down': np.float32(0.6689222), 'Walk': np.float32(0.67593753)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.67171794), 'Fall forward': np.float32(0.6690922), 'Fall left': np.float32(0.6719812), 'Fall right': np.float32(0.6699164), 'Fall sitting': np.float32(0.6605146), 'Hop': np.float32(0.67237926), 'Kneel': np.float32(0.67184645), 'Pick up object': np.float32(0.6770201), 'Sit down': np.float32(0.66974556), 'Walk': np.float32(0.6754882)}
t=55 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6719907), 'Fall forward': np.float32(0.6690826), 'Fall left': np.float32(0.6724104), 'Fall right': np.float32(0.670097), 'Fall sitting': np.float32(0.66082954), 'Hop': np.float32(0.6718712), 'Kneel': np.float32(0.6722685), 'Pick up object': np.float32(0.67688596), 'Sit down': np.float32(0.6704147), 'Walk': np.float32(0.67499495)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6720081), 'Fall forward': np.float32(0.66881317), 'Fall left': np.float32(0.67255855), 'Fall right': np.float32(0.6701112), 'Fall sitting': np.float32(0.6610676), 'Hop': np.float32(0.6711355), 'Kneel': np.float32(0.6723585), 'Pick up object': np.float32(0.6766953), 'Sit down': np.float32(0.67074984), 'Walk': np.float32(0.67415327)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6725427), 'Fall forward': np.float32(0.66936725), 'Fall left': np.float32(0.6731384), 'Fall right': np.float32(0.6706493), 'Fall sitting': np.float32(0.66213983), 'Hop': np.float32(0.6709775), 'Kneel': np.float32(0.67288136), 'Pick up object': np.float32(0.67691195), 'Sit down': np.float32(0.6713286), 'Walk': np.float32(0.6739642)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.67321694), 'Fall forward': np.float32(0.6700798), 'Fall left': np.float32(0.6738024), 'Fall right': np.float32(0.67132), 'Fall sitting': np.float32(0.66322076), 'Hop': np.float32(0.6707853), 'Kneel': np.float32(0.67352474), 'Pick up object': np.float32(0.6771394), 'Sit down': np.float32(0.6718919), 'Walk': np.float32(0.67379665)}
