Ground Truth: Fall right

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6446361), 'Fall forward': np.float32(0.6405034), 'Fall left': np.float32(0.64880604), 'Fall right': np.float32(0.64631015), 'Fall sitting': np.float32(0.64408743), 'Hop': np.float32(0.64439726), 'Kneel': np.float32(0.6486001), 'Pick up object': np.float32(0.64804304), 'Sit down': np.float32(0.6570511), 'Walk': np.float32(0.6458107)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.6471883), 'Fall forward': np.float32(0.6429382), 'Fall left': np.float32(0.65110135), 'Fall right': np.float32(0.6484593), 'Fall sitting': np.float32(0.6463091), 'Hop': np.float32(0.6451698), 'Kneel': np.float32(0.65114915), 'Pick up object': np.float32(0.64958966), 'Sit down': np.float32(0.6589939), 'Walk': np.float32(0.6467954)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.64756227), 'Fall forward': np.float32(0.6439934), 'Fall left': np.float32(0.65158206), 'Fall right': np.float32(0.64872354), 'Fall sitting': np.float32(0.6468897), 'Hop': np.float32(0.64499295), 'Kneel': np.float32(0.65194374), 'Pick up object': np.float32(0.64987636), 'Sit down': np.float32(0.65938276), 'Walk': np.float32(0.6470017)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6490386), 'Fall forward': np.float32(0.64590794), 'Fall left': np.float32(0.65347433), 'Fall right': np.float32(0.6506141), 'Fall sitting': np.float32(0.64934677), 'Hop': np.float32(0.6468317), 'Kneel': np.float32(0.65396035), 'Pick up object': np.float32(0.65152556), 'Sit down': np.float32(0.6613327), 'Walk': np.float32(0.6490165)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6501847), 'Fall forward': np.float32(0.6473887), 'Fall left': np.float32(0.65472287), 'Fall right': np.float32(0.6519158), 'Fall sitting': np.float32(0.65072185), 'Hop': np.float32(0.64847445), 'Kneel': np.float32(0.65537596), 'Pick up object': np.float32(0.6529412), 'Sit down': np.float32(0.66228527), 'Walk': np.float32(0.6508936)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.65208524), 'Fall forward': np.float32(0.64929545), 'Fall left': np.float32(0.6565035), 'Fall right': np.float32(0.6538267), 'Fall sitting': np.float32(0.6526689), 'Hop': np.float32(0.650552), 'Kneel': np.float32(0.65704197), 'Pick up object': np.float32(0.6549176), 'Sit down': np.float32(0.6638733), 'Walk': np.float32(0.6535216)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6529975), 'Fall forward': np.float32(0.6503822), 'Fall left': np.float32(0.6573321), 'Fall right': np.float32(0.65467554), 'Fall sitting': np.float32(0.6539947), 'Hop': np.float32(0.65137523), 'Kneel': np.float32(0.65768933), 'Pick up object': np.float32(0.6558584), 'Sit down': np.float32(0.66449136), 'Walk': np.float32(0.6546648)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6538541), 'Fall forward': np.float32(0.6511934), 'Fall left': np.float32(0.6580575), 'Fall right': np.float32(0.6555103), 'Fall sitting': np.float32(0.65494955), 'Hop': np.float32(0.6525179), 'Kneel': np.float32(0.65841657), 'Pick up object': np.float32(0.6568521), 'Sit down': np.float32(0.665022), 'Walk': np.float32(0.6560429)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6553458), 'Fall forward': np.float32(0.6525639), 'Fall left': np.float32(0.65957505), 'Fall right': np.float32(0.6568132), 'Fall sitting': np.float32(0.6568661), 'Hop': np.float32(0.65467453), 'Kneel': np.float32(0.6597892), 'Pick up object': np.float32(0.6587734), 'Sit down': np.float32(0.6665354), 'Walk': np.float32(0.65808016)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.65691733), 'Fall forward': np.float32(0.65382266), 'Fall left': np.float32(0.66113746), 'Fall right': np.float32(0.6581891), 'Fall sitting': np.float32(0.6595744), 'Hop': np.float32(0.6560713), 'Kneel': np.float32(0.66074944), 'Pick up object': np.float32(0.66033083), 'Sit down': np.float32(0.6676543), 'Walk': np.float32(0.6594903)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6584112), 'Fall forward': np.float32(0.6548775), 'Fall left': np.float32(0.662622), 'Fall right': np.float32(0.65958685), 'Fall sitting': np.float32(0.6615893), 'Hop': np.float32(0.6565429), 'Kneel': np.float32(0.6616615), 'Pick up object': np.float32(0.6608236), 'Sit down': np.float32(0.6682148), 'Walk': np.float32(0.6598823)}
