Ground Truth: Fall sitting

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.57948244), 'Fall forward': np.float32(0.57923514), 'Fall left': np.float32(0.58189666), 'Fall right': np.float32(0.5881188), 'Fall sitting': np.float32(0.57867634), 'Hop': np.float32(0.60070306), 'Kneel': np.float32(0.5884038), 'Pick up object': np.float32(0.5915694), 'Sit down': np.float32(0.5918449), 'Walk': np.float32(0.59392077)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5805397), 'Fall forward': np.float32(0.5799617), 'Fall left': np.float32(0.583231), 'Fall right': np.float32(0.58914053), 'Fall sitting': np.float32(0.58007437), 'Hop': np.float32(0.6015594), 'Kneel': np.float32(0.5896257), 'Pick up object': np.float32(0.5927778), 'Sit down': np.float32(0.5931414), 'Walk': np.float32(0.59478873)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.58144504), 'Fall forward': np.float32(0.5809135), 'Fall left': np.float32(0.5841033), 'Fall right': np.float32(0.58991826), 'Fall sitting': np.float32(0.5811247), 'Hop': np.float32(0.60225666), 'Kneel': np.float32(0.59055084), 'Pick up object': np.float32(0.59360623), 'Sit down': np.float32(0.59421253), 'Walk': np.float32(0.59568816)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.5817387), 'Fall forward': np.float32(0.58139616), 'Fall left': np.float32(0.5844245), 'Fall right': np.float32(0.59003437), 'Fall sitting': np.float32(0.5818625), 'Hop': np.float32(0.60272986), 'Kneel': np.float32(0.5910914), 'Pick up object': np.float32(0.59414595), 'Sit down': np.float32(0.59493953), 'Walk': np.float32(0.5963469)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.58200234), 'Fall forward': np.float32(0.58169055), 'Fall left': np.float32(0.5847194), 'Fall right': np.float32(0.5901777), 'Fall sitting': np.float32(0.58259124), 'Hop': np.float32(0.6030948), 'Kneel': np.float32(0.5913256), 'Pick up object': np.float32(0.59453887), 'Sit down': np.float32(0.59543425), 'Walk': np.float32(0.5967007)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5828497), 'Fall forward': np.float32(0.5825866), 'Fall left': np.float32(0.585545), 'Fall right': np.float32(0.5907656), 'Fall sitting': np.float32(0.58419454), 'Hop': np.float32(0.6039578), 'Kneel': np.float32(0.59210914), 'Pick up object': np.float32(0.59551793), 'Sit down': np.float32(0.5967291), 'Walk': np.float32(0.59741443)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.583418), 'Fall forward': np.float32(0.5830191), 'Fall left': np.float32(0.586171), 'Fall right': np.float32(0.591096), 'Fall sitting': np.float32(0.5852813), 'Hop': np.float32(0.60440344), 'Kneel': np.float32(0.59254193), 'Pick up object': np.float32(0.5960787), 'Sit down': np.float32(0.5977876), 'Walk': np.float32(0.5975515)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5829381), 'Fall forward': np.float32(0.58228934), 'Fall left': np.float32(0.5857193), 'Fall right': np.float32(0.59041035), 'Fall sitting': np.float32(0.58517116), 'Hop': np.float32(0.6039078), 'Kneel': np.float32(0.59198064), 'Pick up object': np.float32(0.5956374), 'Sit down': np.float32(0.5978262), 'Walk': np.float32(0.59676385)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.583048), 'Fall forward': np.float32(0.5821573), 'Fall left': np.float32(0.5858213), 'Fall right': np.float32(0.59036624), 'Fall sitting': np.float32(0.5853628), 'Hop': np.float32(0.6042391), 'Kneel': np.float32(0.5920161), 'Pick up object': np.float32(0.5958876), 'Sit down': np.float32(0.5984796), 'Walk': np.float32(0.5969261)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5840891), 'Fall forward': np.float32(0.58287776), 'Fall left': np.float32(0.5868663), 'Fall right': np.float32(0.59109014), 'Fall sitting': np.float32(0.5862669), 'Hop': np.float32(0.6050204), 'Kneel': np.float32(0.59281963), 'Pick up object': np.float32(0.5967394), 'Sit down': np.float32(0.599932), 'Walk': np.float32(0.5976778)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5844973), 'Fall forward': np.float32(0.582983), 'Fall left': np.float32(0.5872354), 'Fall right': np.float32(0.5912534), 'Fall sitting': np.float32(0.5864571), 'Hop': np.float32(0.6049873), 'Kneel': np.float32(0.59290814), 'Pick up object': np.float32(0.5968416), 'Sit down': np.float32(0.60045606), 'Walk': np.float32(0.5976111)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.5839088), 'Fall forward': np.float32(0.5819031), 'Fall left': np.float32(0.5866212), 'Fall right': np.float32(0.59055865), 'Fall sitting': np.float32(0.5860601), 'Hop': np.float32(0.6039967), 'Kneel': np.float32(0.5921177), 'Pick up object': np.float32(0.59611905), 'Sit down': np.float32(0.6001908), 'Walk': np.float32(0.59644824)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.58358186), 'Fall forward': np.float32(0.5812164), 'Fall left': np.float32(0.58616203), 'Fall right': np.float32(0.5902156), 'Fall sitting': np.float32(0.5861329), 'Hop': np.float32(0.6033014), 'Kneel': np.float32(0.5916207), 'Pick up object': np.float32(0.59564215), 'Sit down': np.float32(0.5999609), 'Walk': np.float32(0.5956922)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.58465034), 'Fall forward': np.float32(0.58193666), 'Fall left': np.float32(0.587026), 'Fall right': np.float32(0.5912125), 'Fall sitting': np.float32(0.5873249), 'Hop': np.float32(0.6039771), 'Kneel': np.float32(0.592614), 'Pick up object': np.float32(0.596717), 'Sit down': np.float32(0.6008795), 'Walk': np.float32(0.596407)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.58572024), 'Fall forward': np.float32(0.58293307), 'Fall left': np.float32(0.5880374), 'Fall right': np.float32(0.5921129), 'Fall sitting': np.float32(0.58884054), 'Hop': np.float32(0.60469425), 'Kneel': np.float32(0.5936718), 'Pick up object': np.float32(0.59794205), 'Sit down': np.float32(0.6020764), 'Walk': np.float32(0.59723604)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.5862088), 'Fall forward': np.float32(0.5831323), 'Fall left': np.float32(0.5885267), 'Fall right': np.float32(0.59231067), 'Fall sitting': np.float32(0.58950174), 'Hop': np.float32(0.6047437), 'Kneel': np.float32(0.5941254), 'Pick up object': np.float32(0.59856164), 'Sit down': np.float32(0.6028121), 'Walk': np.float32(0.59734535)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.5867547), 'Fall forward': np.float32(0.58361065), 'Fall left': np.float32(0.58906156), 'Fall right': np.float32(0.59265083), 'Fall sitting': np.float32(0.59015346), 'Hop': np.float32(0.60492057), 'Kneel': np.float32(0.5946304), 'Pick up object': np.float32(0.5992399), 'Sit down': np.float32(0.60342133), 'Walk': np.float32(0.59756374)}
