Ground Truth: Fall left

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.58891666), 'Fall forward': np.float32(0.5924335), 'Fall left': np.float32(0.5902441), 'Fall right': np.float32(0.5981706), 'Fall sitting': np.float32(0.5774382), 'Hop': np.float32(0.6111076), 'Kneel': np.float32(0.59456897), 'Pick up object': np.float32(0.5983069), 'Sit down': np.float32(0.5916459), 'Walk': np.float32(0.6054428)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.59012175), 'Fall forward': np.float32(0.5926137), 'Fall left': np.float32(0.59168786), 'Fall right': np.float32(0.59918696), 'Fall sitting': np.float32(0.5782948), 'Hop': np.float32(0.61203516), 'Kneel': np.float32(0.5956858), 'Pick up object': np.float32(0.59960055), 'Sit down': np.float32(0.5942841), 'Walk': np.float32(0.6061657)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.59341496), 'Fall forward': np.float32(0.59552974), 'Fall left': np.float32(0.59484947), 'Fall right': np.float32(0.60196435), 'Fall sitting': np.float32(0.58021134), 'Hop': np.float32(0.6140466), 'Kneel': np.float32(0.59865254), 'Pick up object': np.float32(0.60176444), 'Sit down': np.float32(0.59702945), 'Walk': np.float32(0.6084018)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59501827), 'Fall forward': np.float32(0.5968435), 'Fall left': np.float32(0.59652853), 'Fall right': np.float32(0.60328776), 'Fall sitting': np.float32(0.58125246), 'Hop': np.float32(0.6153723), 'Kneel': np.float32(0.6004062), 'Pick up object': np.float32(0.6033707), 'Sit down': np.float32(0.59876525), 'Walk': np.float32(0.60983044)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.59443665), 'Fall forward': np.float32(0.5961174), 'Fall left': np.float32(0.596283), 'Fall right': np.float32(0.60275143), 'Fall sitting': np.float32(0.5818036), 'Hop': np.float32(0.61531335), 'Kneel': np.float32(0.60031855), 'Pick up object': np.float32(0.60385025), 'Sit down': np.float32(0.5989304), 'Walk': np.float32(0.6096212)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.59614885), 'Fall forward': np.float32(0.59734344), 'Fall left': np.float32(0.59835), 'Fall right': np.float32(0.60424113), 'Fall sitting': np.float32(0.58395684), 'Hop': np.float32(0.61685765), 'Kneel': np.float32(0.6025414), 'Pick up object': np.float32(0.6059788), 'Sit down': np.float32(0.6014056), 'Walk': np.float32(0.6110064)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.59783554), 'Fall forward': np.float32(0.5987697), 'Fall left': np.float32(0.5999639), 'Fall right': np.float32(0.60543996), 'Fall sitting': np.float32(0.58541036), 'Hop': np.float32(0.61780834), 'Kneel': np.float32(0.6043922), 'Pick up object': np.float32(0.60734737), 'Sit down': np.float32(0.6029624), 'Walk': np.float32(0.6120761)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5985864), 'Fall forward': np.float32(0.5989826), 'Fall left': np.float32(0.6004951), 'Fall right': np.float32(0.6055772), 'Fall sitting': np.float32(0.58586514), 'Hop': np.float32(0.61720276), 'Kneel': np.float32(0.6048671), 'Pick up object': np.float32(0.6075021), 'Sit down': np.float32(0.6033713), 'Walk': np.float32(0.6116485)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.6008945), 'Fall forward': np.float32(0.60071045), 'Fall left': np.float32(0.6024038), 'Fall right': np.float32(0.6073678), 'Fall sitting': np.float32(0.58755934), 'Hop': np.float32(0.6179403), 'Kneel': np.float32(0.60654455), 'Pick up object': np.float32(0.60900426), 'Sit down': np.float32(0.6048364), 'Walk': np.float32(0.61241245)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.6041309), 'Fall forward': np.float32(0.60324955), 'Fall left': np.float32(0.60530275), 'Fall right': np.float32(0.6101534), 'Fall sitting': np.float32(0.58975893), 'Hop': np.float32(0.61968714), 'Kneel': np.float32(0.60914177), 'Pick up object': np.float32(0.61141384), 'Sit down': np.float32(0.60732114), 'Walk': np.float32(0.6142698)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.6061235), 'Fall forward': np.float32(0.6049486), 'Fall left': np.float32(0.60705554), 'Fall right': np.float32(0.61186385), 'Fall sitting': np.float32(0.5911134), 'Hop': np.float32(0.6205466), 'Kneel': np.float32(0.61074924), 'Pick up object': np.float32(0.6128998), 'Sit down': np.float32(0.6085785), 'Walk': np.float32(0.61532265)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.60746586), 'Fall forward': np.float32(0.6060575), 'Fall left': np.float32(0.60796773), 'Fall right': np.float32(0.61284715), 'Fall sitting': np.float32(0.59160364), 'Hop': np.float32(0.62052935), 'Kneel': np.float32(0.6116327), 'Pick up object': np.float32(0.6136585), 'Sit down': np.float32(0.6088944), 'Walk': np.float32(0.6156265)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.6085795), 'Fall forward': np.float32(0.607223), 'Fall left': np.float32(0.60884076), 'Fall right': np.float32(0.6138634), 'Fall sitting': np.float32(0.5922519), 'Hop': np.float32(0.6206144), 'Kneel': np.float32(0.6123132), 'Pick up object': np.float32(0.6141749), 'Sit down': np.float32(0.60906684), 'Walk': np.float32(0.61607695)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.6097473), 'Fall forward': np.float32(0.60838324), 'Fall left': np.float32(0.6099251), 'Fall right': np.float32(0.6150371), 'Fall sitting': np.float32(0.5931212), 'Hop': np.float32(0.6208047), 'Kneel': np.float32(0.6130835), 'Pick up object': np.float32(0.6148155), 'Sit down': np.float32(0.60940266), 'Walk': np.float32(0.6165399)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.61040896), 'Fall forward': np.float32(0.6091634), 'Fall left': np.float32(0.61059797), 'Fall right': np.float32(0.61580926), 'Fall sitting': np.float32(0.59369004), 'Hop': np.float32(0.6209568), 'Kneel': np.float32(0.61358535), 'Pick up object': np.float32(0.61516833), 'Sit down': np.float32(0.60950786), 'Walk': np.float32(0.61686563)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.61152685), 'Fall forward': np.float32(0.6104215), 'Fall left': np.float32(0.6116518), 'Fall right': np.float32(0.61696523), 'Fall sitting': np.float32(0.5946939), 'Hop': np.float32(0.6214271), 'Kneel': np.float32(0.6144829), 'Pick up object': np.float32(0.61594343), 'Sit down': np.float32(0.6099485), 'Walk': np.float32(0.6175521)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.6121729), 'Fall forward': np.float32(0.61112094), 'Fall left': np.float32(0.61226666), 'Fall right': np.float32(0.617667), 'Fall sitting': np.float32(0.5953381), 'Hop': np.float32(0.62179315), 'Kneel': np.float32(0.6150437), 'Pick up object': np.float32(0.61641043), 'Sit down': np.float32(0.6102763), 'Walk': np.float32(0.61809653)}
