Ground Truth: Hop

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5906311), 'Fall forward': np.float32(0.5980429), 'Fall left': np.float32(0.5904468), 'Fall right': np.float32(0.5991654), 'Fall sitting': np.float32(0.5786172), 'Hop': np.float32(0.6093866), 'Kneel': np.float32(0.5964558), 'Pick up object': np.float32(0.60106605), 'Sit down': np.float32(0.5864243), 'Walk': np.float32(0.6060812)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.59246105), 'Fall forward': np.float32(0.59930116), 'Fall left': np.float32(0.5921585), 'Fall right': np.float32(0.60114604), 'Fall sitting': np.float32(0.58019996), 'Hop': np.float32(0.6104177), 'Kneel': np.float32(0.59794444), 'Pick up object': np.float32(0.602254), 'Sit down': np.float32(0.5881847), 'Walk': np.float32(0.6069091)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.59316176), 'Fall forward': np.float32(0.59938306), 'Fall left': np.float32(0.59295684), 'Fall right': np.float32(0.60207045), 'Fall sitting': np.float32(0.5814236), 'Hop': np.float32(0.6108021), 'Kneel': np.float32(0.5982814), 'Pick up object': np.float32(0.6027884), 'Sit down': np.float32(0.58894265), 'Walk': np.float32(0.6068044)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59339374), 'Fall forward': np.float32(0.5991352), 'Fall left': np.float32(0.59315556), 'Fall right': np.float32(0.6024436), 'Fall sitting': np.float32(0.58165765), 'Hop': np.float32(0.61086386), 'Kneel': np.float32(0.598378), 'Pick up object': np.float32(0.60292614), 'Sit down': np.float32(0.5892494), 'Walk': np.float32(0.60666585)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5928682), 'Fall forward': np.float32(0.5984811), 'Fall left': np.float32(0.5927782), 'Fall right': np.float32(0.60202855), 'Fall sitting': np.float32(0.5812006), 'Hop': np.float32(0.6107529), 'Kneel': np.float32(0.5981288), 'Pick up object': np.float32(0.60279393), 'Sit down': np.float32(0.5893483), 'Walk': np.float32(0.6065274)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.59167635), 'Fall forward': np.float32(0.596925), 'Fall left': np.float32(0.5919282), 'Fall right': np.float32(0.60108644), 'Fall sitting': np.float32(0.58056337), 'Hop': np.float32(0.6101216), 'Kneel': np.float32(0.597047), 'Pick up object': np.float32(0.60196996), 'Sit down': np.float32(0.5889155), 'Walk': np.float32(0.6052131)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.58939093), 'Fall forward': np.float32(0.59439754), 'Fall left': np.float32(0.5897586), 'Fall right': np.float32(0.5989189), 'Fall sitting': np.float32(0.57886124), 'Hop': np.float32(0.6081435), 'Kneel': np.float32(0.5946916), 'Pick up object': np.float32(0.5998997), 'Sit down': np.float32(0.58726287), 'Walk': np.float32(0.60293955)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.58811945), 'Fall forward': np.float32(0.5928876), 'Fall left': np.float32(0.5888137), 'Fall right': np.float32(0.5977978), 'Fall sitting': np.float32(0.57838297), 'Hop': np.float32(0.6075472), 'Kneel': np.float32(0.5935869), 'Pick up object': np.float32(0.59907746), 'Sit down': np.float32(0.58707124), 'Walk': np.float32(0.6017922)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5876285), 'Fall forward': np.float32(0.592259), 'Fall left': np.float32(0.5884762), 'Fall right': np.float32(0.5973483), 'Fall sitting': np.float32(0.57808805), 'Hop': np.float32(0.6073872), 'Kneel': np.float32(0.5932857), 'Pick up object': np.float32(0.59874135), 'Sit down': np.float32(0.5871282), 'Walk': np.float32(0.6013608)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5866092), 'Fall forward': np.float32(0.5911647), 'Fall left': np.float32(0.5875437), 'Fall right': np.float32(0.5963822), 'Fall sitting': np.float32(0.57725877), 'Hop': np.float32(0.6065689), 'Kneel': np.float32(0.59235764), 'Pick up object': np.float32(0.59791887), 'Sit down': np.float32(0.5867036), 'Walk': np.float32(0.6004696)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.58643883), 'Fall forward': np.float32(0.59080017), 'Fall left': np.float32(0.58745587), 'Fall right': np.float32(0.5962239), 'Fall sitting': np.float32(0.57695085), 'Hop': np.float32(0.60645753), 'Kneel': np.float32(0.5923069), 'Pick up object': np.float32(0.59766066), 'Sit down': np.float32(0.58686024), 'Walk': np.float32(0.6002855)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.58636206), 'Fall forward': np.float32(0.5904818), 'Fall left': np.float32(0.58738106), 'Fall right': np.float32(0.59605217), 'Fall sitting': np.float32(0.5770394), 'Hop': np.float32(0.6065337), 'Kneel': np.float32(0.5921954), 'Pick up object': np.float32(0.59772176), 'Sit down': np.float32(0.58708555), 'Walk': np.float32(0.6002527)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.58710104), 'Fall forward': np.float32(0.5911238), 'Fall left': np.float32(0.58802474), 'Fall right': np.float32(0.59668523), 'Fall sitting': np.float32(0.5775639), 'Hop': np.float32(0.6072251), 'Kneel': np.float32(0.5929304), 'Pick up object': np.float32(0.59834516), 'Sit down': np.float32(0.58796453), 'Walk': np.float32(0.60112554)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.58762974), 'Fall forward': np.float32(0.59162575), 'Fall left': np.float32(0.5884046), 'Fall right': np.float32(0.5971186), 'Fall sitting': np.float32(0.5779419), 'Hop': np.float32(0.60794115), 'Kneel': np.float32(0.5934737), 'Pick up object': np.float32(0.5989496), 'Sit down': np.float32(0.5886201), 'Walk': np.float32(0.6019859)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.5888105), 'Fall forward': np.float32(0.5930654), 'Fall left': np.float32(0.58948535), 'Fall right': np.float32(0.598234), 'Fall sitting': np.float32(0.5788857), 'Hop': np.float32(0.6092938), 'Kneel': np.float32(0.5948749), 'Pick up object': np.float32(0.60012096), 'Sit down': np.float32(0.58982337), 'Walk': np.float32(0.6036402)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.5888927), 'Fall forward': np.float32(0.5933499), 'Fall left': np.float32(0.58935696), 'Fall right': np.float32(0.598139), 'Fall sitting': np.float32(0.57873434), 'Hop': np.float32(0.6094507), 'Kneel': np.float32(0.5950939), 'Pick up object': np.float32(0.6001704), 'Sit down': np.float32(0.58992857), 'Walk': np.float32(0.604142)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.58930653), 'Fall forward': np.float32(0.5938397), 'Fall left': np.float32(0.5895553), 'Fall right': np.float32(0.5983428), 'Fall sitting': np.float32(0.57886463), 'Hop': np.float32(0.6099157), 'Kneel': np.float32(0.59547466), 'Pick up object': np.float32(0.60044044), 'Sit down': np.float32(0.59014094), 'Walk': np.float32(0.6048188)}
t=100 | pred=Hop | scores={'Fall backwards': np.float32(0.589917), 'Fall forward': np.float32(0.59446913), 'Fall left': np.float32(0.59003335), 'Fall right': np.float32(0.59884983), 'Fall sitting': np.float32(0.57943064), 'Hop': np.float32(0.6104706), 'Kneel': np.float32(0.5959911), 'Pick up object': np.float32(0.6007612), 'Sit down': np.float32(0.5908459), 'Walk': np.float32(0.6056579)}
t=105 | pred=Hop | scores={'Fall backwards': np.float32(0.58992326), 'Fall forward': np.float32(0.5945149), 'Fall left': np.float32(0.58994365), 'Fall right': np.float32(0.59879076), 'Fall sitting': np.float32(0.5793422), 'Hop': np.float32(0.6104932), 'Kneel': np.float32(0.5958934), 'Pick up object': np.float32(0.6006144), 'Sit down': np.float32(0.5907649), 'Walk': np.float32(0.6058123)}
t=110 | pred=Hop | scores={'Fall backwards': np.float32(0.59014285), 'Fall forward': np.float32(0.5947464), 'Fall left': np.float32(0.5900053), 'Fall right': np.float32(0.59890157), 'Fall sitting': np.float32(0.5795463), 'Hop': np.float32(0.6107057), 'Kneel': np.float32(0.59597), 'Pick up object': np.float32(0.6006617), 'Sit down': np.float32(0.5908309), 'Walk': np.float32(0.60621995)}
t=115 | pred=Hop | scores={'Fall backwards': np.float32(0.59038526), 'Fall forward': np.float32(0.5949921), 'Fall left': np.float32(0.59015703), 'Fall right': np.float32(0.5990643), 'Fall sitting': np.float32(0.5799122), 'Hop': np.float32(0.61086917), 'Kneel': np.float32(0.5960142), 'Pick up object': np.float32(0.6007086), 'Sit down': np.float32(0.5908445), 'Walk': np.float32(0.6065677)}
t=120 | pred=Hop | scores={'Fall backwards': np.float32(0.59047747), 'Fall forward': np.float32(0.5950241), 'Fall left': np.float32(0.5901972), 'Fall right': np.float32(0.599114), 'Fall sitting': np.float32(0.58015996), 'Hop': np.float32(0.6109862), 'Kneel': np.float32(0.5959621), 'Pick up object': np.float32(0.6006808), 'Sit down': np.float32(0.5907746), 'Walk': np.float32(0.6068087)}
t=125 | pred=Hop | scores={'Fall backwards': np.float32(0.59074056), 'Fall forward': np.float32(0.5953834), 'Fall left': np.float32(0.5903861), 'Fall right': np.float32(0.59931034), 'Fall sitting': np.float32(0.5808212), 'Hop': np.float32(0.6111873), 'Kneel': np.float32(0.5960942), 'Pick up object': np.float32(0.6009193), 'Sit down': np.float32(0.59083873), 'Walk': np.float32(0.60713756)}
t=130 | pred=Hop | scores={'Fall backwards': np.float32(0.59104717), 'Fall forward': np.float32(0.5958815), 'Fall left': np.float32(0.5906509), 'Fall right': np.float32(0.59956986), 'Fall sitting': np.float32(0.58145297), 'Hop': np.float32(0.6114424), 'Kneel': np.float32(0.5963591), 'Pick up object': np.float32(0.60116714), 'Sit down': np.float32(0.59094983), 'Walk': np.float32(0.60757583)}
t=135 | pred=Hop | scores={'Fall backwards': np.float32(0.5910676), 'Fall forward': np.float32(0.59606487), 'Fall left': np.float32(0.59075165), 'Fall right': np.float32(0.59963447), 'Fall sitting': np.float32(0.58212477), 'Hop': np.float32(0.61162746), 'Kneel': np.float32(0.59647644), 'Pick up object': np.float32(0.6013477), 'Sit down': np.float32(0.5909963), 'Walk': np.float32(0.6077751)}
t=140 | pred=Hop | scores={'Fall backwards': np.float32(0.5909728), 'Fall forward': np.float32(0.59602267), 'Fall left': np.float32(0.5906647), 'Fall right': np.float32(0.59954053), 'Fall sitting': np.float32(0.58225304), 'Hop': np.float32(0.6116174), 'Kneel': np.float32(0.59644836), 'Pick up object': np.float32(0.60124934), 'Sit down': np.float32(0.5908861), 'Walk': np.float32(0.6078284)}
t=145 | pred=Hop | scores={'Fall backwards': np.float32(0.59116197), 'Fall forward': np.float32(0.59608626), 'Fall left': np.float32(0.5909313), 'Fall right': np.float32(0.59979), 'Fall sitting': np.float32(0.58249944), 'Hop': np.float32(0.61195976), 'Kneel': np.float32(0.59668046), 'Pick up object': np.float32(0.6014405), 'Sit down': np.float32(0.5911239), 'Walk': np.float32(0.60805345)}
t=150 | pred=Hop | scores={'Fall backwards': np.float32(0.5911149), 'Fall forward': np.float32(0.5958763), 'Fall left': np.float32(0.59091395), 'Fall right': np.float32(0.5997766), 'Fall sitting': np.float32(0.5825745), 'Hop': np.float32(0.6119898), 'Kneel': np.float32(0.5966381), 'Pick up object': np.float32(0.6013405), 'Sit down': np.float32(0.5911278), 'Walk': np.float32(0.6078949)}
t=155 | pred=Hop | scores={'Fall backwards': np.float32(0.59077334), 'Fall forward': np.float32(0.5953875), 'Fall left': np.float32(0.5906668), 'Fall right': np.float32(0.5995163), 'Fall sitting': np.float32(0.58239347), 'Hop': np.float32(0.61172813), 'Kneel': np.float32(0.596292), 'Pick up object': np.float32(0.60095507), 'Sit down': np.float32(0.5909423), 'Walk': np.float32(0.6074215)}
t=160 | pred=Hop | scores={'Fall backwards': np.float32(0.5909725), 'Fall forward': np.float32(0.5954966), 'Fall left': np.float32(0.59090984), 'Fall right': np.float32(0.59973377), 'Fall sitting': np.float32(0.582746), 'Hop': np.float32(0.61184937), 'Kneel': np.float32(0.59651166), 'Pick up object': np.float32(0.6010779), 'Sit down': np.float32(0.5912469), 'Walk': np.float32(0.6074169)}
t=165 | pred=Hop | scores={'Fall backwards': np.float32(0.59101427), 'Fall forward': np.float32(0.5954697), 'Fall left': np.float32(0.591065), 'Fall right': np.float32(0.5998426), 'Fall sitting': np.float32(0.582835), 'Hop': np.float32(0.61188), 'Kneel': np.float32(0.5966217), 'Pick up object': np.float32(0.60110456), 'Sit down': np.float32(0.59141016), 'Walk': np.float32(0.6073149)}
