Ground Truth: Fall backwards

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.56866735), 'Fall forward': np.float32(0.5649529), 'Fall left': np.float32(0.57033485), 'Fall right': np.float32(0.5747309), 'Fall sitting': np.float32(0.5612594), 'Hop': np.float32(0.5881673), 'Kneel': np.float32(0.57346714), 'Pick up object': np.float32(0.57563233), 'Sit down': np.float32(0.5787815), 'Walk': np.float32(0.58189505)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.57341075), 'Fall forward': np.float32(0.5700734), 'Fall left': np.float32(0.5747678), 'Fall right': np.float32(0.58006835), 'Fall sitting': np.float32(0.5643821), 'Hop': np.float32(0.59241647), 'Kneel': np.float32(0.57839805), 'Pick up object': np.float32(0.58008236), 'Sit down': np.float32(0.5823642), 'Walk': np.float32(0.5868989)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.57509536), 'Fall forward': np.float32(0.57197356), 'Fall left': np.float32(0.5762492), 'Fall right': np.float32(0.5820123), 'Fall sitting': np.float32(0.5651771), 'Hop': np.float32(0.59385204), 'Kneel': np.float32(0.580124), 'Pick up object': np.float32(0.5816035), 'Sit down': np.float32(0.5833089), 'Walk': np.float32(0.5887688)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.5770803), 'Fall forward': np.float32(0.5741078), 'Fall left': np.float32(0.5780367), 'Fall right': np.float32(0.5839264), 'Fall sitting': np.float32(0.5665748), 'Hop': np.float32(0.59561765), 'Kneel': np.float32(0.5821796), 'Pick up object': np.float32(0.58349735), 'Sit down': np.float32(0.5846825), 'Walk': np.float32(0.5907533)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5774532), 'Fall forward': np.float32(0.5746145), 'Fall left': np.float32(0.578432), 'Fall right': np.float32(0.5842374), 'Fall sitting': np.float32(0.5667585), 'Hop': np.float32(0.5958509), 'Kneel': np.float32(0.58265543), 'Pick up object': np.float32(0.5839065), 'Sit down': np.float32(0.5848749), 'Walk': np.float32(0.59105384)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.57724494), 'Fall forward': np.float32(0.5745559), 'Fall left': np.float32(0.5783551), 'Fall right': np.float32(0.5839145), 'Fall sitting': np.float32(0.5665239), 'Hop': np.float32(0.5957474), 'Kneel': np.float32(0.58250314), 'Pick up object': np.float32(0.58392584), 'Sit down': np.float32(0.5846669), 'Walk': np.float32(0.59081155)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.576044), 'Fall forward': np.float32(0.5731834), 'Fall left': np.float32(0.57723427), 'Fall right': np.float32(0.5825975), 'Fall sitting': np.float32(0.5655677), 'Hop': np.float32(0.5946312), 'Kneel': np.float32(0.5812947), 'Pick up object': np.float32(0.58298916), 'Sit down': np.float32(0.58384657), 'Walk': np.float32(0.589476)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5755374), 'Fall forward': np.float32(0.5724676), 'Fall left': np.float32(0.57672197), 'Fall right': np.float32(0.58204955), 'Fall sitting': np.float32(0.5650467), 'Hop': np.float32(0.5940649), 'Kneel': np.float32(0.5806596), 'Pick up object': np.float32(0.58262163), 'Sit down': np.float32(0.5836028), 'Walk': np.float32(0.58871377)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5771711), 'Fall forward': np.float32(0.57408386), 'Fall left': np.float32(0.57832), 'Fall right': np.float32(0.5838239), 'Fall sitting': np.float32(0.56678176), 'Hop': np.float32(0.5959714), 'Kneel': np.float32(0.58232725), 'Pick up object': np.float32(0.5844437), 'Sit down': np.float32(0.58545685), 'Walk': np.float32(0.59058803)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5786533), 'Fall forward': np.float32(0.5755303), 'Fall left': np.float32(0.5798044), 'Fall right': np.float32(0.5855001), 'Fall sitting': np.float32(0.56855714), 'Hop': np.float32(0.5973905), 'Kneel': np.float32(0.5837719), 'Pick up object': np.float32(0.58587104), 'Sit down': np.float32(0.5869654), 'Walk': np.float32(0.59203273)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.57967013), 'Fall forward': np.float32(0.57641584), 'Fall left': np.float32(0.5808973), 'Fall right': np.float32(0.58669347), 'Fall sitting': np.float32(0.5701205), 'Hop': np.float32(0.5982084), 'Kneel': np.float32(0.58470076), 'Pick up object': np.float32(0.5870014), 'Sit down': np.float32(0.58810097), 'Walk': np.float32(0.5929062)}
