Ground Truth: Fall left

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6567147), 'Fall forward': np.float32(0.6603208), 'Fall left': np.float32(0.66153985), 'Fall right': np.float32(0.6573517), 'Fall sitting': np.float32(0.64911675), 'Hop': np.float32(0.66229725), 'Kneel': np.float32(0.66084296), 'Pick up object': np.float32(0.65997136), 'Sit down': np.float32(0.6507858), 'Walk': np.float32(0.66285914)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.65661716), 'Fall forward': np.float32(0.6595441), 'Fall left': np.float32(0.66123444), 'Fall right': np.float32(0.6569682), 'Fall sitting': np.float32(0.6481351), 'Hop': np.float32(0.66103655), 'Kneel': np.float32(0.65987116), 'Pick up object': np.float32(0.659589), 'Sit down': np.float32(0.6506136), 'Walk': np.float32(0.6618591)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65699434), 'Fall forward': np.float32(0.65972584), 'Fall left': np.float32(0.66138643), 'Fall right': np.float32(0.6569719), 'Fall sitting': np.float32(0.64775574), 'Hop': np.float32(0.6606414), 'Kneel': np.float32(0.65960366), 'Pick up object': np.float32(0.6598182), 'Sit down': np.float32(0.65095365), 'Walk': np.float32(0.66175157)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.65745264), 'Fall forward': np.float32(0.6597356), 'Fall left': np.float32(0.6616613), 'Fall right': np.float32(0.6570082), 'Fall sitting': np.float32(0.6476026), 'Hop': np.float32(0.66031665), 'Kneel': np.float32(0.65927917), 'Pick up object': np.float32(0.6599179), 'Sit down': np.float32(0.65124947), 'Walk': np.float32(0.6615783)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.65855676), 'Fall forward': np.float32(0.66037464), 'Fall left': np.float32(0.6625621), 'Fall right': np.float32(0.65794414), 'Fall sitting': np.float32(0.6483942), 'Hop': np.float32(0.6608517), 'Kneel': np.float32(0.6599392), 'Pick up object': np.float32(0.66069645), 'Sit down': np.float32(0.65224665), 'Walk': np.float32(0.66213316)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.65965575), 'Fall forward': np.float32(0.66120636), 'Fall left': np.float32(0.6635566), 'Fall right': np.float32(0.65895325), 'Fall sitting': np.float32(0.6491131), 'Hop': np.float32(0.6615572), 'Kneel': np.float32(0.6606903), 'Pick up object': np.float32(0.66146994), 'Sit down': np.float32(0.6531804), 'Walk': np.float32(0.6629506)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6602533), 'Fall forward': np.float32(0.66160756), 'Fall left': np.float32(0.66414577), 'Fall right': np.float32(0.65955013), 'Fall sitting': np.float32(0.6493936), 'Hop': np.float32(0.6618382), 'Kneel': np.float32(0.6610549), 'Pick up object': np.float32(0.6617749), 'Sit down': np.float32(0.65368015), 'Walk': np.float32(0.66328025)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.6608732), 'Fall forward': np.float32(0.66202164), 'Fall left': np.float32(0.66483414), 'Fall right': np.float32(0.6602266), 'Fall sitting': np.float32(0.64984363), 'Hop': np.float32(0.6621167), 'Kneel': np.float32(0.6614081), 'Pick up object': np.float32(0.6620433), 'Sit down': np.float32(0.65429735), 'Walk': np.float32(0.6636224)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.66097087), 'Fall forward': np.float32(0.6619555), 'Fall left': np.float32(0.66500455), 'Fall right': np.float32(0.6603665), 'Fall sitting': np.float32(0.6499947), 'Hop': np.float32(0.6620603), 'Kneel': np.float32(0.6612891), 'Pick up object': np.float32(0.6619793), 'Sit down': np.float32(0.65450335), 'Walk': np.float32(0.663643)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.6610084), 'Fall forward': np.float32(0.66178435), 'Fall left': np.float32(0.6650645), 'Fall right': np.float32(0.6603913), 'Fall sitting': np.float32(0.65007263), 'Hop': np.float32(0.6616854), 'Kneel': np.float32(0.6610173), 'Pick up object': np.float32(0.66168594), 'Sit down': np.float32(0.65452766), 'Walk': np.float32(0.6634077)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.6612926), 'Fall forward': np.float32(0.66199833), 'Fall left': np.float32(0.66535693), 'Fall right': np.float32(0.66060734), 'Fall sitting': np.float32(0.6502785), 'Hop': np.float32(0.6617588), 'Kneel': np.float32(0.66120625), 'Pick up object': np.float32(0.66175026), 'Sit down': np.float32(0.65477276), 'Walk': np.float32(0.66351837)}
