Ground Truth: Sit down

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.65025914), 'Fall forward': np.float32(0.6480396), 'Fall left': np.float32(0.65404224), 'Fall right': np.float32(0.64965695), 'Fall sitting': np.float32(0.6525011), 'Hop': np.float32(0.6619642), 'Kneel': np.float32(0.65463257), 'Pick up object': np.float32(0.65884703), 'Sit down': np.float32(0.6589522), 'Walk': np.float32(0.6598733)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6540909), 'Fall forward': np.float32(0.65266687), 'Fall left': np.float32(0.6576981), 'Fall right': np.float32(0.65428793), 'Fall sitting': np.float32(0.65569496), 'Hop': np.float32(0.6665817), 'Kneel': np.float32(0.65950024), 'Pick up object': np.float32(0.6635319), 'Sit down': np.float32(0.6647213), 'Walk': np.float32(0.6649451)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.6561359), 'Fall forward': np.float32(0.65543455), 'Fall left': np.float32(0.65980095), 'Fall right': np.float32(0.65686685), 'Fall sitting': np.float32(0.6584622), 'Hop': np.float32(0.66818404), 'Kneel': np.float32(0.6620377), 'Pick up object': np.float32(0.6661149), 'Sit down': np.float32(0.6667989), 'Walk': np.float32(0.66715693)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6577615), 'Fall forward': np.float32(0.6576019), 'Fall left': np.float32(0.661592), 'Fall right': np.float32(0.6590157), 'Fall sitting': np.float32(0.6599853), 'Hop': np.float32(0.6691096), 'Kneel': np.float32(0.6641889), 'Pick up object': np.float32(0.6678524), 'Sit down': np.float32(0.6680905), 'Walk': np.float32(0.6684093)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6586531), 'Fall forward': np.float32(0.6583668), 'Fall left': np.float32(0.66251063), 'Fall right': np.float32(0.6600099), 'Fall sitting': np.float32(0.6611556), 'Hop': np.float32(0.6688531), 'Kneel': np.float32(0.6650714), 'Pick up object': np.float32(0.66824), 'Sit down': np.float32(0.66892123), 'Walk': np.float32(0.66824585)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.660685), 'Fall forward': np.float32(0.65979654), 'Fall left': np.float32(0.66413814), 'Fall right': np.float32(0.66183525), 'Fall sitting': np.float32(0.6620261), 'Hop': np.float32(0.6690377), 'Kneel': np.float32(0.6666116), 'Pick up object': np.float32(0.66926444), 'Sit down': np.float32(0.6706982), 'Walk': np.float32(0.66865903)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.66149145), 'Fall forward': np.float32(0.65998507), 'Fall left': np.float32(0.66478205), 'Fall right': np.float32(0.662549), 'Fall sitting': np.float32(0.6621971), 'Hop': np.float32(0.6689105), 'Kneel': np.float32(0.6671767), 'Pick up object': np.float32(0.6695119), 'Sit down': np.float32(0.6717733), 'Walk': np.float32(0.6685577)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6621069), 'Fall forward': np.float32(0.6600446), 'Fall left': np.float32(0.6654163), 'Fall right': np.float32(0.6632224), 'Fall sitting': np.float32(0.66251), 'Hop': np.float32(0.6687552), 'Kneel': np.float32(0.6676644), 'Pick up object': np.float32(0.669668), 'Sit down': np.float32(0.6728999), 'Walk': np.float32(0.6684798)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.66209257), 'Fall forward': np.float32(0.6595044), 'Fall left': np.float32(0.66550833), 'Fall right': np.float32(0.6632361), 'Fall sitting': np.float32(0.66271603), 'Hop': np.float32(0.66774446), 'Kneel': np.float32(0.6675125), 'Pick up object': np.float32(0.6691997), 'Sit down': np.float32(0.67346084), 'Walk': np.float32(0.66754395)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.66189736), 'Fall forward': np.float32(0.6587256), 'Fall left': np.float32(0.66536003), 'Fall right': np.float32(0.6629373), 'Fall sitting': np.float32(0.66258657), 'Hop': np.float32(0.6662992), 'Kneel': np.float32(0.6670213), 'Pick up object': np.float32(0.6682524), 'Sit down': np.float32(0.67336255), 'Walk': np.float32(0.66613364)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6610467), 'Fall forward': np.float32(0.6573536), 'Fall left': np.float32(0.6645415), 'Fall right': np.float32(0.66199726), 'Fall sitting': np.float32(0.66167754), 'Hop': np.float32(0.6647445), 'Kneel': np.float32(0.66596437), 'Pick up object': np.float32(0.666876), 'Sit down': np.float32(0.67274994), 'Walk': np.float32(0.66468525)}
