Ground Truth: Sit down

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.63976943), 'Fall forward': np.float32(0.64475805), 'Fall left': np.float32(0.6457089), 'Fall right': np.float32(0.6395641), 'Fall sitting': np.float32(0.6499524), 'Hop': np.float32(0.65327233), 'Kneel': np.float32(0.64746326), 'Pick up object': np.float32(0.64839745), 'Sit down': np.float32(0.65370464), 'Walk': np.float32(0.6516002)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.64506614), 'Fall forward': np.float32(0.64944863), 'Fall left': np.float32(0.65075797), 'Fall right': np.float32(0.6447699), 'Fall sitting': np.float32(0.654538), 'Hop': np.float32(0.6561987), 'Kneel': np.float32(0.6523406), 'Pick up object': np.float32(0.6528375), 'Sit down': np.float32(0.6581511), 'Walk': np.float32(0.65487206)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6486453), 'Fall forward': np.float32(0.65270454), 'Fall left': np.float32(0.6542846), 'Fall right': np.float32(0.64857274), 'Fall sitting': np.float32(0.658221), 'Hop': np.float32(0.65755737), 'Kneel': np.float32(0.6555518), 'Pick up object': np.float32(0.6553983), 'Sit down': np.float32(0.66080856), 'Walk': np.float32(0.65652406)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6509159), 'Fall forward': np.float32(0.6544296), 'Fall left': np.float32(0.6565544), 'Fall right': np.float32(0.6511378), 'Fall sitting': np.float32(0.6605923), 'Hop': np.float32(0.6578176), 'Kneel': np.float32(0.65754247), 'Pick up object': np.float32(0.65661705), 'Sit down': np.float32(0.66304785), 'Walk': np.float32(0.6571535)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.65174854), 'Fall forward': np.float32(0.6547633), 'Fall left': np.float32(0.657561), 'Fall right': np.float32(0.6523356), 'Fall sitting': np.float32(0.6611125), 'Hop': np.float32(0.65810925), 'Kneel': np.float32(0.65864074), 'Pick up object': np.float32(0.65747976), 'Sit down': np.float32(0.66406393), 'Walk': np.float32(0.6574319)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.65291274), 'Fall forward': np.float32(0.65544313), 'Fall left': np.float32(0.65895647), 'Fall right': np.float32(0.65371996), 'Fall sitting': np.float32(0.66207486), 'Hop': np.float32(0.6583505), 'Kneel': np.float32(0.6599092), 'Pick up object': np.float32(0.65863764), 'Sit down': np.float32(0.6650759), 'Walk': np.float32(0.65784174)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6542239), 'Fall forward': np.float32(0.6565752), 'Fall left': np.float32(0.6600643), 'Fall right': np.float32(0.6548086), 'Fall sitting': np.float32(0.6630432), 'Hop': np.float32(0.65851474), 'Kneel': np.float32(0.66094786), 'Pick up object': np.float32(0.65929717), 'Sit down': np.float32(0.6660494), 'Walk': np.float32(0.65828264)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.65552264), 'Fall forward': np.float32(0.65709674), 'Fall left': np.float32(0.66116923), 'Fall right': np.float32(0.65592605), 'Fall sitting': np.float32(0.6634221), 'Hop': np.float32(0.6586056), 'Kneel': np.float32(0.6617675), 'Pick up object': np.float32(0.6598946), 'Sit down': np.float32(0.6676632), 'Walk': np.float32(0.65852416)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.65698576), 'Fall forward': np.float32(0.6583957), 'Fall left': np.float32(0.6623373), 'Fall right': np.float32(0.65702647), 'Fall sitting': np.float32(0.6639737), 'Hop': np.float32(0.6589767), 'Kneel': np.float32(0.6627228), 'Pick up object': np.float32(0.6604765), 'Sit down': np.float32(0.66859764), 'Walk': np.float32(0.6590966)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.6588352), 'Fall forward': np.float32(0.66028845), 'Fall left': np.float32(0.6639327), 'Fall right': np.float32(0.6586068), 'Fall sitting': np.float32(0.6650376), 'Hop': np.float32(0.66007507), 'Kneel': np.float32(0.6642834), 'Pick up object': np.float32(0.66173726), 'Sit down': np.float32(0.6696069), 'Walk': np.float32(0.66039133)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6600608), 'Fall forward': np.float32(0.6613663), 'Fall left': np.float32(0.6651453), 'Fall right': np.float32(0.65977186), 'Fall sitting': np.float32(0.6659518), 'Hop': np.float32(0.6611162), 'Kneel': np.float32(0.6654702), 'Pick up object': np.float32(0.6628902), 'Sit down': np.float32(0.6707002), 'Walk': np.float32(0.6615507)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6607835), 'Fall forward': np.float32(0.66180605), 'Fall left': np.float32(0.6658021), 'Fall right': np.float32(0.66043335), 'Fall sitting': np.float32(0.66627276), 'Hop': np.float32(0.6618508), 'Kneel': np.float32(0.66623765), 'Pick up object': np.float32(0.6636149), 'Sit down': np.float32(0.67163694), 'Walk': np.float32(0.662288)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6611553), 'Fall forward': np.float32(0.662196), 'Fall left': np.float32(0.66620564), 'Fall right': np.float32(0.66090095), 'Fall sitting': np.float32(0.6665944), 'Hop': np.float32(0.6623513), 'Kneel': np.float32(0.6667877), 'Pick up object': np.float32(0.6640562), 'Sit down': np.float32(0.67225826), 'Walk': np.float32(0.66280097)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.6616523), 'Fall forward': np.float32(0.6626921), 'Fall left': np.float32(0.666684), 'Fall right': np.float32(0.6615211), 'Fall sitting': np.float32(0.6670165), 'Hop': np.float32(0.6627222), 'Kneel': np.float32(0.66735816), 'Pick up object': np.float32(0.6644442), 'Sit down': np.float32(0.6729304), 'Walk': np.float32(0.66331947)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.66189265), 'Fall forward': np.float32(0.66291183), 'Fall left': np.float32(0.6669106), 'Fall right': np.float32(0.6618263), 'Fall sitting': np.float32(0.6672214), 'Hop': np.float32(0.6628651), 'Kneel': np.float32(0.66764766), 'Pick up object': np.float32(0.66458154), 'Sit down': np.float32(0.6732917), 'Walk': np.float32(0.6635814)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.6621639), 'Fall forward': np.float32(0.6632247), 'Fall left': np.float32(0.6671717), 'Fall right': np.float32(0.6621591), 'Fall sitting': np.float32(0.6675469), 'Hop': np.float32(0.6630686), 'Kneel': np.float32(0.66801155), 'Pick up object': np.float32(0.6647562), 'Sit down': np.float32(0.6736998), 'Walk': np.float32(0.6639137)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.66233146), 'Fall forward': np.float32(0.6634775), 'Fall left': np.float32(0.66733336), 'Fall right': np.float32(0.6624), 'Fall sitting': np.float32(0.66781867), 'Hop': np.float32(0.6631142), 'Kneel': np.float32(0.6682773), 'Pick up object': np.float32(0.66480786), 'Sit down': np.float32(0.67396945), 'Walk': np.float32(0.66413015)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.66255707), 'Fall forward': np.float32(0.663698), 'Fall left': np.float32(0.66753095), 'Fall right': np.float32(0.66265804), 'Fall sitting': np.float32(0.6680288), 'Hop': np.float32(0.66312546), 'Kneel': np.float32(0.66850144), 'Pick up object': np.float32(0.6649413), 'Sit down': np.float32(0.67436296), 'Walk': np.float32(0.66435283)}
