Ground Truth: Fall left

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6611055), 'Fall forward': np.float32(0.65774524), 'Fall left': np.float32(0.66240823), 'Fall right': np.float32(0.6600277), 'Fall sitting': np.float32(0.6429331), 'Hop': np.float32(0.6598826), 'Kneel': np.float32(0.658527), 'Pick up object': np.float32(0.6603744), 'Sit down': np.float32(0.6551147), 'Walk': np.float32(0.6645424)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.660652), 'Fall forward': np.float32(0.6564674), 'Fall left': np.float32(0.6617006), 'Fall right': np.float32(0.6590901), 'Fall sitting': np.float32(0.64223254), 'Hop': np.float32(0.65886545), 'Kneel': np.float32(0.6574482), 'Pick up object': np.float32(0.65987366), 'Sit down': np.float32(0.6550759), 'Walk': np.float32(0.6635591)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6622924), 'Fall forward': np.float32(0.658069), 'Fall left': np.float32(0.6633169), 'Fall right': np.float32(0.6607808), 'Fall sitting': np.float32(0.64400536), 'Hop': np.float32(0.6605343), 'Kneel': np.float32(0.65924555), 'Pick up object': np.float32(0.6616928), 'Sit down': np.float32(0.6574421), 'Walk': np.float32(0.6654785)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6642005), 'Fall forward': np.float32(0.65956664), 'Fall left': np.float32(0.6649962), 'Fall right': np.float32(0.6628162), 'Fall sitting': np.float32(0.6460377), 'Hop': np.float32(0.66224074), 'Kneel': np.float32(0.66097474), 'Pick up object': np.float32(0.6638326), 'Sit down': np.float32(0.65982586), 'Walk': np.float32(0.6672885)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66544646), 'Fall forward': np.float32(0.66043985), 'Fall left': np.float32(0.66626924), 'Fall right': np.float32(0.66430813), 'Fall sitting': np.float32(0.64761174), 'Hop': np.float32(0.6635943), 'Kneel': np.float32(0.6619785), 'Pick up object': np.float32(0.66544855), 'Sit down': np.float32(0.6616225), 'Walk': np.float32(0.6685864)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6671042), 'Fall forward': np.float32(0.6620703), 'Fall left': np.float32(0.66812867), 'Fall right': np.float32(0.6663915), 'Fall sitting': np.float32(0.65006375), 'Hop': np.float32(0.6648154), 'Kneel': np.float32(0.66367555), 'Pick up object': np.float32(0.6674152), 'Sit down': np.float32(0.6633937), 'Walk': np.float32(0.6698587)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.66944796), 'Fall forward': np.float32(0.6635455), 'Fall left': np.float32(0.6702738), 'Fall right': np.float32(0.66852987), 'Fall sitting': np.float32(0.65209585), 'Hop': np.float32(0.665686), 'Kneel': np.float32(0.66536903), 'Pick up object': np.float32(0.6689126), 'Sit down': np.float32(0.66528106), 'Walk': np.float32(0.6707422)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.671065), 'Fall forward': np.float32(0.66471386), 'Fall left': np.float32(0.6717571), 'Fall right': np.float32(0.6701127), 'Fall sitting': np.float32(0.65361035), 'Hop': np.float32(0.6658777), 'Kneel': np.float32(0.666811), 'Pick up object': np.float32(0.66976464), 'Sit down': np.float32(0.66677165), 'Walk': np.float32(0.67101544)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.6723114), 'Fall forward': np.float32(0.6662661), 'Fall left': np.float32(0.6729423), 'Fall right': np.float32(0.67120326), 'Fall sitting': np.float32(0.65567356), 'Hop': np.float32(0.66549593), 'Kneel': np.float32(0.66819537), 'Pick up object': np.float32(0.67007804), 'Sit down': np.float32(0.66765094), 'Walk': np.float32(0.67069757)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.67325085), 'Fall forward': np.float32(0.6673922), 'Fall left': np.float32(0.67393905), 'Fall right': np.float32(0.6720513), 'Fall sitting': np.float32(0.6575999), 'Hop': np.float32(0.665065), 'Kneel': np.float32(0.66954637), 'Pick up object': np.float32(0.6703511), 'Sit down': np.float32(0.668452), 'Walk': np.float32(0.6701677)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.6746819), 'Fall forward': np.float32(0.66872674), 'Fall left': np.float32(0.67532784), 'Fall right': np.float32(0.67324394), 'Fall sitting': np.float32(0.6591071), 'Hop': np.float32(0.6654942), 'Kneel': np.float32(0.67097884), 'Pick up object': np.float32(0.6713101), 'Sit down': np.float32(0.6695825), 'Walk': np.float32(0.6704998)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.6761466), 'Fall forward': np.float32(0.6701616), 'Fall left': np.float32(0.6767311), 'Fall right': np.float32(0.67444766), 'Fall sitting': np.float32(0.6606257), 'Hop': np.float32(0.66591185), 'Kneel': np.float32(0.67226475), 'Pick up object': np.float32(0.6723938), 'Sit down': np.float32(0.6704418), 'Walk': np.float32(0.6707849)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.67688537), 'Fall forward': np.float32(0.6707878), 'Fall left': np.float32(0.6773822), 'Fall right': np.float32(0.6751469), 'Fall sitting': np.float32(0.66113305), 'Hop': np.float32(0.66574436), 'Kneel': np.float32(0.6728161), 'Pick up object': np.float32(0.67267877), 'Sit down': np.float32(0.6703899), 'Walk': np.float32(0.67059994)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.6771962), 'Fall forward': np.float32(0.6705292), 'Fall left': np.float32(0.677553), 'Fall right': np.float32(0.6753514), 'Fall sitting': np.float32(0.66109854), 'Hop': np.float32(0.66490006), 'Kneel': np.float32(0.67277133), 'Pick up object': np.float32(0.6724214), 'Sit down': np.float32(0.66996026), 'Walk': np.float32(0.6697586)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.6773556), 'Fall forward': np.float32(0.6702759), 'Fall left': np.float32(0.67768925), 'Fall right': np.float32(0.6755554), 'Fall sitting': np.float32(0.6610602), 'Hop': np.float32(0.664247), 'Kneel': np.float32(0.6727786), 'Pick up object': np.float32(0.6721042), 'Sit down': np.float32(0.66975397), 'Walk': np.float32(0.6691709)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.6778648), 'Fall forward': np.float32(0.6708502), 'Fall left': np.float32(0.6782601), 'Fall right': np.float32(0.676073), 'Fall sitting': np.float32(0.6617265), 'Hop': np.float32(0.6640714), 'Kneel': np.float32(0.6733695), 'Pick up object': np.float32(0.67219305), 'Sit down': np.float32(0.6700671), 'Walk': np.float32(0.6689934)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.67819494), 'Fall forward': np.float32(0.6713491), 'Fall left': np.float32(0.67861956), 'Fall right': np.float32(0.6763932), 'Fall sitting': np.float32(0.6621731), 'Hop': np.float32(0.66403013), 'Kneel': np.float32(0.67381275), 'Pick up object': np.float32(0.67220014), 'Sit down': np.float32(0.67025125), 'Walk': np.float32(0.66891515)}
t=100 | pred=Fall left | scores={'Fall backwards': np.float32(0.67853224), 'Fall forward': np.float32(0.671732), 'Fall left': np.float32(0.67897207), 'Fall right': np.float32(0.676731), 'Fall sitting': np.float32(0.6626579), 'Hop': np.float32(0.6637494), 'Kneel': np.float32(0.6741698), 'Pick up object': np.float32(0.6722007), 'Sit down': np.float32(0.6703047), 'Walk': np.float32(0.6686802)}
t=105 | pred=Fall left | scores={'Fall backwards': np.float32(0.67874664), 'Fall forward': np.float32(0.6719562), 'Fall left': np.float32(0.6792158), 'Fall right': np.float32(0.67693657), 'Fall sitting': np.float32(0.66289425), 'Hop': np.float32(0.6636174), 'Kneel': np.float32(0.67444927), 'Pick up object': np.float32(0.6722502), 'Sit down': np.float32(0.6703995), 'Walk': np.float32(0.668593)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.6789421), 'Fall forward': np.float32(0.6721176), 'Fall left': np.float32(0.6794691), 'Fall right': np.float32(0.6771386), 'Fall sitting': np.float32(0.66313565), 'Hop': np.float32(0.66345835), 'Kneel': np.float32(0.67469406), 'Pick up object': np.float32(0.6722861), 'Sit down': np.float32(0.6705258), 'Walk': np.float32(0.66846406)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6789617), 'Fall forward': np.float32(0.67217785), 'Fall left': np.float32(0.67954224), 'Fall right': np.float32(0.677174), 'Fall sitting': np.float32(0.66316164), 'Hop': np.float32(0.6632892), 'Kneel': np.float32(0.6747618), 'Pick up object': np.float32(0.6721845), 'Sit down': np.float32(0.67052376), 'Walk': np.float32(0.66826177)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.67903566), 'Fall forward': np.float32(0.67223495), 'Fall left': np.float32(0.6796415), 'Fall right': np.float32(0.6772552), 'Fall sitting': np.float32(0.663268), 'Hop': np.float32(0.66313314), 'Kneel': np.float32(0.67487615), 'Pick up object': np.float32(0.67213875), 'Sit down': np.float32(0.67061967), 'Walk': np.float32(0.6680925)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.67897457), 'Fall forward': np.float32(0.6721916), 'Fall left': np.float32(0.67961323), 'Fall right': np.float32(0.6772518), 'Fall sitting': np.float32(0.6632665), 'Hop': np.float32(0.66304463), 'Kneel': np.float32(0.67493594), 'Pick up object': np.float32(0.67210627), 'Sit down': np.float32(0.67063624), 'Walk': np.float32(0.6679914)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.6788993), 'Fall forward': np.float32(0.67219067), 'Fall left': np.float32(0.6796122), 'Fall right': np.float32(0.67730725), 'Fall sitting': np.float32(0.6633207), 'Hop': np.float32(0.66291684), 'Kneel': np.float32(0.6750711), 'Pick up object': np.float32(0.67209893), 'Sit down': np.float32(0.6706537), 'Walk': np.float32(0.6678965)}
t=135 | pred=Fall left | scores={'Fall backwards': np.float32(0.6787895), 'Fall forward': np.float32(0.67217934), 'Fall left': np.float32(0.679598), 'Fall right': np.float32(0.67730534), 'Fall sitting': np.float32(0.6633444), 'Hop': np.float32(0.6628187), 'Kneel': np.float32(0.6751866), 'Pick up object': np.float32(0.6720746), 'Sit down': np.float32(0.67067504), 'Walk': np.float32(0.66784394)}
t=140 | pred=Fall left | scores={'Fall backwards': np.float32(0.67861074), 'Fall forward': np.float32(0.67202824), 'Fall left': np.float32(0.6794768), 'Fall right': np.float32(0.67721874), 'Fall sitting': np.float32(0.66328), 'Hop': np.float32(0.6625245), 'Kneel': np.float32(0.6752075), 'Pick up object': np.float32(0.6719206), 'Sit down': np.float32(0.6706012), 'Walk': np.float32(0.6676056)}
t=145 | pred=Fall left | scores={'Fall backwards': np.float32(0.67849064), 'Fall forward': np.float32(0.6719106), 'Fall left': np.float32(0.67938536), 'Fall right': np.float32(0.6771273), 'Fall sitting': np.float32(0.663201), 'Hop': np.float32(0.66235167), 'Kneel': np.float32(0.6752037), 'Pick up object': np.float32(0.6718054), 'Sit down': np.float32(0.67053986), 'Walk': np.float32(0.667445)}
t=150 | pred=Fall left | scores={'Fall backwards': np.float32(0.6784346), 'Fall forward': np.float32(0.6718251), 'Fall left': np.float32(0.67933625), 'Fall right': np.float32(0.6770823), 'Fall sitting': np.float32(0.66315967), 'Hop': np.float32(0.6622186), 'Kneel': np.float32(0.6752389), 'Pick up object': np.float32(0.6717362), 'Sit down': np.float32(0.6705504), 'Walk': np.float32(0.66733617)}
t=155 | pred=Fall left | scores={'Fall backwards': np.float32(0.67836046), 'Fall forward': np.float32(0.6717584), 'Fall left': np.float32(0.6792677), 'Fall right': np.float32(0.67701477), 'Fall sitting': np.float32(0.6631425), 'Hop': np.float32(0.66212285), 'Kneel': np.float32(0.67525065), 'Pick up object': np.float32(0.67167836), 'Sit down': np.float32(0.6705386), 'Walk': np.float32(0.6672518)}
t=160 | pred=Fall left | scores={'Fall backwards': np.float32(0.6782324), 'Fall forward': np.float32(0.6716593), 'Fall left': np.float32(0.6791346), 'Fall right': np.float32(0.67688286), 'Fall sitting': np.float32(0.66312003), 'Hop': np.float32(0.6619005), 'Kneel': np.float32(0.67524457), 'Pick up object': np.float32(0.6715243), 'Sit down': np.float32(0.67044723), 'Walk': np.float32(0.6670656)}
t=165 | pred=Fall left | scores={'Fall backwards': np.float32(0.67816424), 'Fall forward': np.float32(0.6716558), 'Fall left': np.float32(0.67906594), 'Fall right': np.float32(0.6768194), 'Fall sitting': np.float32(0.6631419), 'Hop': np.float32(0.66182834), 'Kneel': np.float32(0.6752779), 'Pick up object': np.float32(0.671458), 'Sit down': np.float32(0.6704173), 'Walk': np.float32(0.66700315)}
t=170 | pred=Fall left | scores={'Fall backwards': np.float32(0.6780658), 'Fall forward': np.float32(0.67159927), 'Fall left': np.float32(0.6789664), 'Fall right': np.float32(0.67672837), 'Fall sitting': np.float32(0.66316736), 'Hop': np.float32(0.66170806), 'Kneel': np.float32(0.6752711), 'Pick up object': np.float32(0.67136014), 'Sit down': np.float32(0.6703781), 'Walk': np.float32(0.666923)}
t=175 | pred=Fall left | scores={'Fall backwards': np.float32(0.67802274), 'Fall forward': np.float32(0.6715519), 'Fall left': np.float32(0.67892647), 'Fall right': np.float32(0.67668915), 'Fall sitting': np.float32(0.66322917), 'Hop': np.float32(0.6616188), 'Kneel': np.float32(0.675274), 'Pick up object': np.float32(0.6712865), 'Sit down': np.float32(0.67037725), 'Walk': np.float32(0.6668558)}
t=180 | pred=Fall left | scores={'Fall backwards': np.float32(0.67798096), 'Fall forward': np.float32(0.67153215), 'Fall left': np.float32(0.67887753), 'Fall right': np.float32(0.67667776), 'Fall sitting': np.float32(0.6632884), 'Hop': np.float32(0.66154724), 'Kneel': np.float32(0.67530715), 'Pick up object': np.float32(0.67123955), 'Sit down': np.float32(0.67034143), 'Walk': np.float32(0.6668309)}
t=185 | pred=Fall left | scores={'Fall backwards': np.float32(0.6779552), 'Fall forward': np.float32(0.6714653), 'Fall left': np.float32(0.6788306), 'Fall right': np.float32(0.676678), 'Fall sitting': np.float32(0.66328233), 'Hop': np.float32(0.6614361), 'Kneel': np.float32(0.6752698), 'Pick up object': np.float32(0.6711604), 'Sit down': np.float32(0.67027366), 'Walk': np.float32(0.66676766)}
t=190 | pred=Fall left | scores={'Fall backwards': np.float32(0.6779184), 'Fall forward': np.float32(0.67137575), 'Fall left': np.float32(0.67876625), 'Fall right': np.float32(0.6766596), 'Fall sitting': np.float32(0.6632387), 'Hop': np.float32(0.6613049), 'Kneel': np.float32(0.6752204), 'Pick up object': np.float32(0.6710518), 'Sit down': np.float32(0.6701863), 'Walk': np.float32(0.6666905)}
t=195 | pred=Fall left | scores={'Fall backwards': np.float32(0.6779011), 'Fall forward': np.float32(0.6713644), 'Fall left': np.float32(0.6787414), 'Fall right': np.float32(0.6766568), 'Fall sitting': np.float32(0.66324174), 'Hop': np.float32(0.6612501), 'Kneel': np.float32(0.6752326), 'Pick up object': np.float32(0.671005), 'Sit down': np.float32(0.67017007), 'Walk': np.float32(0.66667545)}
