Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6481797), 'Fall forward': np.float32(0.64115703), 'Fall left': np.float32(0.6490897), 'Fall right': np.float32(0.6439113), 'Fall sitting': np.float32(0.6521029), 'Hop': np.float32(0.642967), 'Kneel': np.float32(0.6485173), 'Pick up object': np.float32(0.649214), 'Sit down': np.float32(0.65809816), 'Walk': np.float32(0.64543134)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.6490867), 'Fall forward': np.float32(0.6414908), 'Fall left': np.float32(0.6496102), 'Fall right': np.float32(0.6446078), 'Fall sitting': np.float32(0.65268964), 'Hop': np.float32(0.64362794), 'Kneel': np.float32(0.6491425), 'Pick up object': np.float32(0.6498577), 'Sit down': np.float32(0.6585911), 'Walk': np.float32(0.64600384)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6483587), 'Fall forward': np.float32(0.64030725), 'Fall left': np.float32(0.64879864), 'Fall right': np.float32(0.6437578), 'Fall sitting': np.float32(0.65222484), 'Hop': np.float32(0.6428661), 'Kneel': np.float32(0.6483283), 'Pick up object': np.float32(0.64926666), 'Sit down': np.float32(0.6582554), 'Walk': np.float32(0.6450369)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.64787894), 'Fall forward': np.float32(0.6394792), 'Fall left': np.float32(0.64824235), 'Fall right': np.float32(0.64321375), 'Fall sitting': np.float32(0.652098), 'Hop': np.float32(0.6420192), 'Kneel': np.float32(0.64799094), 'Pick up object': np.float32(0.6485829), 'Sit down': np.float32(0.6582421), 'Walk': np.float32(0.64408857)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6470768), 'Fall forward': np.float32(0.63872135), 'Fall left': np.float32(0.6473587), 'Fall right': np.float32(0.6423645), 'Fall sitting': np.float32(0.6517811), 'Hop': np.float32(0.6410171), 'Kneel': np.float32(0.64746535), 'Pick up object': np.float32(0.64777523), 'Sit down': np.float32(0.657659), 'Walk': np.float32(0.64304173)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6461687), 'Fall forward': np.float32(0.63787425), 'Fall left': np.float32(0.64639264), 'Fall right': np.float32(0.64142686), 'Fall sitting': np.float32(0.65134585), 'Hop': np.float32(0.6397866), 'Kneel': np.float32(0.6467199), 'Pick up object': np.float32(0.6468595), 'Sit down': np.float32(0.6568079), 'Walk': np.float32(0.64178514)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.64689785), 'Fall forward': np.float32(0.63868916), 'Fall left': np.float32(0.6471554), 'Fall right': np.float32(0.64227146), 'Fall sitting': np.float32(0.6519899), 'Hop': np.float32(0.64013255), 'Kneel': np.float32(0.64744365), 'Pick up object': np.float32(0.6473938), 'Sit down': np.float32(0.65725446), 'Walk': np.float32(0.6422159)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6475233), 'Fall forward': np.float32(0.63949245), 'Fall left': np.float32(0.6477815), 'Fall right': np.float32(0.643047), 'Fall sitting': np.float32(0.6524205), 'Hop': np.float32(0.6403607), 'Kneel': np.float32(0.6480006), 'Pick up object': np.float32(0.6476485), 'Sit down': np.float32(0.6573077), 'Walk': np.float32(0.6425283)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.64773995), 'Fall forward': np.float32(0.6398978), 'Fall left': np.float32(0.64801496), 'Fall right': np.float32(0.6433656), 'Fall sitting': np.float32(0.6525448), 'Hop': np.float32(0.6401767), 'Kneel': np.float32(0.6480841), 'Pick up object': np.float32(0.64765006), 'Sit down': np.float32(0.6569885), 'Walk': np.float32(0.64232117)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.6480982), 'Fall forward': np.float32(0.6405444), 'Fall left': np.float32(0.6484621), 'Fall right': np.float32(0.6439178), 'Fall sitting': np.float32(0.653078), 'Hop': np.float32(0.640145), 'Kneel': np.float32(0.64837307), 'Pick up object': np.float32(0.6478496), 'Sit down': np.float32(0.65696615), 'Walk': np.float32(0.6423081)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6486531), 'Fall forward': np.float32(0.6412974), 'Fall left': np.float32(0.6491053), 'Fall right': np.float32(0.6446035), 'Fall sitting': np.float32(0.6537536), 'Hop': np.float32(0.6405032), 'Kneel': np.float32(0.64882994), 'Pick up object': np.float32(0.6483462), 'Sit down': np.float32(0.6571906), 'Walk': np.float32(0.64264786)}
