Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.64842004), 'Fall forward': np.float32(0.639608), 'Fall left': np.float32(0.6495497), 'Fall right': np.float32(0.6464953), 'Fall sitting': np.float32(0.6498643), 'Hop': np.float32(0.6350362), 'Kneel': np.float32(0.65114295), 'Pick up object': np.float32(0.6494415), 'Sit down': np.float32(0.6606786), 'Walk': np.float32(0.63951904)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.65004635), 'Fall forward': np.float32(0.64150864), 'Fall left': np.float32(0.65140724), 'Fall right': np.float32(0.64821124), 'Fall sitting': np.float32(0.65190727), 'Hop': np.float32(0.63731664), 'Kneel': np.float32(0.65282273), 'Pick up object': np.float32(0.6508542), 'Sit down': np.float32(0.6621966), 'Walk': np.float32(0.64226496)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6511483), 'Fall forward': np.float32(0.64291304), 'Fall left': np.float32(0.6525243), 'Fall right': np.float32(0.64914864), 'Fall sitting': np.float32(0.65291435), 'Hop': np.float32(0.63888085), 'Kneel': np.float32(0.6539723), 'Pick up object': np.float32(0.65169114), 'Sit down': np.float32(0.6629498), 'Walk': np.float32(0.64401555)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6525959), 'Fall forward': np.float32(0.6447237), 'Fall left': np.float32(0.65394413), 'Fall right': np.float32(0.6503204), 'Fall sitting': np.float32(0.6538145), 'Hop': np.float32(0.64070773), 'Kneel': np.float32(0.65547), 'Pick up object': np.float32(0.6529004), 'Sit down': np.float32(0.66413486), 'Walk': np.float32(0.64597607)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6540533), 'Fall forward': np.float32(0.6463516), 'Fall left': np.float32(0.6553985), 'Fall right': np.float32(0.6514553), 'Fall sitting': np.float32(0.6548342), 'Hop': np.float32(0.64264315), 'Kneel': np.float32(0.65694875), 'Pick up object': np.float32(0.6545945), 'Sit down': np.float32(0.6656086), 'Walk': np.float32(0.6477847)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.65528566), 'Fall forward': np.float32(0.6475326), 'Fall left': np.float32(0.65664786), 'Fall right': np.float32(0.65241706), 'Fall sitting': np.float32(0.6554759), 'Hop': np.float32(0.6440139), 'Kneel': np.float32(0.6578846), 'Pick up object': np.float32(0.65570986), 'Sit down': np.float32(0.66663283), 'Walk': np.float32(0.6490459)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6557414), 'Fall forward': np.float32(0.64766383), 'Fall left': np.float32(0.6571977), 'Fall right': np.float32(0.6528061), 'Fall sitting': np.float32(0.6559861), 'Hop': np.float32(0.64478487), 'Kneel': np.float32(0.65797323), 'Pick up object': np.float32(0.65630984), 'Sit down': np.float32(0.6669174), 'Walk': np.float32(0.6495075)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.65692556), 'Fall forward': np.float32(0.64879894), 'Fall left': np.float32(0.65844953), 'Fall right': np.float32(0.6540768), 'Fall sitting': np.float32(0.65688), 'Hop': np.float32(0.6459351), 'Kneel': np.float32(0.65899277), 'Pick up object': np.float32(0.6573918), 'Sit down': np.float32(0.66759443), 'Walk': np.float32(0.6502966)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6573639), 'Fall forward': np.float32(0.64928377), 'Fall left': np.float32(0.65909183), 'Fall right': np.float32(0.6548392), 'Fall sitting': np.float32(0.65767086), 'Hop': np.float32(0.64665437), 'Kneel': np.float32(0.6594959), 'Pick up object': np.float32(0.65801865), 'Sit down': np.float32(0.66775507), 'Walk': np.float32(0.65061873)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.65703243), 'Fall forward': np.float32(0.6487106), 'Fall left': np.float32(0.6588298), 'Fall right': np.float32(0.6546772), 'Fall sitting': np.float32(0.657304), 'Hop': np.float32(0.64640146), 'Kneel': np.float32(0.65924424), 'Pick up object': np.float32(0.65777045), 'Sit down': np.float32(0.66736233), 'Walk': np.float32(0.6499526)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.65730065), 'Fall forward': np.float32(0.64875484), 'Fall left': np.float32(0.65897584), 'Fall right': np.float32(0.6551166), 'Fall sitting': np.float32(0.6572585), 'Hop': np.float32(0.6464697), 'Kneel': np.float32(0.65943795), 'Pick up object': np.float32(0.65786976), 'Sit down': np.float32(0.66698796), 'Walk': np.float32(0.6498371)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6572956), 'Fall forward': np.float32(0.64872646), 'Fall left': np.float32(0.65905654), 'Fall right': np.float32(0.65544593), 'Fall sitting': np.float32(0.6577326), 'Hop': np.float32(0.64616275), 'Kneel': np.float32(0.659301), 'Pick up object': np.float32(0.6574769), 'Sit down': np.float32(0.6661425), 'Walk': np.float32(0.64923275)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.65699327), 'Fall forward': np.float32(0.64855504), 'Fall left': np.float32(0.6587697), 'Fall right': np.float32(0.6552941), 'Fall sitting': np.float32(0.65839267), 'Hop': np.float32(0.64540935), 'Kneel': np.float32(0.6588734), 'Pick up object': np.float32(0.6567923), 'Sit down': np.float32(0.6653253), 'Walk': np.float32(0.64833736)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.6572801), 'Fall forward': np.float32(0.6487514), 'Fall left': np.float32(0.65892243), 'Fall right': np.float32(0.65575695), 'Fall sitting': np.float32(0.6592383), 'Hop': np.float32(0.6451059), 'Kneel': np.float32(0.65897727), 'Pick up object': np.float32(0.6566332), 'Sit down': np.float32(0.66495085), 'Walk': np.float32(0.64795154)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.6576651), 'Fall forward': np.float32(0.6491014), 'Fall left': np.float32(0.65925705), 'Fall right': np.float32(0.6563642), 'Fall sitting': np.float32(0.660173), 'Hop': np.float32(0.64500123), 'Kneel': np.float32(0.6592383), 'Pick up object': np.float32(0.65665495), 'Sit down': np.float32(0.664873), 'Walk': np.float32(0.64787585)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.65792173), 'Fall forward': np.float32(0.6494667), 'Fall left': np.float32(0.65955454), 'Fall right': np.float32(0.65688616), 'Fall sitting': np.float32(0.66140956), 'Hop': np.float32(0.64469004), 'Kneel': np.float32(0.6593188), 'Pick up object': np.float32(0.65644944), 'Sit down': np.float32(0.66458136), 'Walk': np.float32(0.64745563)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.657242), 'Fall forward': np.float32(0.64864665), 'Fall left': np.float32(0.65880203), 'Fall right': np.float32(0.65622854), 'Fall sitting': np.float32(0.6614371), 'Hop': np.float32(0.6435941), 'Kneel': np.float32(0.6584511), 'Pick up object': np.float32(0.6554175), 'Sit down': np.float32(0.66348714), 'Walk': np.float32(0.64625716)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.65627444), 'Fall forward': np.float32(0.64756614), 'Fall left': np.float32(0.6577919), 'Fall right': np.float32(0.65532744), 'Fall sitting': np.float32(0.6612809), 'Hop': np.float32(0.64234656), 'Kneel': np.float32(0.65735066), 'Pick up object': np.float32(0.6542074), 'Sit down': np.float32(0.66217715), 'Walk': np.float32(0.64489317)}
t=105 | pred=Sit down | scores={'Fall backwards': np.float32(0.65547425), 'Fall forward': np.float32(0.6466404), 'Fall left': np.float32(0.65692645), 'Fall right': np.float32(0.6544979), 'Fall sitting': np.float32(0.6610439), 'Hop': np.float32(0.64128846), 'Kneel': np.float32(0.6564046), 'Pick up object': np.float32(0.65317196), 'Sit down': np.float32(0.6610929), 'Walk': np.float32(0.64374846)}
t=110 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6544799), 'Fall forward': np.float32(0.6455156), 'Fall left': np.float32(0.65582794), 'Fall right': np.float32(0.65347546), 'Fall sitting': np.float32(0.6606281), 'Hop': np.float32(0.6399427), 'Kneel': np.float32(0.6552343), 'Pick up object': np.float32(0.65186006), 'Sit down': np.float32(0.65975344), 'Walk': np.float32(0.6423619)}
t=115 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6534666), 'Fall forward': np.float32(0.644525), 'Fall left': np.float32(0.65478617), 'Fall right': np.float32(0.6525154), 'Fall sitting': np.float32(0.6601645), 'Hop': np.float32(0.63877213), 'Kneel': np.float32(0.6541861), 'Pick up object': np.float32(0.6506625), 'Sit down': np.float32(0.6586323), 'Walk': np.float32(0.6411911)}
t=120 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65208673), 'Fall forward': np.float32(0.6432516), 'Fall left': np.float32(0.6534306), 'Fall right': np.float32(0.6512761), 'Fall sitting': np.float32(0.6595492), 'Hop': np.float32(0.6372704), 'Kneel': np.float32(0.65283227), 'Pick up object': np.float32(0.649111), 'Sit down': np.float32(0.65712845), 'Walk': np.float32(0.63966644)}
t=125 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.65135574), 'Fall forward': np.float32(0.6425773), 'Fall left': np.float32(0.6527143), 'Fall right': np.float32(0.65064454), 'Fall sitting': np.float32(0.6593577), 'Hop': np.float32(0.63643354), 'Kneel': np.float32(0.65210885), 'Pick up object': np.float32(0.6482068), 'Sit down': np.float32(0.6562919), 'Walk': np.float32(0.6387586)}
t=130 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6506326), 'Fall forward': np.float32(0.6418497), 'Fall left': np.float32(0.651963), 'Fall right': np.float32(0.64993757), 'Fall sitting': np.float32(0.6591778), 'Hop': np.float32(0.6355318), 'Kneel': np.float32(0.6513314), 'Pick up object': np.float32(0.647271), 'Sit down': np.float32(0.6553943), 'Walk': np.float32(0.6377534)}
t=135 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6501416), 'Fall forward': np.float32(0.6414256), 'Fall left': np.float32(0.6514688), 'Fall right': np.float32(0.6494736), 'Fall sitting': np.float32(0.65917253), 'Hop': np.float32(0.6348956), 'Kneel': np.float32(0.6508275), 'Pick up object': np.float32(0.64661807), 'Sit down': np.float32(0.65487164), 'Walk': np.float32(0.6371035)}
t=140 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6497649), 'Fall forward': np.float32(0.64109486), 'Fall left': np.float32(0.65107405), 'Fall right': np.float32(0.64915043), 'Fall sitting': np.float32(0.65936536), 'Hop': np.float32(0.63436866), 'Kneel': np.float32(0.6504527), 'Pick up object': np.float32(0.6460968), 'Sit down': np.float32(0.6544547), 'Walk': np.float32(0.6365623)}
t=145 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6495761), 'Fall forward': np.float32(0.6409465), 'Fall left': np.float32(0.6508658), 'Fall right': np.float32(0.64897156), 'Fall sitting': np.float32(0.6595641), 'Hop': np.float32(0.6340493), 'Kneel': np.float32(0.6502229), 'Pick up object': np.float32(0.64577043), 'Sit down': np.float32(0.6542096), 'Walk': np.float32(0.6362639)}
t=150 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6493065), 'Fall forward': np.float32(0.6406735), 'Fall left': np.float32(0.650575), 'Fall right': np.float32(0.6487394), 'Fall sitting': np.float32(0.6596763), 'Hop': np.float32(0.63363755), 'Kneel': np.float32(0.6498837), 'Pick up object': np.float32(0.6453886), 'Sit down': np.float32(0.65392184), 'Walk': np.float32(0.63582957)}
t=155 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6490038), 'Fall forward': np.float32(0.64037585), 'Fall left': np.float32(0.65026766), 'Fall right': np.float32(0.6484641), 'Fall sitting': np.float32(0.65965855), 'Hop': np.float32(0.6332525), 'Kneel': np.float32(0.64953977), 'Pick up object': np.float32(0.64503276), 'Sit down': np.float32(0.6536069), 'Walk': np.float32(0.63542217)}
t=160 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6485617), 'Fall forward': np.float32(0.63989425), 'Fall left': np.float32(0.64980423), 'Fall right': np.float32(0.6480191), 'Fall sitting': np.float32(0.65954185), 'Hop': np.float32(0.6327177), 'Kneel': np.float32(0.6490593), 'Pick up object': np.float32(0.64448285), 'Sit down': np.float32(0.653114), 'Walk': np.float32(0.6348145)}
t=165 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.648248), 'Fall forward': np.float32(0.6395595), 'Fall left': np.float32(0.6494789), 'Fall right': np.float32(0.64769447), 'Fall sitting': np.float32(0.6594537), 'Hop': np.float32(0.6323666), 'Kneel': np.float32(0.6487354), 'Pick up object': np.float32(0.6441229), 'Sit down': np.float32(0.6527797), 'Walk': np.float32(0.63441205)}
t=170 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64788276), 'Fall forward': np.float32(0.6391524), 'Fall left': np.float32(0.649072), 'Fall right': np.float32(0.64731073), 'Fall sitting': np.float32(0.6593451), 'Hop': np.float32(0.6319531), 'Kneel': np.float32(0.6483624), 'Pick up object': np.float32(0.64371777), 'Sit down': np.float32(0.6523452), 'Walk': np.float32(0.63394827)}
t=175 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64792097), 'Fall forward': np.float32(0.6391637), 'Fall left': np.float32(0.649098), 'Fall right': np.float32(0.6473431), 'Fall sitting': np.float32(0.65954745), 'Hop': np.float32(0.6319784), 'Kneel': np.float32(0.6484123), 'Pick up object': np.float32(0.6437713), 'Sit down': np.float32(0.6523506), 'Walk': np.float32(0.6339334)}
t=180 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64817435), 'Fall forward': np.float32(0.63946384), 'Fall left': np.float32(0.6493601), 'Fall right': np.float32(0.6476338), 'Fall sitting': np.float32(0.66007024), 'Hop': np.float32(0.63221145), 'Kneel': np.float32(0.64866936), 'Pick up object': np.float32(0.64399946), 'Sit down': np.float32(0.6525625), 'Walk': np.float32(0.63413584)}
t=185 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6486079), 'Fall forward': np.float32(0.6399958), 'Fall left': np.float32(0.6498389), 'Fall right': np.float32(0.64814043), 'Fall sitting': np.float32(0.660699), 'Hop': np.float32(0.6326559), 'Kneel': np.float32(0.6490922), 'Pick up object': np.float32(0.64444864), 'Sit down': np.float32(0.652997), 'Walk': np.float32(0.6345816)}
t=190 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6490882), 'Fall forward': np.float32(0.6406363), 'Fall left': np.float32(0.6503516), 'Fall right': np.float32(0.64870423), 'Fall sitting': np.float32(0.6614537), 'Hop': np.float32(0.63308305), 'Kneel': np.float32(0.649538), 'Pick up object': np.float32(0.64489776), 'Sit down': np.float32(0.65344167), 'Walk': np.float32(0.6350532)}
t=195 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64947987), 'Fall forward': np.float32(0.6411383), 'Fall left': np.float32(0.6507472), 'Fall right': np.float32(0.6491394), 'Fall sitting': np.float32(0.6619855), 'Hop': np.float32(0.6334002), 'Kneel': np.float32(0.6498892), 'Pick up object': np.float32(0.6452273), 'Sit down': np.float32(0.6537863), 'Walk': np.float32(0.6353971)}
t=200 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64948964), 'Fall forward': np.float32(0.64113206), 'Fall left': np.float32(0.6507217), 'Fall right': np.float32(0.6491748), 'Fall sitting': np.float32(0.6621512), 'Hop': np.float32(0.633272), 'Kneel': np.float32(0.64978766), 'Pick up object': np.float32(0.64513534), 'Sit down': np.float32(0.65377796), 'Walk': np.float32(0.63525474)}
t=205 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64943594), 'Fall forward': np.float32(0.6410768), 'Fall left': np.float32(0.6506278), 'Fall right': np.float32(0.64912516), 'Fall sitting': np.float32(0.66218835), 'Hop': np.float32(0.6330779), 'Kneel': np.float32(0.6496233), 'Pick up object': np.float32(0.644987), 'Sit down': np.float32(0.6536896), 'Walk': np.float32(0.6350638)}
t=210 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6492468), 'Fall forward': np.float32(0.64089286), 'Fall left': np.float32(0.65039504), 'Fall right': np.float32(0.648944), 'Fall sitting': np.float32(0.662144), 'Hop': np.float32(0.632729), 'Kneel': np.float32(0.64931774), 'Pick up object': np.float32(0.6446841), 'Sit down': np.float32(0.6534594), 'Walk': np.float32(0.6347206)}
t=215 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64901704), 'Fall forward': np.float32(0.64067054), 'Fall left': np.float32(0.6501127), 'Fall right': np.float32(0.64871454), 'Fall sitting': np.float32(0.662016), 'Hop': np.float32(0.63235956), 'Kneel': np.float32(0.6489752), 'Pick up object': np.float32(0.64435214), 'Sit down': np.float32(0.65318656), 'Walk': np.float32(0.6343528)}
t=220 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64864665), 'Fall forward': np.float32(0.640298), 'Fall left': np.float32(0.6496906), 'Fall right': np.float32(0.64834124), 'Fall sitting': np.float32(0.66176486), 'Hop': np.float32(0.6318504), 'Kneel': np.float32(0.6484897), 'Pick up object': np.float32(0.64387673), 'Sit down': np.float32(0.6527596), 'Walk': np.float32(0.633843)}
t=225 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6483936), 'Fall forward': np.float32(0.64005727), 'Fall left': np.float32(0.64940345), 'Fall right': np.float32(0.64807767), 'Fall sitting': np.float32(0.6615902), 'Hop': np.float32(0.631512), 'Kneel': np.float32(0.64815503), 'Pick up object': np.float32(0.6435418), 'Sit down': np.float32(0.6524491), 'Walk': np.float32(0.63350934)}
