Ground Truth: Fall right

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6569506), 'Fall forward': np.float32(0.657102), 'Fall left': np.float32(0.6576652), 'Fall right': np.float32(0.65420794), 'Fall sitting': np.float32(0.64350295), 'Hop': np.float32(0.65775126), 'Kneel': np.float32(0.6550054), 'Pick up object': np.float32(0.6585003), 'Sit down': np.float32(0.6492941), 'Walk': np.float32(0.6594877)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6563923), 'Fall forward': np.float32(0.65643084), 'Fall left': np.float32(0.65745455), 'Fall right': np.float32(0.65354306), 'Fall sitting': np.float32(0.64450467), 'Hop': np.float32(0.6588532), 'Kneel': np.float32(0.6545761), 'Pick up object': np.float32(0.6582187), 'Sit down': np.float32(0.64952105), 'Walk': np.float32(0.66008496)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65717113), 'Fall forward': np.float32(0.65735716), 'Fall left': np.float32(0.658129), 'Fall right': np.float32(0.6542684), 'Fall sitting': np.float32(0.64519376), 'Hop': np.float32(0.6602006), 'Kneel': np.float32(0.6553132), 'Pick up object': np.float32(0.65849584), 'Sit down': np.float32(0.6498399), 'Walk': np.float32(0.66140634)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6578731), 'Fall forward': np.float32(0.6582722), 'Fall left': np.float32(0.65871793), 'Fall right': np.float32(0.6550377), 'Fall sitting': np.float32(0.645706), 'Hop': np.float32(0.66107756), 'Kneel': np.float32(0.6558445), 'Pick up object': np.float32(0.6587341), 'Sit down': np.float32(0.6500006), 'Walk': np.float32(0.6623351)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6585743), 'Fall forward': np.float32(0.65914476), 'Fall left': np.float32(0.6593936), 'Fall right': np.float32(0.65590274), 'Fall sitting': np.float32(0.64659417), 'Hop': np.float32(0.6616849), 'Kneel': np.float32(0.65657544), 'Pick up object': np.float32(0.65921146), 'Sit down': np.float32(0.65066123), 'Walk': np.float32(0.66307986)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6595384), 'Fall forward': np.float32(0.66051555), 'Fall left': np.float32(0.66027784), 'Fall right': np.float32(0.6569935), 'Fall sitting': np.float32(0.6476779), 'Hop': np.float32(0.66196597), 'Kneel': np.float32(0.6574875), 'Pick up object': np.float32(0.6592943), 'Sit down': np.float32(0.65118635), 'Walk': np.float32(0.6635821)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6609161), 'Fall forward': np.float32(0.6621989), 'Fall left': np.float32(0.66155624), 'Fall right': np.float32(0.6584563), 'Fall sitting': np.float32(0.6489439), 'Hop': np.float32(0.66235524), 'Kneel': np.float32(0.65877515), 'Pick up object': np.float32(0.65986353), 'Sit down': np.float32(0.65178216), 'Walk': np.float32(0.66407496)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.66304845), 'Fall forward': np.float32(0.66426754), 'Fall left': np.float32(0.66352767), 'Fall right': np.float32(0.660764), 'Fall sitting': np.float32(0.65083957), 'Hop': np.float32(0.6629518), 'Kneel': np.float32(0.66061366), 'Pick up object': np.float32(0.6608619), 'Sit down': np.float32(0.65289086), 'Walk': np.float32(0.6647358)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66507965), 'Fall forward': np.float32(0.6655683), 'Fall left': np.float32(0.66534775), 'Fall right': np.float32(0.6628003), 'Fall sitting': np.float32(0.65236366), 'Hop': np.float32(0.6634629), 'Kneel': np.float32(0.66203195), 'Pick up object': np.float32(0.661673), 'Sit down': np.float32(0.65411156), 'Walk': np.float32(0.6652341)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.6665138), 'Fall forward': np.float32(0.6661484), 'Fall left': np.float32(0.66662955), 'Fall right': np.float32(0.6642701), 'Fall sitting': np.float32(0.65342146), 'Hop': np.float32(0.6633455), 'Kneel': np.float32(0.6628977), 'Pick up object': np.float32(0.66196376), 'Sit down': np.float32(0.65477306), 'Walk': np.float32(0.66497785)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6676373), 'Fall forward': np.float32(0.66640687), 'Fall left': np.float32(0.6675934), 'Fall right': np.float32(0.6655229), 'Fall sitting': np.float32(0.65414065), 'Hop': np.float32(0.66276914), 'Kneel': np.float32(0.6633722), 'Pick up object': np.float32(0.66199785), 'Sit down': np.float32(0.65501237), 'Walk': np.float32(0.66435075)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6686911), 'Fall forward': np.float32(0.6667872), 'Fall left': np.float32(0.66844803), 'Fall right': np.float32(0.6667255), 'Fall sitting': np.float32(0.6546841), 'Hop': np.float32(0.6621121), 'Kneel': np.float32(0.6638541), 'Pick up object': np.float32(0.6620301), 'Sit down': np.float32(0.6550662), 'Walk': np.float32(0.6636895)}
