Ground Truth: Walk

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.58615625), 'Fall forward': np.float32(0.58883244), 'Fall left': np.float32(0.5862117), 'Fall right': np.float32(0.5948397), 'Fall sitting': np.float32(0.57384104), 'Hop': np.float32(0.60657793), 'Kneel': np.float32(0.59322625), 'Pick up object': np.float32(0.5958197), 'Sit down': np.float32(0.58667994), 'Walk': np.float32(0.60350287)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.58849734), 'Fall forward': np.float32(0.5909596), 'Fall left': np.float32(0.5885078), 'Fall right': np.float32(0.5969526), 'Fall sitting': np.float32(0.57775563), 'Hop': np.float32(0.6093303), 'Kneel': np.float32(0.5958145), 'Pick up object': np.float32(0.5985916), 'Sit down': np.float32(0.5895198), 'Walk': np.float32(0.6063403)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.59023714), 'Fall forward': np.float32(0.5925942), 'Fall left': np.float32(0.5899026), 'Fall right': np.float32(0.5984886), 'Fall sitting': np.float32(0.57914674), 'Hop': np.float32(0.61032957), 'Kneel': np.float32(0.5971612), 'Pick up object': np.float32(0.5996349), 'Sit down': np.float32(0.590764), 'Walk': np.float32(0.60729176)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.591831), 'Fall forward': np.float32(0.59446645), 'Fall left': np.float32(0.5913335), 'Fall right': np.float32(0.5998117), 'Fall sitting': np.float32(0.5808862), 'Hop': np.float32(0.6109786), 'Kneel': np.float32(0.59837914), 'Pick up object': np.float32(0.6004496), 'Sit down': np.float32(0.59193826), 'Walk': np.float32(0.6079845)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.59070873), 'Fall forward': np.float32(0.59321207), 'Fall left': np.float32(0.5905903), 'Fall right': np.float32(0.5989241), 'Fall sitting': np.float32(0.58038074), 'Hop': np.float32(0.61018175), 'Kneel': np.float32(0.5972383), 'Pick up object': np.float32(0.5995051), 'Sit down': np.float32(0.59145653), 'Walk': np.float32(0.6064456)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.58772516), 'Fall forward': np.float32(0.5899349), 'Fall left': np.float32(0.5880024), 'Fall right': np.float32(0.5961463), 'Fall sitting': np.float32(0.5776851), 'Hop': np.float32(0.60766375), 'Kneel': np.float32(0.5941984), 'Pick up object': np.float32(0.5966869), 'Sit down': np.float32(0.5891265), 'Walk': np.float32(0.6031156)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5871339), 'Fall forward': np.float32(0.5888044), 'Fall left': np.float32(0.58760124), 'Fall right': np.float32(0.59553295), 'Fall sitting': np.float32(0.5772222), 'Hop': np.float32(0.60713565), 'Kneel': np.float32(0.5932811), 'Pick up object': np.float32(0.5961297), 'Sit down': np.float32(0.58913445), 'Walk': np.float32(0.6021065)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5864372), 'Fall forward': np.float32(0.587933), 'Fall left': np.float32(0.58687425), 'Fall right': np.float32(0.59482926), 'Fall sitting': np.float32(0.5761137), 'Hop': np.float32(0.6067675), 'Kneel': np.float32(0.592595), 'Pick up object': np.float32(0.5954278), 'Sit down': np.float32(0.58868706), 'Walk': np.float32(0.6016479)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.58519083), 'Fall forward': np.float32(0.58667946), 'Fall left': np.float32(0.5855421), 'Fall right': np.float32(0.59352183), 'Fall sitting': np.float32(0.57455385), 'Hop': np.float32(0.60590386), 'Kneel': np.float32(0.59139717), 'Pick up object': np.float32(0.5940941), 'Sit down': np.float32(0.5876101), 'Walk': np.float32(0.6009398)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5834933), 'Fall forward': np.float32(0.5847464), 'Fall left': np.float32(0.58378714), 'Fall right': np.float32(0.59186614), 'Fall sitting': np.float32(0.5726692), 'Hop': np.float32(0.60451376), 'Kneel': np.float32(0.5895896), 'Pick up object': np.float32(0.59240633), 'Sit down': np.float32(0.5860994), 'Walk': np.float32(0.59962535)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5839855), 'Fall forward': np.float32(0.58497334), 'Fall left': np.float32(0.5842069), 'Fall right': np.float32(0.5923711), 'Fall sitting': np.float32(0.5730704), 'Hop': np.float32(0.6050599), 'Kneel': np.float32(0.5898864), 'Pick up object': np.float32(0.59285814), 'Sit down': np.float32(0.5868058), 'Walk': np.float32(0.6002993)}
