Ground Truth: Fall right

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65796745), 'Fall forward': np.float32(0.6445692), 'Fall left': np.float32(0.655896), 'Fall right': np.float32(0.6571426), 'Fall sitting': np.float32(0.6410223), 'Hop': np.float32(0.6500593), 'Kneel': np.float32(0.65484506), 'Pick up object': np.float32(0.6530818), 'Sit down': np.float32(0.65703464), 'Walk': np.float32(0.6529093)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65777004), 'Fall forward': np.float32(0.64422786), 'Fall left': np.float32(0.6556788), 'Fall right': np.float32(0.65633667), 'Fall sitting': np.float32(0.6417694), 'Hop': np.float32(0.6506436), 'Kneel': np.float32(0.65447277), 'Pick up object': np.float32(0.654695), 'Sit down': np.float32(0.6569435), 'Walk': np.float32(0.6526418)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6613215), 'Fall forward': np.float32(0.6477531), 'Fall left': np.float32(0.6588022), 'Fall right': np.float32(0.65959483), 'Fall sitting': np.float32(0.645268), 'Hop': np.float32(0.6541903), 'Kneel': np.float32(0.65767294), 'Pick up object': np.float32(0.65860134), 'Sit down': np.float32(0.6600239), 'Walk': np.float32(0.6566552)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6628305), 'Fall forward': np.float32(0.6497448), 'Fall left': np.float32(0.66012025), 'Fall right': np.float32(0.6609552), 'Fall sitting': np.float32(0.64673144), 'Hop': np.float32(0.6557558), 'Kneel': np.float32(0.65906763), 'Pick up object': np.float32(0.6601701), 'Sit down': np.float32(0.6610669), 'Walk': np.float32(0.6586854)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6656055), 'Fall forward': np.float32(0.6531627), 'Fall left': np.float32(0.66294676), 'Fall right': np.float32(0.66392666), 'Fall sitting': np.float32(0.64994067), 'Hop': np.float32(0.6583053), 'Kneel': np.float32(0.66191936), 'Pick up object': np.float32(0.6629865), 'Sit down': np.float32(0.6638864), 'Walk': np.float32(0.6615783)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66711146), 'Fall forward': np.float32(0.6550794), 'Fall left': np.float32(0.6644835), 'Fall right': np.float32(0.66539395), 'Fall sitting': np.float32(0.6516634), 'Hop': np.float32(0.659394), 'Kneel': np.float32(0.66358274), 'Pick up object': np.float32(0.664656), 'Sit down': np.float32(0.66506225), 'Walk': np.float32(0.66280514)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6695867), 'Fall forward': np.float32(0.65717775), 'Fall left': np.float32(0.66675866), 'Fall right': np.float32(0.6675715), 'Fall sitting': np.float32(0.65349114), 'Hop': np.float32(0.6603468), 'Kneel': np.float32(0.66515136), 'Pick up object': np.float32(0.6657567), 'Sit down': np.float32(0.66597605), 'Walk': np.float32(0.663798)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67252254), 'Fall forward': np.float32(0.6597851), 'Fall left': np.float32(0.66949636), 'Fall right': np.float32(0.6700496), 'Fall sitting': np.float32(0.65601414), 'Hop': np.float32(0.66147155), 'Kneel': np.float32(0.6672026), 'Pick up object': np.float32(0.66715145), 'Sit down': np.float32(0.6670371), 'Walk': np.float32(0.66486275)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6734824), 'Fall forward': np.float32(0.6598524), 'Fall left': np.float32(0.6701852), 'Fall right': np.float32(0.6707996), 'Fall sitting': np.float32(0.65631044), 'Hop': np.float32(0.6607731), 'Kneel': np.float32(0.6671939), 'Pick up object': np.float32(0.66681045), 'Sit down': np.float32(0.66682297), 'Walk': np.float32(0.6640039)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67610097), 'Fall forward': np.float32(0.6622233), 'Fall left': np.float32(0.6725739), 'Fall right': np.float32(0.67329955), 'Fall sitting': np.float32(0.6579432), 'Hop': np.float32(0.6617289), 'Kneel': np.float32(0.66903305), 'Pick up object': np.float32(0.6682548), 'Sit down': np.float32(0.6680348), 'Walk': np.float32(0.6651791)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67779106), 'Fall forward': np.float32(0.6638434), 'Fall left': np.float32(0.67421585), 'Fall right': np.float32(0.67508453), 'Fall sitting': np.float32(0.65917844), 'Hop': np.float32(0.6624732), 'Kneel': np.float32(0.6703485), 'Pick up object': np.float32(0.6691974), 'Sit down': np.float32(0.6686825), 'Walk': np.float32(0.66602933)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6788882), 'Fall forward': np.float32(0.6644178), 'Fall left': np.float32(0.675265), 'Fall right': np.float32(0.67628485), 'Fall sitting': np.float32(0.6597762), 'Hop': np.float32(0.6623443), 'Kneel': np.float32(0.67086375), 'Pick up object': np.float32(0.66939604), 'Sit down': np.float32(0.66883206), 'Walk': np.float32(0.66582155)}
