Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6593472), 'Fall forward': np.float32(0.6512036), 'Fall left': np.float32(0.6588484), 'Fall right': np.float32(0.6579325), 'Fall sitting': np.float32(0.6563164), 'Hop': np.float32(0.6516889), 'Kneel': np.float32(0.6609763), 'Pick up object': np.float32(0.6615806), 'Sit down': np.float32(0.6676271), 'Walk': np.float32(0.6574329)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.659459), 'Fall forward': np.float32(0.65141016), 'Fall left': np.float32(0.65898746), 'Fall right': np.float32(0.6579797), 'Fall sitting': np.float32(0.65694255), 'Hop': np.float32(0.6510819), 'Kneel': np.float32(0.6610563), 'Pick up object': np.float32(0.6615456), 'Sit down': np.float32(0.6674678), 'Walk': np.float32(0.6568223)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.659344), 'Fall forward': np.float32(0.65143454), 'Fall left': np.float32(0.6589479), 'Fall right': np.float32(0.65778464), 'Fall sitting': np.float32(0.6570257), 'Hop': np.float32(0.65060157), 'Kneel': np.float32(0.66089344), 'Pick up object': np.float32(0.661368), 'Sit down': np.float32(0.66725427), 'Walk': np.float32(0.6562365)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.659018), 'Fall forward': np.float32(0.651487), 'Fall left': np.float32(0.65896666), 'Fall right': np.float32(0.65749615), 'Fall sitting': np.float32(0.6572483), 'Hop': np.float32(0.65031284), 'Kneel': np.float32(0.6607756), 'Pick up object': np.float32(0.66126955), 'Sit down': np.float32(0.6674532), 'Walk': np.float32(0.6557336)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6586024), 'Fall forward': np.float32(0.6513745), 'Fall left': np.float32(0.65869796), 'Fall right': np.float32(0.65701467), 'Fall sitting': np.float32(0.6573686), 'Hop': np.float32(0.64962935), 'Kneel': np.float32(0.66039026), 'Pick up object': np.float32(0.6608414), 'Sit down': np.float32(0.6675019), 'Walk': np.float32(0.65494245)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6590794), 'Fall forward': np.float32(0.65216005), 'Fall left': np.float32(0.65931535), 'Fall right': np.float32(0.65741765), 'Fall sitting': np.float32(0.6580283), 'Hop': np.float32(0.64978635), 'Kneel': np.float32(0.6609771), 'Pick up object': np.float32(0.6612031), 'Sit down': np.float32(0.6682779), 'Walk': np.float32(0.65526575)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.65906745), 'Fall forward': np.float32(0.65205765), 'Fall left': np.float32(0.6593788), 'Fall right': np.float32(0.65746355), 'Fall sitting': np.float32(0.6587474), 'Hop': np.float32(0.6493245), 'Kneel': np.float32(0.66095704), 'Pick up object': np.float32(0.6610172), 'Sit down': np.float32(0.6685593), 'Walk': np.float32(0.6548831)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6585941), 'Fall forward': np.float32(0.65148294), 'Fall left': np.float32(0.65895516), 'Fall right': np.float32(0.65710276), 'Fall sitting': np.float32(0.65992516), 'Hop': np.float32(0.6481417), 'Kneel': np.float32(0.6603047), 'Pick up object': np.float32(0.660229), 'Sit down': np.float32(0.66821235), 'Walk': np.float32(0.65369403)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.65765464), 'Fall forward': np.float32(0.65063685), 'Fall left': np.float32(0.65807796), 'Fall right': np.float32(0.6563339), 'Fall sitting': np.float32(0.6603251), 'Hop': np.float32(0.64671475), 'Kneel': np.float32(0.65940636), 'Pick up object': np.float32(0.6589707), 'Sit down': np.float32(0.66727746), 'Walk': np.float32(0.65228254)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.6570429), 'Fall forward': np.float32(0.6500711), 'Fall left': np.float32(0.6577834), 'Fall right': np.float32(0.6559934), 'Fall sitting': np.float32(0.6609663), 'Hop': np.float32(0.6459485), 'Kneel': np.float32(0.6589912), 'Pick up object': np.float32(0.658497), 'Sit down': np.float32(0.6667695), 'Walk': np.float32(0.6514959)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.65756154), 'Fall forward': np.float32(0.65061444), 'Fall left': np.float32(0.6586024), 'Fall right': np.float32(0.6565438), 'Fall sitting': np.float32(0.6619928), 'Hop': np.float32(0.6462796), 'Kneel': np.float32(0.6596586), 'Pick up object': np.float32(0.65912855), 'Sit down': np.float32(0.66720295), 'Walk': np.float32(0.6518146)}
